first_name,last_name,committee,subcommittee,cid,fec_id,bioguide_id,,,,,,fec_id_prev
Mark,Amodei,Natural Resources,,N00031177,H2NV02395,A000369,,,,,,H2NV02395
Yassamin,Ansari,Education & Workforce,,,H4AZ03109,A000381,,,,,,
Yassamin,Ansari,Natural Resources,,,H4AZ03109,A000381,,,,,,
Yassamin,Ansari,Oversight & Govt Reform,,,H4AZ03109,A000381,,,,,,
Jodey,Arrington,Budget,,N00038285,H6TX19099,A000375,,,,,,H6TX19099
Jodey,Arrington,Ways & Means,,N00038285,H6TX19099,A000375,,,,,,H6TX19099
Jake,Auchincloss,Energy & Commerce,,N00045506,H0MA04192,A000148,,,,,,H0MA04192
Brian,Babin,"Science, Space, & Technology",,N00005736,H6TX02079,B001291,,,,,,H6TX02079
Brian,Babin,Transportation & Infrastructure,,N00005736,H6TX02079,B001291,,,,,,H6TX02079
Don,Bacon,Agriculture,,N00037049,H6NE02125,B001298,,,,,,H6NE02125
Don,Bacon,Armed Services,,N00037049,H6NE02125,B001298,,,,,,H6NE02125
James,Baird,Agriculture,,N00041954,H8IN04199,B001307,,,,,,H8IN04199
James,Baird,Foreign Affairs,,N00041954,H8IN04199,B001307,,,,,,H8IN04199
James,Baird,"Science, Space, & Technology",,N00041954,H8IN04199,B001307,,,,,,H8IN04199
Troy,Balderson,Energy & Commerce,,N00042194,H8OH12180,B001306,,,,,,H8OH12180
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Ag, Rural Dev, Food & Drug Admin, & Rel Agencies",,S2WI00219,B001230,,,,,,
Tammy,Baldwin,Committee on Appropriations,Subcommittee on Dept of Defense,,S2WI00219,B001230,,,,,,
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Dept of Interior, Environment, & Related Agencies",,S2WI00219,B001230,,,,,,
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Depts of Labor, Health & Human Services, & Education, & Related Agencies",,S2WI00219,B001230,,,,,,
Tammy,Baldwin,Committee on Appropriations,Subcommittee on Energy & Water Development,,S2WI00219,B001230,,,,,,
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, & Related Agencies",,S2WI00219,B001230,,,,,,
Tammy,Baldwin,"Committee on Commerce, Science, & Transportation","Subcommittee on Coast Guard, Maritime, & Fisheries",,S2WI00219,B001230,,,,,,
Tammy,Baldwin,"Committee on Commerce, Science, & Transportation","Subcommittee on Consumer Protection, Tech, & Data Privacy",,S2WI00219,B001230,,,,,,
Tammy,Baldwin,"Committee on Commerce, Science, & Transportation","Subcommittee on Science, Manufacturing, & Competitiveness",,S2WI00219,B001230,,,,,,
Tammy,Baldwin,"Committee on Commerce, Science, & Transportation",Subcommittee on Telecommunications & Media,,S2WI00219,B001230,,,,,,
Tammy,Baldwin,"Committee on Health, Education, Labor, & Pensions",Subcommittee on Employment & Workplace Safety,,S2WI00219,B001230,,,,,,
Tammy,Baldwin,"Committee on Health, Education, Labor, & Pensions",Subcommittee on Primary Health & Retirement Security,,S2WI00219,B001230,,,,,,
Becca,Balint,Budget,,N00049900,H2VT01076,B001318,,,,,,H2VT01076
Becca,Balint,Judiciary,,N00049900,H2VT01076,B001318,,,,,,H2VT01076
