BioGuideID,first_name,last_name,representative,house,party,transaction,ticker,ticker_type,description,range,amount,excess_return,price_change,spy_change,report_date,transaction_date,last_modified
B001236,John,Boozman,John Boozman,Senate,R,Sale (Partial),GEM,Stock,,1001.0,1001.0,-2.33692557980006,2.55340044193471,4.89032602173477,2025-12-08,2025-11-20,2025-12-08
B001236,John,Boozman,John Boozman,Senate,R,Sale (Partial),RNWAX,Stock,,1001.0,1001.0,,,,2025-12-08,2025-11-20,2025-12-08
B001236,John,Boozman,John Boozman,Senate,R,Sale (Partial),EFA,Stock,,1001.0,1001.0,0.0910417993963168,4.98136782113109,4.89032602173477,2025-12-08,2025-11-20,2025-12-08
B001236,John,Boozman,John Boozman,Senate,R,Purchase,WWSYX,Stock,,1001.0,1001.0,,,,2025-12-08,2025-11-20,2025-12-08
M001232,April Mcclain,Delaney,April Mcclain Delaney,Representatives,D,Purchase,BRO,ST,,1001.0,1001.0,-6.81823358264912,-1.92790756091436,4.89032602173477,2025-12-08,2025-11-20,2025-12-09
M001236,Tim,Moore,Tim Moore,Representatives,R,Purchase,HY,ST,,15001.0,15001.0,22.7049929665627,27.5953189882975,4.89032602173477,2025-12-02,2025-11-20,2025-12-03
M001236,Tim,Moore,Tim Moore,Representatives,R,Purchase,CBRL,ST,,15001.0,15001.0,2.44506096324791,7.33538698498268,4.89032602173477,2025-12-02,2025-11-20,2025-12-03
F000110,Cleo,Fields,Cleo Fields,Representatives,D,Purchase,NFLX,ST,,100001.0,100001.0,-14.9492839757974,-10.2914734550961,4.65781052070137,2025-12-10,2025-11-20,2025-12-10
M001236,Tim,Moore,Tim Moore,Representatives,R,Sale,VZ,ST,,100001.0,100001.0,-5.25813690762836,-1.95872784656469,3.29940906106367,2025-12-02,2025-11-19,2025-12-03
F000450,Virginia,Foxx,Virginia Foxx,Representatives,R,Purchase,HTGC,ST,,1001.0,1001.0,5.22527520988925,8.52468427095292,3.29940906106367,2025-12-01,2025-11-19,2025-12-02
M001232,April Mcclain,Delaney,April Mcclain Delaney,Representatives,D,Sale,PWR,ST,,1001.0,1001.0,5.43184969698416,8.25192681612669,2.82007711914254,2025-12-08,2025-11-17,2025-12-09
M001232,April Mcclain,Delaney,April Mcclain Delaney,Representatives,D,Purchase,LH,ST,,1001.0,1001.0,-3.06685371936444,-0.246776600221901,2.82007711914254,2025-12-08,2025-11-17,2025-12-09
M001232,April Mcclain,Delaney,April Mcclain Delaney,Representatives,D,Sale,EME,ST,,1001.0,1001.0,0.153426315597413,2.97350343473995,2.82007711914254,2025-12-08,2025-11-17,2025-12-09
F000450,Virginia,Foxx,Virginia Foxx,Representatives,R,Purchase,ARLP,ST,,1001.0,1001.0,-2.69636577893635,0.12371134020619,2.82007711914254,2025-12-01,2025-11-17,2025-12-02
A000148,Jake,Auchincloss,Jake Auchincloss,Representatives,D,Sale,STT,ST,RSU DISTRIBUTION,15001.0,15001.0,8.00498491559692,10.8250620347395,2.82007711914254,2025-11-18,2025-11-17,2025-11-19
P000595,Gary,Peters,Gary Peters,Senate,D,Purchase,CAG,Stock,,1001.0,1001.0,-4.06280146702568,-2.20630372492836,1.85649774209733,2025-12-04,2025-11-14,2025-12-04
F000450,Virginia,Foxx,Virginia Foxx,Representatives,R,Purchase,ARLP,ST,,1001.0,1001.0,-4.65873953553207,-2.80224179343474,1.85649774209733,2025-12-01,2025-11-14,2025-12-02
B001236,John,Boozman,John Boozman,Senate,R,Sale (Full),CRM,Stock,,1001.0,1001.0,6.80440309969431,8.63452980077361,1.8301267010793,2025-12-08,2025-11-13,2025-12-08
B001236,John,Boozman,John Boozman,Senate,R,Purchase,ANET,Stock,,1001.0,1001.0,-2.67816967882298,-0.848042977743682,1.8301267010793,2025-12-08,2025-11-13,2025-12-08
B001236,John,Boozman,John Boozman,Senate,R,Purchase,AMZN,Stock,,1001.0,1001.0,-6.13183559913469,-4.30170889805539,1.8301267010793,2025-12-08,2025-11-13,2025-12-08
C001047,Shelley Moore,Capito,Shelley Moore Capito,Senate,R,Sale (Partial),PAYX,Stock,,1001.0,1001.0,-0.479500583011314,1.35062611806798,1.8301267010793,2025-12-04,2025-11-13,2025-12-04
C001047,Shelley Moore,Capito,Shelley Moore Capito,Senate,R,Sale (Partial),LOW,Stock,,1001.0,1001.0,3.66950608070668,5.49963278178597,1.8301267010793,2025-12-04,2025-11-13,2025-12-04
C001047,Shelley Moore,Capito,Shelley Moore Capito,Senate,R,Purchase,META,Stock,,1001.0,1001.0,5.81059539634811,7.64072209742741,1.8301267010793,2025-12-04,2025-11-13,2025-12-04
F000110,Cleo,Fields,Cleo Fields,Representatives,D,Purchase,AAPL,ST,,1001.0,1001.0,-0.027598765559965,1.80252793551933,1.8301267010793,2025-11-19,2025-11-13,2025-11-20
G000596,Marjorie Taylor,Greene,Marjorie Taylor Greene,Representatives,R,Purchase,ADP,ST,,15001.0,15001.0,1.30765757398906,-0.919269298762523,-2.22692687275158,2025-11-13,2025-11-12,2025-11-14
G000596,Marjorie Taylor,Greene,Marjorie Taylor Greene,Representatives,R,Purchase,PAYX,ST,,15001.0,15001.0,1.94784873087186,-0.279078141879728,-2.22692687275158,2025-11-13,2025-11-12,2025-11-14
M001236,Tim,Moore,Tim Moore,Representatives,R,Purchase,HY,ST,,50001.0,50001.0,13.3652036063911,13.5371179039301,0.171914297539067,2025-12-02,2025-11-12,2025-12-03
T000490,David J.,Taylor,David J. Taylor,Representatives,R,Purchase,V,ST,,1001.0,1001.0,-3.56249503408298,-3.39058073654391,0.171914297539067,2025-11-18,2025-11-12,2025-11-19
C001098,Ted,Cruz,Ted Cruz,Senate,R,Sale (Partial),GS,Stock,,100001.0,100001.0,0.591609244185231,-1.58704693265539,-2.17865617684062,2025-11-12,2025-11-11,2025-11-12
J000309,Jonathan,Jackson,Jonathan Jackson,Representatives,D,Sale,META,ST,,1001.0,1001.0,4.46862240307895,4.68999170759711,0.221369304518161,2025-12-05,2025-11-11,2025-12-08
J000309,Jonathan,Jackson,Jonathan Jackson,Representatives,D,Sale,TMUS,ST,,1001.0,1001.0,-5.434125224888,-5.21275592036984,0.221369304518161,2025-12-05,2025-11-11,2025-12-08
J000309,Jonathan,Jackson,Jonathan Jackson,Representatives,D,Purchase,STT,ST,,1001.0,1001.0,4.48850258696639,4.70987189148455,0.221369304518161,2025-12-05,2025-11-11,2025-12-08
T000490,David J.,Taylor,David J. Taylor,Representatives,R,Purchase,RPM,ST,,1001.0,1001.0,-3.07824628199815,-2.85687697747999,0.221369304518161,2025-11-18,2025-11-11,2025-11-19
T000490,David J.,Taylor,David J. Taylor,Representatives,R,Purchase,HD,ST,,1001.0,1001.0,-6.40456725235912,-6.18319794784095,0.221369304518161,2025-11-18,2025-11-11,2025-11-19
M001190,Markwayne,Mullin,Markwayne Mullin,Senate,R,Sale (Full),ZTS,Stock,,15001.0,15001.0,-3.4862145147877,-3.03447700141915,0.451737513368546,2025-12-05,2025-11-10,2025-12-05
M001190,Markwayne,Mullin,Markwayne Mullin,Senate,R,Purchase,COF,Stock,,50001.0,50001.0,5.43408568503407,5.88582319840261,0.451737513368546,2025-12-05,2025-11-10,2025-12-05
M001190,Markwayne,Mullin,Markwayne Mullin,Senate,R,Sale (Full),CSX,Stock,,15001.0,15001.0,3.12172490121005,3.5734624145786,0.451737513368546,2025-12-05,2025-11-10,2025-12-05
M001190,Markwayne,Mullin,Markwayne Mullin,Senate,R,Purchase,PNR,Stock,,15001.0,15001.0,-5.87541954483418,-5.42368203146563,0.451737513368546,2025-12-05,2025-11-10,2025-12-05
M001236,Tim,Moore,Tim Moore,Representatives,R,Purchase,GNPX,ST,,1001.0,1001.0,-22.9713238219035,-20.9596199524941,2.01170386940945,2025-12-02,2025-11-07,2025-12-03
G000596,Marjorie Taylor,Greene,Marjorie Taylor Greene,Representatives,R,Purchase,PG,ST,,15001.0,15001.0,2.09514445385569,1.7689728324095,-0.326171621446188,2025-11-07,2025-11-06,2025-11-07
B001236,John,Boozman,John Boozman,Senate,R,Sale (Full),AAXJ,Stock,,1001.0,1001.0,-3.35570271638614,-1.23639854917857,2.11930416720757,2025-12-08,2025-11-06,2025-12-08
B001236,John,Boozman,John Boozman,Senate,R,Purchase,VWO,Stock,,1001.0,1001.0,-3.22848167224514,-1.10917750503756,2.11930416720757,2025-12-08,2025-11-06,2025-12-08
B001236,John,Boozman,John Boozman,Senate,R,Purchase,VEA,Stock,,1001.0,1001.0,0.461132774202558,2.58043694141013,2.11930416720757,2025-12-08,2025-11-06,2025-12-08
J000309,Jonathan,Jackson,Jonathan Jackson,Representatives,D,Purchase,HOOD,ST,,15001.0,15001.0,7.34717364204645,9.46647780925403,2.11930416720757,2025-12-05,2025-11-06,2025-12-08
J000309,Jonathan,Jackson,Jonathan Jackson,Representatives,D,Sale,DOCS,ST,,15001.0,15001.0,-29.7239701946924,-27.6046660274848,2.11930416720757,2025-12-05,2025-11-06,2025-12-08
G000359,Lindsey,Graham,Lindsey Graham,Senate,R,Sale (Full),VWUSX,Stock,,100001.0,100001.0,,,,2025-12-01,2025-11-06,2025-12-01
G000359,Lindsey,Graham,Lindsey Graham,Senate,R,Purchase,VWUAX,Stock,,100001.0,100001.0,,,,2025-12-01,2025-11-06,2025-12-01
M001236,Tim,Moore,Tim Moore,Representatives,R,Purchase,VZ,ST,,15001.0,15001.0,0.712595440014142,1.74653565129757,1.03394021128343,2025-12-02,2025-11-05,2025-12-03
