bioguide_id,first_name,last_name,party,state,chamber,committee_assignments
B001277,Richard,Blumenthal,Democrat,CT,Senate,"Committee on Armed Services: Subcommittee on Airland; Subcommittee on Personnel; Subcommittee on Seapower | Committee on Homeland Security and Governmental Affairs: Permanent Subcommittee on Investigations (Ranking); Subcommittee on Disaster Management, District of Columbia, and Census | Committee on the Judiciary: Subcommittee on Antitrust, Competition Policy, and Consumer Rights; Subcommittee on Crime and Counterterrorism; Subcommittee on Federal Courts, Oversight, Agency Action, and Federal Rights; Subcommittee on Privacy, Technology, and the Law | Committee on Veterans' Affairs | United States Senate Caucus on International Narcotics Control"
B001303,Lisa,Blunt Rochester,Democrat,DE,Senate,"Committee on Banking, Housing, and Urban Affairs: Subcommittee on Economic Policy; Subcommittee on Housing, Transportation, and Community Development; Subcommittee on Securities, Insurance, and Investment | Committee on Commerce, Science, and Transportation: Subcommittee on Coast Guard, Maritime, and Fisheries (Ranking); Subcommittee on Consumer Protection, Technology, and Data Privacy; Subcommittee on Science, Manufacturing, and Competitiveness; Subcommittee on Telecommunications and Media | Committee on Environment and Public Works: Subcommittee on Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight; Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety; Subcommittee on Transportation and Infrastructure | Committee on Health, Education, Labor, and Pensions: Subcommittee on Education and the American Family (Ranking); Subcommittee on Primary Health and Retirement Security"
B000825,Lauren,Boebert,Republican,CO,House,Oversight and Government Reform | Natural Resources
B001278,Suzanne,Bonamici,Democrat,OR,House,"Education and Workforce | Science, Space, and Technology"
B001288,Cory,Booker,Democrat,NJ,Senate,"Committee on Agriculture, Nutrition, and Forestry: Subcommittee on Commodities, Derivatives, Risk Management, and Trade (Ranking); Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research; Subcommittee on Livestock, Dairy, Poultry, and Food Safety | Committee on Foreign Relations: Subcommittee on Africa and Global Health Policy (Ranking); Subcommittee on Europe and Regional Security Cooperation; Subcommittee on Near East, South Asia, Central Asia, and Counterterrorism | Committee on Small Business and Entrepreneurship | Committee on the Judiciary: Subcommittee on Antitrust, Competition Policy, and Consumer Rights (Ranking); Subcommittee on Border Security and Immigration; Subcommittee on Crime and Counterterrorism; Subcommittee on the Constitution"
B001236,John,Boozman,Republican,AR,Senate,"Commission on Security and Cooperation in Europe | Committee on Agriculture, Nutrition, and Forestry: Subcommittee on Commodities, Derivatives, Risk Management, and Trade; Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology; Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research; Subcommittee on Livestock, Dairy, Poultry, and Food Safety; Subcommittee on Rural Development, Energy, and Credit | Committee on Appropriations: Subcommittee on Department of Defense; Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies; Subcommittee on Financial Services and General Government; Subcommittee on Military Construction, Veterans Affairs, and Related Agencies (Chairman); Subcommittee on State, Foreign Operations, and Related Programs; Subcommittee on Transportation, Housing and Urban Development, and Related Agencies | Committee on Environment and Public Works: Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety; Subcommittee on Fisheries, Wildlife, and Water; Subcommittee on Transportation and Infrastructure | Committee on Rules and Administration | Committee on Veterans' Affairs"
B001295,Mike,Bost,Republican,IL,House,Agriculture | Transportation and Infrastructure | Veterans' Affairs
B001296,Brendan,Boyle,Democrat,PA,House,Budget | Ways and Means
B001317,Josh,Brecheen,Republican,OK,House,Budget | Homeland Security
B001327,Robert,Bresnahan,Republican,PA,House,Agriculture | Transportation and Infrastructure | Small Business
B001319,Katie Boyd,Britt,Republican,AL,Senate,"Commission on Security and Cooperation in Europe | Committee on Appropriations: Subcommittee on Commerce, Justice, Science, and Related Agencies; Subcommittee on Department of Homeland Security (Chairman); Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies; Subcommittee on Energy and Water Development; Subcommittee on State, Foreign Operations, and Related Programs; Subcommittee on Transportation, Housing and Urban Development, and Related Agencies | Committee on Banking, Housing, and Urban Affairs: Subcommittee on Financial Institutions and Consumer Protection; Subcommittee on Housing, Transportation, and Community Development (Chairman); Subcommittee on Securities, Insurance, and Investment | Committee on Rules and Administration | Committee on the Judiciary: Subcommittee on Antitrust, Competition Policy, and Consumer Rights; Subcommittee on Border Security and Immigration; Subcommittee on Crime and Counterterrorism; Subcommittee on Intellectual Property"
B001313,Shontel,Brown,Democrat,OH,House,Agriculture | Oversight and Government Reform | Select Comm on the Strategic Competition US and China
B001285,Julia,Brownley,Democrat,CA,House,Natural Resources | Transportation and Infrastructure | Veterans' Affairs
B001260,Vern,Buchanan,Republican,FL,House,Joint Committee on Taxation | Ways and Means
B001305,Ted,Budd,Republican,NC,Senate,"Committee on Armed Services: Subcommittee on Airland; Subcommittee on Cybersecurity; Subcommittee on Emerging Threats and Capabilities; Subcommittee on Personnel | Committee on Commerce, Science, and Transportation: Subcommittee on Aviation, Space, and Innovation; Subcommittee on Science, Manufacturing, and Competitiveness (Chairman); Subcommittee on Telecommunications and Media | Committee on Small Business and Entrepreneurship | Joint Economic Committee | Select Committee on Intelligence"
B001315,Nikki,Budzinski,Democrat,IL,House,Agriculture | Veterans' Affairs
B001309,Tim,Burchett,Republican,TN,House,Foreign Affairs | Oversight and Government Reform | Transportation and Infrastructure
B001316,Eric,Burlison,Republican,MO,House,Oversight and Government Reform | Transportation and Infrastructure
B001326,Janelle,Bynum,Democrat,OR,House,Financial Services
C000059,Ken,Calvert,Republican,CA,House,Appropriations
C001039,Kat,Cammack,Republican,FL,House,Agriculture | Energy and Commerce
C000127,Maria,Cantwell,Democrat,WA,Senate,"Committee on Commerce, Science, and Transportation: Subcommittee on Aviation, Space, and Innovation; Subcommittee on Coast Guard, Maritime, and Fisheries; Subcommittee on Consumer Protection, Technology, and Data Privacy; Subcommittee on Science, Manufacturing, and Competitiveness; Subcommittee on Surface Transportation, Freight, Pipelines, and Safety; Subcommittee on Telecommunications and Media | Committee on Energy and Natural Resources | Committee on Finance: Subcommittee on Energy, Natural Resources, and Infrastructure (Ranking) | Committee on Indian Affairs | Committee on Small Business and Entrepreneurship | Joint Committee on Taxation"
C001047,Shelley Moore,Capito,Republican,WV,Senate,"Committee on Appropriations: Subcommittee on Commerce, Justice, Science, and Related Agencies; Subcommittee on Department of Defense; Subcommittee on Department of Homeland Security; Subcommittee on Department of Interior, Environment, and Related Agencies; Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies (Chairman); Subcommittee on Transportation, Housing and Urban Development, and Related Agencies | Committee on Commerce, Science, and Transportation: Subcommittee on Aviation, Space, and Innovation; Subcommittee on Consumer Protection, Technology, and Data Privacy; Subcommittee on Surface Transportation, Freight, Pipelines, and Safety; Subcommittee on Telecommunications and Media | Committee on Environment and Public Works: Subcommittee on Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight; Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety; Subcommittee on Fisheries, Wildlife, and Water; Subcommittee on Transportation and Infrastructure | Committee on Rules and Administration"
C001112,Salud,Carbajal,Democrat,CA,House,Agriculture | Armed Services | Transportation and Infrastructure
C001126,Mike,Carey,Republican,OH,House,Budget | House Administration | Joint Committee of Congress on the Library | Ways and Means
C001072,André,Carson,Democrat,IN,House,Intelligence | Transportation and Infrastructure | Select Comm on the Strategic Competition US and China
C001103,Earl,Carter,Republican,GA,House,Budget | Energy and Commerce
C001051,John,Carter,Republican,TX,House,Appropriations
C001125,Troy,Carter,Democrat,LA,House,Homeland Security | Energy and Commerce
C001131,Greg,Casar,Democrat,TX,House,Education and Workforce | Oversight and Government Reform
C001055,Ed,Case,Democrat,HI,House,Appropriations
C001075,Bill,Cassidy,Republican,LA,Senate,"Committee on Energy and Natural Resources: Subcommittee on Energy; Subcommittee on National Parks; Subcommittee on Water and Power | Committee on Finance: Subcommittee on Fiscal Responsibility and Economic Growth; Subcommittee on Health Care; Subcommittee on Taxation and IRS Oversight | Committee on Health, Education, Labor, and Pensions: Subcommittee on Education and the American Family; Subcommittee on Employment and Workplace Safety; Subcommittee on Primary Health and Retirement Security | Committee on Veterans' Affairs"
C001117,Sean,Casten,Democrat,IL,House,Financial Services
C001066,Kathy,Castor,Democrat,FL,House,Energy and Commerce | Select Comm on the Strategic Competition US and China
C001091,Joaquin,Castro,Democrat,TX,House,Foreign Affairs | Intelligence
