first_name,middle_name,nick_name,last_name,suffix,title,chamber,State,state_abbr,District,Party,Terms,URL
"Brecheen, Josh - Representative",,,,,,,Oklahoma,,2,Republican,House: 2023-Present,https://www.congress.gov/member/josh-brecheen/B001317
"Bresnahan, Robert P. - Representative",,,,,,,Pennsylvania,,8,Republican,House: 2025-Present,https://www.congress.gov/member/robert-bresnahan/B001327
"Britt, Katie Boyd - Senator",,,,,,,Alabama,,,Republican,Senate: 2023-Present,https://www.congress.gov/member/katie-britt/B001319
"Brown, Shontel M. - Representative",,,,,,,Ohio,,11,Democratic,House: 2021-Present,https://www.congress.gov/member/shontel-brown/B001313
"Brownley, Julia - Representative",,,,,,,California,,26,Democratic,House: 2013-Present,https://www.congress.gov/member/julia-brownley/B001285
"Buchanan, Vern - Representative",,,,,,,Florida,,16,Republican,House: 2007-Present,https://www.congress.gov/member/vern-buchanan/B001260
"Budd, Ted - Senator",,,,,,,North Carolina,,,Republican,Senate: 2023-Present | House: 2017-2023,https://www.congress.gov/member/ted-budd/B001305
"Budzinski, Nikki - Representative",,,,,,,Illinois,,13,Democratic,House: 2023-Present,https://www.congress.gov/member/nikki-budzinski/B001315
"Burchett, Tim - Representative",,,,,,,Tennessee,,2,Republican,House: 2019-Present,https://www.congress.gov/member/tim-burchett/B001309
"Burlison, Eric - Representative",,,,,,,Missouri,,7,Republican,House: 2023-Present,https://www.congress.gov/member/eric-burlison/B001316
"Bynum, Janelle S. - Representative",,,,,,,Oregon,,5,Democratic,House: 2025-Present,https://www.congress.gov/member/janelle-bynum/B001326
"Calvert, Ken - Representative",,,,,,,California,,41,Republican,House: 1993-Present,https://www.congress.gov/member/ken-calvert/C000059
"Cammack, Kat - Representative",,,,,,,Florida,,3,Republican,House: 2021-Present,https://www.congress.gov/member/kat-cammack/C001039
"Cantwell, Maria - Senator",,,,,,,Washington,,,Democratic,Senate: 2001-Present | House: 1993-1995,https://www.congress.gov/member/maria-cantwell/C000127
"Capito, Shelley Moore - Senator",,,,,,,West Virginia,,,Republican,Senate: 2015-Present | House: 2001-2015,https://www.congress.gov/member/shelley-capito/C001047
"Carbajal, Salud O. - Representative",,,,,,,California,,24,Democratic,House: 2017-Present,https://www.congress.gov/member/salud-carbajal/C001112
"Carey, Mike - Representative",,,,,,,Ohio,,15,Republican,House: 2021-Present,https://www.congress.gov/member/mike-carey/C001126
"Carson, Andr� - Representative",,,,,,,Indiana,,7,Democratic,House: 2008-Present,https://www.congress.gov/member/andre-carson/C001072
"Carter, Earl L. ""Buddy"" - Representative",,,,,,,Georgia,,1,Republican,House: 2015-Present,https://www.congress.gov/member/earl-carter/C001103
"Carter, John R. - Representative",,,,,,,Texas,,31,Republican,House: 2003-Present,https://www.congress.gov/member/john-carter/C001051
"Carter, Troy A. - Representative",,,,,,,Louisiana,,2,Democratic,House: 2021-Present,https://www.congress.gov/member/troy-carter/C001125
"Casar, Greg - Representative",,,,,,,Texas,,35,Democratic,House: 2023-Present,https://www.congress.gov/member/greg-casar/C001131
"Case, Ed - Representative",,,,,,,Hawaii,,1,Democratic,"House: 2002-2007, 2019-Present",https://www.congress.gov/member/ed-case/C001055
"Cassidy, Bill - Senator",,,,,,,Louisiana,,,Republican,Senate: 2015-Present | House: 2009-2015,https://www.congress.gov/member/bill-cassidy/C001075
"Casten, Sean - Representative",,,,,,,Illinois,,6,Democratic,House: 2019-Present,https://www.congress.gov/member/sean-casten/C001117
"Castor, Kathy - Representative",,,,,,,Florida,,14,Democratic,House: 2007-Present,https://www.congress.gov/member/kathy-castor/C001066
"Castro, Joaquin - Representative",,,,,,,Texas,,20,Democratic,House: 2013-Present,https://www.congress.gov/member/joaquin-castro/C001091
"Cherfilus-McCormick, Sheila - Representative",,,,,,,Florida,,20,Democratic,House: 2022-Present,https://www.congress.gov/member/sheila-cherfilus-mccormick/C001127
"Chu, Judy - Representative",,,,,,,California,,28,Democratic,House: 2009-Present,https://www.congress.gov/member/judy-chu/C001080
"Ciscomani, Juan - Representative",,,,,,,Arizona,,6,Republican,House: 2023-Present,https://www.congress.gov/member/juan-ciscomani/C001133
"Cisneros, Gilbert Ray - Representative",,,,,,,California,,31,Democratic,"House: 2019-2021, 2025-Present",https://www.congress.gov/member/gilbert-cisneros/C001123
"Clark, Katherine M. - Representative",,,,,,,Massachusetts,,5,Democratic,House: 2013-Present,https://www.congress.gov/member/katherine-clark/C001101
"Clarke, Yvette D. - Representative",,,,,,,New York,,9,Democratic,House: 2007-Present,https://www.congress.gov/member/yvette-clarke/C001067
"Cleaver, Emanuel - Representative",,,,,,,Missouri,,5,Democratic,House: 2005-Present,https://www.congress.gov/member/emanuel-cleaver/C001061
"Cline, Ben - Representative",,,,,,,Virginia,,6,Republican,House: 2019-Present,https://www.congress.gov/member/ben-cline/C001118
"Cloud, Michael - Representative",,,,,,,Texas,,27,Republican,House: 2018-Present,https://www.congress.gov/member/michael-cloud/C001115
"Clyburn, James E. - Representative",,,,,,,South Carolina,,6,Democratic,House: 1993-Present,https://www.congress.gov/member/james-clyburn/C000537
"Clyde, Andrew S. - Representative",,,,,,,Georgia,,9,Republican,House: 2021-Present,https://www.congress.gov/member/andrew-clyde/C001116
"Cohen, Steve - Representative",,,,,,,Tennessee,,9,Democratic,House: 2007-Present,https://www.congress.gov/member/steve-cohen/C001068
"Cole, Tom - Representative",,,,,,,Oklahoma,,4,Republican,House: 2003-Present,https://www.congress.gov/member/tom-cole/C001053
"Collins, Mike - Representative",,,,,,,Georgia,,10,Republican,House: 2023-Present,https://www.congress.gov/member/mike-collins/C001129
