first_name,middle_name,nick_name,last_name,suffix,chamber,office,role,state,state_abbr,party,fecid,green_id,green_id2,website,campaign_website,date_reelection
Vicente,,,González,,H,House CD 34,Member of Congress,Texas,TX,Democratic,H6TX15162,G23353,G53756,https://gonzalez.house.gov/,http://www.vicentegonzalez.com/,11/3/26
Ernest,Anthony,Tony,Gonzales,II,H,House CD 23,Member of Congress,Texas,TX,Republican,H0TX35015,G34803,G53737,https://gonzales.house.gov/,http://www.tonygonzalesforcongress.com/,11/3/26
Lance,,,Gooden,,H,House CD 5,Member of Congress,Texas,TX,Republican,H8TX05144,G30099,G53721,https://gooden.house.gov/,http://www.lancegooden.com/,11/3/26
Maggie,,,Goodlander,,H,House CD 2,Member of Congress,New Hampshire,NH,Democratic,H4NH02399,G50953,G53619,https://goodlander.house.gov/,https://www.maggiefornh.com/,11/3/26
Paul,Anthony,,Gosar,,H,House CD 9,Member of Congress,Arizona,AZ,Republican,H0AZ01259,G6337,G53800,https://gosar.house.gov/,https://drpaulgosar.com/,11/3/26
Joshua,S.,Josh,Gottheimer,,H,House CD 5,Member of Congress,New Jersey,NJ,Democratic,H6NJ05171,G22371,G53824,https://gottheimer.house.gov/,http://www.josh4congress.com/,11/3/26
Lindsey,Olin,,Graham,,S,Senate Class 2,Senator,South Carolina,SC,Republican,S0SC00149,G670,G46951,http://lgraham.senate.gov/,http://www.lindseygraham.com/,11/3/26
Charles,E.,Chuck,Grassley,,S,Senate Class 3,Senator,Iowa,IA,Republican,,G223,,https://grassley.senate.gov/,https://www.grassleyworks.com/,11/7/28
Samuel,B.,Sam,Graves,Jr.,H,House CD 6,Member of Congress,Missouri,MO,Republican,H0MO06073,G404,G53601,https://graves.house.gov/,http://www.gravesforcongress.com/,11/3/26
Adam,C.,,Gray,,H,House CD 13,Member of Congress,California,CA,Democratic,H2CA13115,G46921,G53802,https://gray.house.gov/,https://www.adamgrayforcongress.com/,11/3/26
Alexander,,Al,Green,,H,House CD 9,Member of Congress,Texas,TX,Democratic,H4TX09095,G709,G53726,https://algreen.house.gov/,https://www.algreen.org/,11/3/26
Mark,E.,,Green,,H,House CD 7,Member of Congress,Tennessee,TN,Republican,,G27095,,https://markgreen.house.gov/,https://www.markgreentn.com/,11/3/26
Marjorie,Taylor,,Greene,,H,House CD 14,Member of Congress,Georgia,GA,Republican,H0GA06192,G34889,G53529,https://greene.house.gov/,https://www.marjorietaylorgreene.com/,11/3/26
H.,Morgan,Morgan,Griffith,,H,House CD 9,Member of Congress,Virginia,VA,Republican,H0VA09055,G9034,G53769,https://morgangriffith.house.gov/,http://www.morgangriffithforcongress.com/,11/3/26
Adelita,,,Grijalva,,H,House CD 7,Member of Congress,Arizona,AZ,Democratic,,G45,,https://grijalva.house.gov/,https://www.adelitaforcongress.com/,11/3/26
Glenn,S.,,Grothman,,H,House CD 6,Member of Congress,Wisconsin,WI,Republican,H4WI06048,G20510,G53788,https://grothman.house.gov/,http://www.glenngrothman.com/,11/3/26
Michael,Patrick,,Guest,,H,House CD 3,Member of Congress,Mississippi,MS,Republican,H8MS03125,G30479,G53605,https://guest.house.gov/,http://www.michaelguest.ms/,11/3/26
Steven,Brett,Brett,Guthrie,,H,House CD 2,Member of Congress,Kentucky,KY,Republican,H8KY02031,G2987,G52834,https://guthrie.house.gov/,http://www.brettguthrie.com/,11/3/26
Harriet,,,Hageman,,H,House At-Large,Member of Congress,Wyoming,WY,Republican,H2WY00166,G42439,G53792,https://hageman.house.gov/,https://www.hagemanforwyoming.com/,11/3/26
Bill,,,Hagerty,,S,Senate Class 2,Senator,Tennessee,TN,Republican,S0TN00169,G35595,G46954,https://www.hagerty.senate.gov/,https://www.teamhagerty.com/,11/3/26
Abraham,,Abe,Hamadeh,,H,House CD 8,Member of Congress,Arizona,AZ,Republican,H4AZ08108,G49078,G53444,https://hamadeh.house.gov/,https://www.abeforaz.com/,11/3/26
Josh,,,Harder,,H,House CD 9,Member of Congress,California,CA,Democratic,H8CA10126,G28125,G53453,https://harder.house.gov/,https://www.harderforcongress.com/,11/3/26
Mike,,,Haridopolos,,H,House CD 8,Member of Congress,Florida,FL,Republican,H4FL08168,G50893,G52749,https://haridopolos.house.gov/,https://www.mike4congress.com/,11/3/26
Patrick,Luke,Pat,Harrigan,,H,House CD 10,Member of Congress,North Carolina,NC,Republican,H2NC13243,G48741,G53615,https://harrigan.house.gov/,https://www.harriganforcongress.com/,11/3/26
Andrew,P.,Andy,Harris,,H,House CD 1,Member of Congress,Maryland,MD,Republican,H8MD01094,G5749,G53576,https://harris.house.gov/,http://www.andyharris.com/,11/3/26
Mark,Everette,,Harris,,H,House CD 8,Member of Congress,North Carolina,NC,Republican,H6NC09200,G48817,G52945,https://harris.house.gov/,https://www.markharrisforcongress.org/,11/3/26
Diana,Lynn,,Harshbarger,,H,House CD 1,Member of Congress,Tennessee,TN,Republican,H0TN01118,G37448,G53404,https://harshbarger.house.gov/,https://www.votediana.com/,11/3/26
Margaret,Wood,Maggie,Hassan,,S,Senate Class 3,Senator,New Hampshire,NH,Democratic,,G23085,,https://hassan.senate.gov/,http://www.maggiehassan.com/,11/7/28
Joshua,David,Josh,Hawley,,S,Senate Class 1,Senator,Missouri,MO,Republican,,G29068,,https://hawley.senate.gov/,http://www.joshhawley.com/,11/5/30
Jahana,,,Hayes,,H,House CD 5,Member of Congress,Connecticut,CT,Democratic,H8CT05245,G32378,G53496,https://hayes.house.gov/,http://www.jahanahayes.com/,11/3/26
Martin,Trevor,,Heinrich,,S,Senate Class 1,Senator,New Mexico,NM,Democratic,,G11766,,https://heinrich.senate.gov/,http://www.martinheinrich.com/,11/5/30
Kevin,R.,,Hern,,H,House CD 1,Member of Congress,Oklahoma,OK,Republican,H8OK01157,G27567,G53675,https://hern.house.gov/,http://www.hernforcongress.com/,11/3/26
John,W.,,Hickenlooper,,S,Senate Class 2,Senator,Colorado,CO,Democratic,S0CO00575,G46969,G46931,https://hickenlooper.senate.gov/,http://www.hickenlooper.com/,11/3/26
Clay,,,Higgins,,H,House CD 3,Member of Congress,Louisiana,LA,Republican,H6LA03148,G26982,G53095,https://clayhiggins.house.gov/,http://www.captainhiggins.com/,11/3/26
James,French,French,Hill,,H,House CD 2,Member of Congress,Arkansas,AR,Republican,H4AR02141,G18521,G53437,https://hill.house.gov/,http://www.electfrench.com/,11/3/26
Jim,,,Himes,,H,House CD 4,Member of Congress,Connecticut,CT,Democratic,H8CT04172,G1495,G53811,https://himes.house.gov/,http://www.himesforcongress.com/,11/3/26
Ashley,,,Hinson Arenholz,,S,Senate Class 2,Member of Congress,Iowa,IA,Republican,S6IA00314,G53533,G34777,https://hinson.house.gov/,https://www.ashleyhinson.com/,11/3/26
Mazie,K.,,Hirono,,S,Senate Class 1,Senator,Hawaii,HI,Democratic,,G12083,,https://www.hirono.senate.gov/,http://www.mazieforhawaii.com/,11/5/30
John,,,Hoeven,,S,Senate Class 3,Senator,North Dakota,ND,Republican,,G8297,,https://hoeven.senate.gov/,http://www.hoevenforsenate.com/,11/7/28
Steven,Alexzander,,Horsford,,H,House CD 4,Member of Congress,Nevada,NV,Democratic,H2NV04011,G30700,G53638,https://horsford.house.gov/,https://www.stevenhorsford.com/,11/3/26
Erin,,,Houchin,,H,House CD 9,Member of Congress,Indiana,IN,Republican,H6IN09143,G43742,G53557,https://houchin.house.gov/,https://www.erinhouchin.com/,11/3/26
Christina,Jampoler,Chrissy,Houlahan,,H,House CD 6,Member of Congress,Pennsylvania,PA,Democratic,H8PA06087,G27743,G53690,https://houlahan.house.gov/,http://www.chrissyhoulahanforcongress.com/,11/3/26
Steny,Hamilton,,Hoyer,,H,House CD 5,Member of Congress,Maryland,MD,Democratic,H2MD05155,G350,G53581,https://hoyer.house.gov/,http://www.hoyerforcongress.com/,11/3/26
Valerie,,Val,Hoyle,,H,House CD 4,Member of Congress,Oregon,OR,Democratic,H2OR04095,G42222,G53682,https://hoyle.house.gov/,https://www.valhoyle.com/,11/3/26
Richard,Lane,,Hudson,Jr.,H,House CD 9,Member of Congress,North Carolina,NC,Republican,H2NC08185,G13320,G53614,https://hudson.house.gov/,https://www.richardhudson.org/,11/3/26
Jared,W.,,Huffman,,H,House CD 2,Member of Congress,California,CA,Democratic,H2CA06259,G11720,G53446,https://huffman.house.gov/,http://www.jaredhuffman.com/,11/3/26
William,P.,Bill,Huizenga,,H,House CD 4,Member of Congress,Michigan,MI,Republican,H0MI02094,G5339,G53587,https://huizenga.house.gov/,https://www.huizengaformichigan.com/,11/3/26
Wesley,P.,,Hunt,,H,House CD 38,Member of Congress,Texas,TX,Republican,H0TX07170,G41567,G53758,https://hunt.house.gov/,https://www.wesleyfortexas.com/,11/3/26
Jeffrey,,Jeff,Hurd,,H,House CD 3,Member of Congress,Colorado,CO,Republican,H4CO03357,G48682,G53809,https://hurd.house.gov/,https://www.jeffhurdforcolorado.com/,11/3/26
Jon,A.,,Husted,,S,Senate Class 3 Special,Senator,Ohio,OH,Republican,S6OH00304,G52718,G41340,https://husted.senate.gov/,https://www.jonhusted.com/,11/3/26
Cindy,,,Hyde-Smith,,S,Senate Class 2,Senator,Mississippi,MS,Republican,S8MS00261,G425,G46942,https://www.hydesmith.senate.gov/,https://cindyhydesmith.com/,11/3/26
Darrell,Edward,,Issa,,H,House CD 48,Member of Congress,California,CA,Republican,H0CA48024,G35538,G53483,https://issa.house.gov/,https://www.darrellissa.com/,11/3/26
Glenn,F.,,Ivey,,H,House CD 4,Member of Congress,Maryland,MD,Democratic,H2MD04315,G42816,G53579,https://ivey.house.gov/,https://www.glennivey.com/,11/3/26
Brian,,,Jack,,H,House CD 3,Member of Congress,Georgia,GA,Republican,H4GA03126,G50511,G53519,https://jack.house.gov/,https://www.brianjack.com/,11/3/26
Jonathan,L.,,Jackson,,H,House CD 1,Member of Congress,Illinois,IL,Democratic,H2IL01349,G43989,G53812,https://jonathanjackson.house.gov/,,11/3/26
Ronny,Lynn,,Jackson,,H,House CD 13,Member of Congress,Texas,TX,Republican,H0TX13228,G36547,G53729,https://jackson.house.gov/,https://www.ronnyjacksontx.com/,11/3/26
Sara,,,Jacobs,,H,House CD 51,Member of Congress,California,CA,Democratic,H8CA49074,G35590,G53486,https://sarajacobs.house.gov/,https://www.sarajacobsforca.com/,11/3/26
John,,,James,,H,House CD 10,Member of Congress,Michigan,MI,Republican,,G44024,G53276,https://james.house.gov/,https://www.johnjamesmi.com/,11/3/26
Pramila,,,Jayapal,,H,House CD 7,Member of Congress,Washington,WA,Democratic,H6WA07458,G23899,G53779,https://jayapal.house.gov/,http://www.pramilaforcongress.com/,11/3/26
Hakeem,S.,,Jeffries,,H,House CD 8,Member of Congress,New York,NY,Democratic,H2NY10092,G12574,G53645,https://jeffries.house.gov/,https://hakeemjeffries.com/,11/3/26
Dustin,,Dusty,Johnson,,H,House At-Large,Member of Congress,South Dakota,SD,Republican,,G26939,G53710,https://dustyjohnson.house.gov/,http://www.dustyjohnson.com/,11/3/26
Henry,Calvin,Hank,Johnson,Jr.,H,House CD 4,Member of Congress,Georgia,GA,Democratic,H6GA04129,G192,G53520,https://hankjohnson.house.gov/,https://www.hankforcongress.com/,11/3/26
James,Michael,Mike,Johnson,,H,House CD 4,Member of Congress,Louisiana,LA,Republican,H6LA04138,G26981,G53569,https://mikejohnson.house.gov/,https://www.mikejohnsonforlouisiana.com/,11/3/26
Julie,,,Johnson,,H,House CD 32,Member of Congress,Texas,TX,Democratic,H4TX32089,G48321,G53754,https://juliejohnson.house.gov/,https://www.juliejohnson.com/,11/3/26
Ronald,Harold,Ron,Johnson,,S,Senate Class 3,Senator,Wisconsin,WI,Republican,,G10193,,https://ronjohnson.senate.gov/,http://www.ronjohnsonforsenate.com/,11/7/28
James,D.,Jim,Jordan,,H,House CD 4,Member of Congress,Ohio,OH,Republican,H6OH04082,G572,G53666,https://jordan.house.gov/,http://www.jimjordanforcongress.com/,11/3/26
David,P.,Dave,Joyce,,H,House CD 14,Member of Congress,Ohio,OH,Republican,H2OH14064,G15811,G53673,https://joyce.house.gov/,http://www.joyceforcongress.com/,11/3/26
John,,,Joyce,,H,House CD 13,Member of Congress,Pennsylvania,PA,Republican,H8PA13125,G33562,G53696,https://johnjoyce.house.gov/,https://www.johnjoyceforcongress.com/,11/3/26
James,Conley,Jim,Justice,II,S,Senate Class 1,Senator,West Virginia,WV,Republican,,G48066,,http://justice.senate.gov/,https://www.jimjusticewv.com/,11/5/30
Timothy,Michael,Tim,Kaine,,S,Senate Class 1,Senator,Virginia,VA,Democratic,,G12366,,https://kaine.senate.gov/,https://www.timkaine.com/,11/5/30
Sydney,K.,,Kamlager-Dove,,H,House CD 37,Member of Congress,California,CA,Democratic,H2CA37304,G43168,G53474,https://kamlager-dove.house.gov/,https://www.sydneykamlager.com/,11/3/26
Marcia,Carolyn,Marcy,Kaptur,,H,House CD 9,Member of Congress,Ohio,OH,Democratic,H2OH09031,G577,G53669,https://kaptur.house.gov/,https://marcykaptur.com/,11/3/26
Thomas,H.,Tom,Kean,Jr.,H,House CD 7,Member of Congress,New Jersey,NJ,Republican,H0NJ07261,G41855,G53624,https://kean.house.gov/,https://www.tomkean.com/,11/3/26
William,Richard,Bill,Keating,,H,House CD 9,Member of Congress,Massachusetts,MA,Democratic,H0MA10082,G9267,G53818,https://keating.house.gov/,http://www.keatingforcongress.com/,11/3/26
George,Joseph,Mike,Kelly,Jr.,H,House CD 16,Member of Congress,Pennsylvania,PA,Republican,H0PA03271,G8615,G53699,https://kelly.house.gov/,https://www.mikekellyforcongress.com/,11/3/26
John,Trent,Trent,Kelly,,H,House CD 1,Member of Congress,Mississippi,MS,Republican,H6MS01131,G6736,G53604,https://trentkelly.house.gov/,http://www.kellyformississippi.com/,11/3/26
Mark,,,Kelly,,S,Senate Class 3,Senator,Arizona,AZ,Democratic,,G49,,https://kelly.senate.gov/,https://www.markkelly.com/,11/7/28
