first_name,last_name,committee,subcommittee,cid,fec_id,bioguide_id,,,,,
James,Baird,Foreign Affairs,,N00041954,H8IN04199,B001307,,,,,
James,Baird,"Science, Space, and Technology",,N00041954,H8IN04199,B001307,,,,,
Troy,Balderson,Energy and Commerce,,N00042194,H8OH12180,B001306,,,,,
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",,,B001230,,,,,
Tammy,Baldwin,Committee on Appropriations,Subcommittee on Department of Defense,,,B001230,,,,,
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Department of Interior, Environment, and Related Agencies",,,B001230,,,,,
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",,,B001230,,,,,
Tammy,Baldwin,Committee on Appropriations,Subcommittee on Energy and Water Development,,,B001230,,,,,
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",,,B001230,,,,,
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation","Subcommittee on Coast Guard, Maritime, and Fisheries",,,B001230,,,,,
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy",,,B001230,,,,,
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness",,,B001230,,,,,
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media,,,B001230,,,,,
Tammy,Baldwin,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety,,,B001230,,,,,
Tammy,Baldwin,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security,,,B001230,,,,,
Becca,Balint,Budget,,N00049900,H2VT01076,B001318,,,,,
Becca,Balint,Judiciary,,N00049900,H2VT01076,B001318,,,,,
Jim,Banks,Committee on Armed Services,Subcommittee on Personnel,N00037185,H6IN03229,B001299,,,,,
Jim,Banks,Committee on Armed Services,Subcommittee on Seapower,N00037185,H6IN03229,B001299,,,,,
Jim,Banks,Committee on Armed Services,Subcommittee on Strategic Forces,N00037185,H6IN03229,B001299,,,,,
Jim,Banks,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Economic Policy,N00037185,H6IN03229,B001299,,,,,
Jim,Banks,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on National Security and International Trade and Finance,N00037185,H6IN03229,B001299,,,,,
Jim,Banks,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment",N00037185,H6IN03229,B001299,,,,,
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family,N00037185,H6IN03229,B001299,,,,,
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety,N00037185,H6IN03229,B001299,,,,,
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security,N00037185,H6IN03229,B001299,,,,,
Jim,Banks,Committee on Veterans' Affairs,,N00037185,H6IN03229,B001299,,,,,
Andy,Barr,Financial Services,,N00031233,H0KY06104,B001282,,,,,
Andy,Barr,Foreign Affairs,,N00031233,H0KY06104,B001282,,,,,
Andy,Barr,Select Comm on the Strategic Competition US and China,,N00031233,H0KY06104,B001282,,,,,
John,Barrasso,Committee on Energy and Natural Resources,Subcommittee on Energy,,,B001261,,,,,
John,Barrasso,Committee on Energy and Natural Resources,Subcommittee on National Parks,,,B001261,,,,,
John,Barrasso,Committee on Energy and Natural Resources,"Subcommittee on Public Lands, Forests, and Mining",,,B001261,,,,,
John,Barrasso,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure",,,B001261,,,,,
John,Barrasso,Committee on Finance,Subcommittee on Health Care,,,B001261,,,,,
John,Barrasso,Committee on Finance,Subcommittee on Taxation and IRS Oversight,,,B001261,,,,,
John,Barrasso,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy,,,B001261,,,,,
John,Barrasso,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation,,,B001261,,,,,
John,Barrasso,Committee on Foreign Relations,"Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",,,B001261,,,,,
John,Barrasso,Committee on Foreign Relations,"Subcommittee on State Department and USAID Management, International Operations, and Bilateral International Development",,,B001261,,,,,
Tom,Barrett,Transportation and Infrastructure,,N00049596,H2MI07123,B001321,,,,,
Tom,Barrett,Veterans' Affairs,,N00049596,H2MI07123,B001321,,,,,
Michael,Baumgartner,Education and Workforce,,,,B001322,,,,,
Michael,Baumgartner,Foreign Affairs,,,,B001322,,,,,
Michael,Baumgartner,Judiciary,,,,B001322,,,,,
Aaron,Bean,Ways and Means,,N00051369,H2FL04211,B001314,,,,,
Joyce,Beatty,Financial Services,,N00033904,H2OH03125,B001281,,,,,
Nicholas,Begich,Natural Resources,,N00049408,H2AK01083,B001323,,,,,
Nicholas,Begich,"Science, Space, and Technology",,N00049408,H2AK01083,B001323,,,,,
Nicholas,Begich,Transportation and Infrastructure,,N00049408,H2AK01083,B001323,,,,,
Wesley,Bell,Armed Services,,,,B001324,,,,,
Wesley,Bell,Oversight and Government Reform,,,,B001324,,,,,
Michael,Bennet,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",N00030608,S0CO00211,B001267,,,,,
Michael,Bennet,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Rural Development, Energy, and Credit",N00030608,S0CO00211,B001267,,,,,
Michael,Bennet,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure",N00030608,S0CO00211,B001267,,,,,
Michael,Bennet,Committee on Finance,"Subcommittee on International Trade, Customs, and Global Competitiveness",N00030608,S0CO00211,B001267,,,,,
Michael,Bennet,Committee on Finance,Subcommittee on Taxation and IRS Oversight,N00030608,S0CO00211,B001267,,,,,
Michael,Bennet,Committee on Rules and Administration,,N00030608,S0CO00211,B001267,,,,,
Michael,Bennet,Select Committee on Intelligence,,N00030608,S0CO00211,B001267,,,,,
Cliff,Bentz,Energy and Commerce,,N00045773,H0OR02127,B000668,,,,,
Cliff,Bentz,Natural Resources,,N00045773,H0OR02127,B000668,,,,,
Ami,Bera,Foreign Affairs,,N00030717,H0CA03078,B001287,,,,,
Ami,Bera,Intelligence,,N00030717,H0CA03078,B001287,,,,,
Jack,Bergman,Armed Services,,N00039533,H6MI01226,B001301,,,,,
Jack,Bergman,Budget,,N00039533,H6MI01226,B001301,,,,,
Jack,Bergman,Veterans' Affairs,,N00039533,H6MI01226,B001301,,,,,
Donald,Beyer,Ways and Means,,,,B001292,,,,,
Stephanie,Bice,Appropriations,,N00044579,H0OK05205,B000740,,,,,
Stephanie,Bice,House Administration,,N00044579,H0OK05205,B000740,,,,,
Andy,Biggs,Judiciary,,N00039293,H6AZ05083,B001302,,,,,
Andy,Biggs,Oversight and Government Reform,,N00039293,H6AZ05083,B001302,,,,,
Sheri,Biggs,Foreign Affairs,,,,B001325,,,,,
Sheri,Biggs,Homeland Security,,,,B001325,,,,,
Sheri,Biggs,"Science, Space, and Technology",,,,B001325,,,,,
Gus,Bilirakis,Energy and Commerce,,N00027462,H6FL09070,B001257,,,,,
Gus,Bilirakis,Select Comm on the Strategic Competition US and China,,N00027462,H6FL09070,B001257,,,,,
Sanford,Bishop,Appropriations,,N00002674,H2GA02031,B000490,,,,,
Marsha,Blackburn,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy",,,B001243,,,,,
Marsha,Blackburn,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness",,,B001243,,,,,
Marsha,Blackburn,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media,,,B001243,,,,,
Marsha,Blackburn,Committee on Finance,Subcommittee on Health Care,,,B001243,,,,,
Marsha,Blackburn,Committee on Finance,"Subcommittee on Social Security, Pensions, and Family Policy",,,B001243,,,,,
Marsha,Blackburn,Committee on Finance,Subcommittee on Taxation and IRS Oversight,,,B001243,,,,,
Marsha,Blackburn,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism,,,B001243,,,,,
Marsha,Blackburn,Committee on the Judiciary,Subcommittee on Intellectual Property,,,B001243,,,,,
Marsha,Blackburn,Committee on the Judiciary,"Subcommittee on Privacy, Technology, and the Law",,,B001243,,,,,
Marsha,Blackburn,Committee on the Judiciary,Subcommittee on the Constitution,,,B001243,,,,,
Marsha,Blackburn,Committee on Veterans' Affairs,,,,B001243,,,,,
Marsha,Blackburn,Joint Economic Committee,,,,B001243,,,,,
Richard,Blumenthal,Committee on Armed Services,Subcommittee on Airland,N00031685,S0CT00177,B001277,,,,,
Richard,Blumenthal,Committee on Armed Services,Subcommittee on Personnel,N00031685,S0CT00177,B001277,,,,,
Richard,Blumenthal,Committee on Armed Services,Subcommittee on Seapower,N00031685,S0CT00177,B001277,,,,,
Richard,Blumenthal,Committee on Homeland Security and Governmental Affairs,Permanent Subcommittee on Investigations,N00031685,S0CT00177,B001277,,,,,
Richard,Blumenthal,Committee on Homeland Security and Governmental Affairs,"Subcommittee on Disaster Management, District of Columbia, and Census",N00031685,S0CT00177,B001277,,,,,
Richard,Blumenthal,Committee on the Judiciary,"Subcommittee on Antitrust, Competition Policy, and Consumer Rights",N00031685,S0CT00177,B001277,,,,,
Richard,Blumenthal,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism,N00031685,S0CT00177,B001277,,,,,
Richard,Blumenthal,Committee on the Judiciary,"Subcommittee on Federal Courts, Oversight, Agency Action, and Federal Rights",N00031685,S0CT00177,B001277,,,,,
Richard,Blumenthal,Committee on the Judiciary,"Subcommittee on Privacy, Technology, and the Law",N00031685,S0CT00177,B001277,,,,,
Richard,Blumenthal,Committee on Veterans' Affairs,,N00031685,S0CT00177,B001277,,,,,
Richard,Blumenthal,United States Senate Caucus on International Narcotics Control,,N00031685,S0CT00177,B001277,,,,,
Lisa,Blunt Rochester,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Economic Policy,,,B001303,,,,,
Lisa,Blunt Rochester,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development",,,B001303,,,,,
Lisa,Blunt Rochester,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment",,,B001303,,,,,
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation","Subcommittee on Coast Guard, Maritime, and Fisheries",,,B001303,,,,,
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy",,,B001303,,,,,
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness",,,B001303,,,,,
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media,,,B001303,,,,,
Lisa,Blunt Rochester,Committee on Environment and Public Works,"Subcommittee on Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",,,B001303,,,,,
Lisa,Blunt Rochester,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety",,,B001303,,,,,
Lisa,Blunt Rochester,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,,,B001303,,,,,
Lisa,Blunt Rochester,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family,,,B001303,,,,,
Lisa,Blunt Rochester,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security,,,B001303,,,,,
Lauren,Boebert,Natural Resources,,N00045974,H0CO03165,B000825,,,,,
Lauren,Boebert,Oversight and Government Reform,,N00045974,H0CO03165,B000825,,,,,
Suzanne,Bonamici,Education and Workforce,,N00033474,H2OR01133,B001278,,,,,
Suzanne,Bonamici,"Science, Space, and Technology",,N00033474,H2OR01133,B001278,,,,,
Cory,Booker,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",,,B001288,,,,,
Cory,Booker,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",,,B001288,,,,,
Cory,Booker,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Livestock, Dairy, Poultry, and Food Safety",,,B001288,,,,,
Cory,Booker,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy,,,B001288,,,,,
Cory,Booker,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation,,,B001288,,,,,
Cory,Booker,Committee on Foreign Relations,"Subcommittee on Near East, South Asia, Central Asia, and Counterterrorism",,,B001288,,,,,
Cory,Booker,Committee on Small Business and Entrepreneurship,,,,B001288,,,,,
Cory,Booker,Committee on the Judiciary,"Subcommittee on Antitrust, Competition Policy, and Consumer Rights",,,B001288,,,,,
Cory,Booker,Committee on the Judiciary,Subcommittee on Border Security and Immigration,,,B001288,,,,,
Cory,Booker,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism,,,B001288,,,,,
Cory,Booker,Committee on the Judiciary,Subcommittee on the Constitution,,,B001288,,,,,
John,Boozman,Commission on Security and Cooperation in Europe,,N00013873,S0AR00150,B001236,,,,,
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",N00013873,S0AR00150,B001236,,,,,
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",N00013873,S0AR00150,B001236,,,,,
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",N00013873,S0AR00150,B001236,,,,,
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Livestock, Dairy, Poultry, and Food Safety",N00013873,S0AR00150,B001236,,,,,
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Rural Development, Energy, and Credit",N00013873,S0AR00150,B001236,,,,,
