first_name,middle_name,nick_name,last_name,suffix,title,chamber,residence,state,state_abbr,district,note,raw_name
John,,,Thune,,Senator,SENATE,,South Dakota,SD,,,John Thune
Mike,,,Rounds,,Senator,SENATE,,South Dakota,SD,,,Mike Rounds
Marsha,,,Blackburn,,Senator,SENATE,,Tennessee,TN,,,Marsha Blackburn
Bill,,,Hagerty,,Senator,SENATE,,Tennessee,TN,,,Bill Hagerty
John,,,Cornyn,,Senator,SENATE,,Texas,TX,,,John Cornyn
Ted,,,Cruz,,Senator,SENATE,,Texas,TX,,,Ted Cruz
Mike,,,Lee,,Senator,SENATE,,Utah,UT,,,Mike Lee
John,R.,,Curtis,,Senator,SENATE,,Utah,UT,,,John R. Curtis
BERNARD,,,SANDERS,,Senator,SENATE,,Vermont,VT,,,BERNARD SANDERS
Peter,,,Welch,,Senator,SENATE,,Vermont,VT,,,Peter Welch
Mark,R.,,Warner,,Senator,SENATE,,Virginia,VA,,,Mark R. Warner
Tim,,,Kaine,,Senator,SENATE,,Virginia,VA,,,Tim Kaine
Patty,,,Murray,,Senator,SENATE,,Washington,WA,,,Patty Murray
Maria,,,Cantwell,,Senator,SENATE,,Washington,WA,,,Maria Cantwell
Shelley,Moore,,Capito,,Senator,SENATE,,West Virginia,WV,,,Shelley Moore Capito
Jim,,,Justice,,Senator,SENATE,,West Virginia,WV,,,Jim Justice
Ron,,,Johnson,,Senator,SENATE,,Wisconsin,WI,,,Ron Johnson
Tammy,,,Baldwin,,Senator,SENATE,,Wisconsin,WI,,,Tammy Baldwin
John,,,Barrasso,,Senator,SENATE,,Wyoming,WY,,,John Barrasso
Cynthia,M.,,Lummis,,Senator,SENATE,,Wyoming,WY,,,Cynthia M. Lummis
