first_name,last_name,middle_name,nick_name,bioguide_id,birth_year,death_year,position,state,party,congress_number,election_date
Jim,Costa,,,C001059,1952,,Representative,CA,Democrat,119,
Tom,Cotton,,Tom,C001095,1977,,Senator,AR,Republican,119,
Joe,Courtney,,,C001069,1953,,Representative,CT,Democrat,119,
Angela,Craig,,,C001119,1972,,Representative,MN,Democrat,119,
Kevin,Cramer,,,C001096,1961,,Senator,ND,Republican,119,
Eli,Crane,,,C001132,1980,,Representative,AZ,Republican,119,
Jeff,Crank,,,C001137,1967,,Representative,CO,Republican,119,
Michael,Crapo,Dean,,C000880,1951,,Senator,ID,Republican,119,
Rick,Crawford,,,C001087,1966,,Representative,AR,Republican,119,
Daniel,Crenshaw,,,C001120,1984,,Representative,TX,Republican,119,2024-11-05
Jasmine,Crockett,,,C001130,1981,,Representative,TX,Democrat,119,2024-11-05
Jason,Crow,,,C001121,1979,,Representative,CO,Democrat,119,
Rafael,Cruz,Edward,Ted,C001098,1970,,Senator,TX,Republican,119,
Henry,Cuellar,,,C001063,1955,,Representative,TX,Democrat,119,2024-11-05
John,Curtis,R.,,C001114,1960,,Senator,UT,Republican,119,
Steve,Daines,,,D000618,1962,,Senator,MT,Republican,119,
Sharice,Davids,,,D000629,1980,,Representative,KS,Democrat,119,
Warren,Davidson,,,D000626,1970,,Representative,OH,Republican,119,
Danny,Davis,K.,,D000096,1941,,Representative,IL,Democrat,119,
Don,Davis,,,D000230,1971,,Representative,NC,Democrat,119,
Monica,De La Cruz,,,D000594,1974,,Representative,TX,Republican,119,2024-11-05
Diana,DeGette,,,D000197,1957,,Representative,CO,Democrat,119,
Madeleine,Dean,,,D000631,1959,,Representative,PA,Democrat,119,
Rosa,Delauro,L.,,D000216,1943,,Representative,CT,Democrat,119,
Suzan,Delbene,K.,,D000617,1962,,Representative,WA,Democrat,119,2024-11-05
Chris,Deluzio,,,D000530,1984,,Representative,PA,Democrat,119,
Mark,Desaulnier,James,,D000623,1952,,Representative,CA,Democrat,119,
Scott,Desjarlais,,,D000616,1964,,Representative,TN,Republican,119,2024-11-05
Maxine,Dexter,,,D000635,1972,,Representative,OR,Democrat,119,2024-11-05
Mario,Diaz-Balart,,,D000600,1961,,Representative,FL,Republican,119,
Debbie,Dingell,,,D000624,1953,,Representative,MI,Democrat,119,2024-11-05
Lloyd,Doggett,Alton,,D000399,1946,,Representative,TX,Democrat,119,2024-11-05
Byron,Donalds,,,D000032,1978,,Representative,FL,Republican,119,
Troy,Downing,,,D000634,1967,,Representative,MT,Republican,119,2024-11-05
Tammy,Duckworth,,,D000622,1968,,Senator,IL,Democrat,119,
Neal,Dunn,Patrick,,D000628,1953,,Representative,FL,Republican,119,
Richard,Durbin,Joseph,,D000563,1944,,Senator,IL,Democrat,119,
Chuck,Edwards,,,E000246,1960,,Representative,NC,Republican,119,
Sarah,Elfreth,,,E000301,1988,,Representative,MD,Democrat,119,
Jake,Ellzey,,,E000071,1970,,Representative,TX,Republican,119,2024-11-05
Thomas,Emmer,Earl,,E000294,1961,,Representative,MN,Republican,119,
Joni,Ernst,,,E000295,1970,,Senator,IA,Republican,119,
Veronica,Escobar,,,E000299,1969,,Representative,TX,Democrat,119,2024-11-05
Adriano,Espaillat,J.,,E000297,1954,,Representative,NY,Democrat,119,
Ron,Estes,,,E000298,1956,,Representative,KS,Republican,119,
Dwight,Evans,,,E000296,1954,,Representative,PA,Democrat,119,
Gabe,Evans,,,E000300,1986,,Representative,CO,Republican,119,
Mike,Ezell,,,E000235,1959,,Representative,MS,Republican,119,
Pat,Fallon,,,F000246,1967,,Representative,TX,Republican,119,2024-11-05
Julie,Fedorchak,,,F000482,1968,,Representative,ND,Republican,119,2024-11-05
Randy,Feenstra,,,F000446,1969,,Representative,IA,Republican,119,
John,Fetterman,Karl,,F000479,1969,,Senator,PA,Democrat,119,
Cleo,Fields,,,F000110,1962,,Representative,LA,Democrat,119,
Shomari,Figures,C.,,F000481,1985,,Representative,AL,Democrat,119,2024-11-05
Randy,Fine,,,F000484,1974,,Representative,FL,Republican,119,2025-04-01
Brad,Finstad,,,F000475,1976,,Representative,MN,Republican,119,
Michelle,Fischbach,,,F000470,1965,,Representative,MN,Republican,119,
Debra,Fischer,,Deb,F000463,1951,,Senator,NE,Republican,119,
Scott,Fitzgerald,,,F000471,1963,,Representative,WI,Republican,119,
Brian,Fitzpatrick,K.,,F000466,1973,,Representative,PA,Republican,119,
Chuck,Fleischmann,,,F000459,1962,,Representative,TN,Republican,119,2024-11-05
Elizabeth,Fletcher,Pannill,,F000468,1975,,Representative,TX,Democrat,119,2024-11-05
Mike,Flood,,,F000474,1975,,Representative,NE,Republican,119,
Vince,Fong,,,F000480,1979,,Representative,CA,Republican,119,
Bill,Foster,,,F000454,1955,,Representative,IL,Democrat,119,
Valerie,Foushee,,,F000477,1956,,Representative,NC,Democrat,119,
Virginia,Foxx,Ann,,F000450,1943,,Representative,NC,Republican,119,
Lois,Frankel,,,F000462,1948,,Representative,FL,Democrat,119,
Scott,Franklin,,,F000472,1964,,Representative,FL,Republican,119,
Laura,Friedman,,,F000483,1966,,Representative,CA,Democrat,119,
Maxwell,Frost,,,F000476,1997,,Representative,FL,Democrat,119,
Russell,Fry,,,F000478,1985,,Representative,SC,Republican,119,
Russell,Fulcher,,,F000469,1962,,Representative,ID,Republican,119,
Ruben,Gallego,,,G000574,1979,,Senator,AZ,Democrat,119,
John,Garamendi,,,G000559,1945,,Representative,CA,Democrat,119,
Andrew,Garbarino,R.,,G000597,1984,,Representative,NY,Republican,119,
Jesus,Garcia,,,G000586,1956,,Representative,IL,Democrat,119,
Robert,Garcia,,,G000598,1977,,Representative,CA,Democrat,119,
Sylvia,Garcia,,,G000587,1950,,Representative,TX,Democrat,119,2024-11-05
Brandon,Gill,,,G000603,1994,,Representative,TX,Republican,119,2024-11-05
Laura,Gillen,,,G000602,1969,,Representative,NY,Democrat,119,
Kirsten,Gillibrand,,,G000555,1966,,Senator,NY,Democrat,119,
Carlos,Gimenez,A.,,G000593,1954,,Representative,FL,Republican,119,
Jared,Golden,,,G000592,1982,,Representative,ME,Democrat,119,
Craig,Goldman,A.,,G000601,1968,,Representative,TX,Republican,119,2024-11-05
Daniel,Goldman,,,G000599,1976,,Representative,NY,Democrat,119,
Jimmy,Gomez,,,G000585,1974,,Representative,CA,Democrat,119,
Tony,Gonzales,,,G000594,1980,,Representative,TX,Republican,119,2024-11-05
Vicente,Gonzalez,,,G000581,1967,,Representative,TX,Democrat,119,2024-11-05
Lance,Gooden,,,G000589,1982,,Representative,TX,Republican,119,2024-11-05
Maggie,Goodlander,,,G000604,1986,,Representative,NH,Democrat,119,
Paul,Gosar,,,G000565,1958,,Representative,AZ,Republican,119,
Josh,Gottheimer,S.,,G000583,1975,,Representative,NJ,Democrat,119,2024-11-05
Lindsey,Graham,O.,,G000359,1955,,Senator,SC,Republican,119,
Charles,Grassley,Ernest,,G000386,1933,,Senator,IA,Republican,119,
Samuel,Graves,,,G000546,1963,,Representative,MO,Republican,119,
Adam,Gray,,,G000605,1977,,Representative,CA,Democrat,119,
Al,Green,,,G000553,1947,,Representative,TX,Democrat,119,2024-11-05
Mark,Green,E.,,G000590,1964,,Representative,TN,Republican,119,2024-11-05
Marjorie,Greene,Taylor,,G000596,1974,,Representative,GA,Republican,119,
H.,Griffith,Morgan,,G000568,1958,,Representative,VA,Republican,119,
Raul,Grijalva,M.,,G000551,1948,2025,Representative,AZ,Democrat,119,
Glenn,Grothman,,,G000576,1955,,Representative,WI,Republican,119,
Michael,Guest,,,G000591,1970,,Representative,MS,Republican,119,
Brett,Guthrie,,,G000558,1964,,Representative,KY,Republican,119,
Harriet,Hageman,,,H001096,1962,,Representative,WY,Republican,119,2024-11-05
William,Hagerty,Francis,Bill,H000601,1959,,Senator,TN,Republican,119,
Abraham,Hamadeh,,,H001098,1991,,Representative,AZ,Republican,119,
Josh,Harder,,,H001090,1986,,Representative,CA,Democrat,119,
Mike,Haridopolos,,,H001099,1970,,Representative,FL,Republican,119,
Pat,Harrigan,,,H001101,1987,,Representative,NC,Republican,119,
Andy,Harris,,,H001052,1957,,Representative,MD,Republican,119,
Kamala,Harris,Devi,,H001075,1964,,Senator,CA,Democrat,117,
Mark,Harris,,,H001102,1966,,Representative,NC,Republican,119,
Diana,Harshbarger,,,H001086,1960,,Representative,TN,Republican,119,2024-11-05
Margaret,Hassan,Wood,Maggie,H001076,1958,,Senator,NH,Democrat,119,
Joshua,Hawley,David,,H001089,1979,,Senator,MO,Republican,119,
Jahana,Hayes,,,H001081,1973,,Representative,CT,Democrat,119,
Martin,Heinrich,,,H001046,1971,,Senator,NM,Democrat,119,
Kevin,Hern,,,H001082,1961,,Representative,OK,Republican,119,
Pablo,Hernandez,Jose,,H001103,1991,,Resident Commissioner,PR,Popular Democrat,119,
John,Hickenlooper,Wright,,H000273,1952,,Senator,CO,Democrat,119,
Clay,Higgins,,,H001077,1961,,Representative,LA,Republican,119,
French,Hill,,,H001072,1956,,Representative,AR,Republican,119,
James,Himes,A.,,H001047,1966,,Representative,CT,Democrat,119,
Ashley,Hinson,,,H001091,1983,,Representative,IA,Republican,119,
Mazie,Hirono,,,H001042,1947,,Senator,HI,Democrat,119,
John,Hoeven,,,H001061,1957,,Senator,ND,Republican,119,
Steven,Horsford,,,H001066,1973,,Representative,NV,Democrat,119,2024-11-05
Erin,Houchin,,,H001093,1976,,Representative,IN,Republican,119,
Christina,Houlahan,,,H001085,1967,,Representative,PA,Democrat,119,
Steny,Hoyer,Hamilton,,H000874,1939,,Representative,MD,Democrat,119,
Val,Hoyle,,,H001094,1964,,Representative,OR,Democrat,119,2024-11-05
Richard,Hudson,,,H001067,1971,,Representative,NC,Republican,119,
Jared,Huffman,,,H001068,1964,,Representative,CA,Democrat,119,
Bill,Huizenga,,,H001058,1969,,Representative,MI,Republican,119,2024-11-05
Wesley,Hunt,,,H001095,1981,,Representative,TX,Republican,119,2024-11-05
Jeff,Hurd,,,H001100,1979,,Representative,CO,Republican,119,
Jon,Husted,,,H001104,1967,,Senator,OH,Republican,119,
Cindy,Hyde-Smith,,,H001079,1959,,Senator,MS,Republican,119,
Darrell,Issa,,,I000056,1953,,Representative,CA,Republican,119,
Glenn,Ivey,,,I000058,1961,,Representative,MD,Democrat,119,
Brian,Jack,,,J000311,1988,,Representative,GA,Republican,119,
Jonathan,Jackson,,,J000309,1966,,Representative,IL,Democrat,119,
Ronny,Jackson,,,J000304,1967,,Representative,TX,Republican,119,2024-11-05
Sara,Jacobs,,,J000305,1989,,Representative,CA,Democrat,119,
John,James,,,J000307,1981,,Representative,MI,Republican,119,2024-11-05
Pramila,Jayapal,,,J000298,1965,,Representative,WA,Democrat,119,2024-11-05
Hakeem,Jeffries,,,J000294,1970,,Representative,NY,Democrat,119,
Dustin,Johnson,,Dusty,J000301,1976,,Representative,SD,Republican,119,2024-11-05
Hank,Johnson,,,J000288,1954,,Representative,GA,Democrat,119,
Julie,Johnson,,,J000310,1966,,Representative,TX,Democrat,119,2024-11-05
Mike,Johnson,,,J000299,1972,,Representative,LA,Republican,119,
Ron,Johnson,,,J000293,1955,,Senator,WI,Republican,119,
Jim,Jordan,,,J000289,1964,,Representative,OH,Republican,119,
David,Joyce,,,J000295,1957,,Representative,OH,Republican,119,
John,Joyce,,,J000302,1957,,Representative,PA,Republican,119,
James,Justice,Conley,,J000312,1951,,Senator,WV,Republican,119,
Timothy,Kaine,Michael,Tim,K000384,1958,,Senator,VA,Democrat,119,
Sydney,Kamlager-Dove,,,K000400,1972,,Representative,CA,Democrat,119,
Marcia,Kaptur,Carolyn,Marcy,K000009,1946,,Representative,OH,Democrat,119,
Thomas,Kean,,,K000398,1968,,Representative,NJ,Republican,119,2024-11-05
William,Keating,R.,,K000375,1952,,Representative,MA,Democrat,119,
Mark,Kelly,Edward,,K000377,1964,,Senator,AZ,Democrat,119,
Mike,Kelly,,,K000376,1948,,Representative,PA,Republican,119,
Robin,Kelly,L.,,K000385,1956,,Representative,IL,Democrat,119,
Trent,Kelly,,,K000388,1966,,Representative,MS,Republican,119,
John,Kennedy,Neely,,K000393,1951,,Senator,LA,Republican,119,
Mike,Kennedy,,,K000403,1969,,Representative,UT,Republican,119,2024-11-05
Timothy,Kennedy,M.,,K000402,1976,,Representative,NY,Democrat,119,
Ro,Khanna,,,K000389,1976,,Representative,CA,Democrat,119,
Jennifer,Kiggans,,,K000399,1971,,Representative,VA,Republican,119,
Kevin,Kiley,,,K000401,1985,,Representative,CA,Republican,119,
Andy,Kim,,,K000394,1982,,Senator,NJ,Democrat,119,
Young,Kim,,,K000397,1962,,Representative,CA,Republican,119,
Angus,King,Stanley,,K000383,1944,,Senator,ME,Independent,119,
Kimberlyn,King-Hinds,,,K000404,1975,,Delegate,MP,Republican,119,
Amy,Klobuchar,,,K000367,1960,,Senator,MN,Democrat,119,
Brad,Knott,,,K000405,1986,,Representative,NC,Republican,119,
S.,Krishnamoorthi,Raja,,K000391,1973,,Representative,IL,Democrat,119,
David,Kustoff,,,K000392,1966,,Representative,TN,Republican,119,2024-11-05
Nicholas,LaLota,,,L000598,1978,,Representative,NY,Republican,119,
Darin,Lahood,,,L000585,1968,,Representative,IL,Republican,119,
Doug,Lamalfa,,,L000578,1960,,Representative,CA,Republican,119,
Greg,Landsman,,,L000601,1976,,Representative,OH,Democrat,119,
Nicholas,Langworthy,A.,,L000600,1981,,Representative,NY,Republican,119,
James,Lankford,,,L000575,1968,,Senator,OK,Republican,119,
Richard,Larsen,Ray,Rick,L000560,1965,,Representative,WA,Democrat,119,2024-11-05
John,Larson,B.,,L000557,1948,,Representative,CT,Democrat,119,
George,Latimer,,,L000606,1953,,Representative,NY,Democrat,119,
Robert,Latta,E.,,L000566,1956,,Representative,OH,Republican,119,
Michael,Lawler,,,L000599,1986,,Representative,NY,Republican,119,
Laurel,Lee,,,L000597,1974,,Representative,FL,Republican,119,
Mike,Lee,,,L000577,1971,,Senator,UT,Republican,119,
Summer,Lee,,,L000602,1987,,Representative,PA,Democrat,119,
Susie,Lee,,,L000590,1966,,Representative,NV,Democrat,119,2024-11-05
Teresa,Leger Fernandez,,,L000273,1959,,Representative,NM,Democrat,119,
Julia,Letlow,,,L000595,1981,,Representative,LA,Republican,119,
Mike,Levin,,,L000593,1978,,Representative,CA,Democrat,119,
Sam,Liccardo,T.,,L000607,1970,,Representative,CA,Democrat,119,
Ted,Lieu,,,L000582,1969,,Representative,CA,Democrat,119,
Zoe,Lofgren,,,L000397,1947,,Representative,CA,Democrat,119,
Barry,Loudermilk,D.,,L000583,1963,,Representative,GA,Republican,119,
Frank,Lucas,D.,,L000491,1960,,Representative,OK,Republican,119,
Ben,Lujan,Ray,,L000570,1972,,Senator,NM,Democrat,119,
Cynthia,Lummis,M.,,L000571,1954,,Senator,WY,Republican,119,
Anna,Luna,,,L000596,1989,,Representative,FL,Republican,119,
Morgan,Luttrell,,,L000603,1975,,Representative,TX,Republican,119,2024-11-05
Stephen,Lynch,F.,,L000562,1955,,Representative,MA,Democrat,119,
Nancy,Mace,,,M000194,1977,,Representative,SC,Republican,119,
Ryan,Mackenzie,,,M001230,1982,,Representative,PA,Republican,119,
Seth,Magaziner,,,M001223,1983,,Representative,RI,Democrat,119,
Nicole,Malliotakis,,,M000317,1980,,Representative,NY,Republican,119,
Celeste,Maloy,,,M001228,1981,,Representative,UT,Republican,119,2024-11-05
Tracey,Mann,,,M000871,1976,,Representative,KS,Republican,119,
John,Mannion,W.,,M001231,1968,,Representative,NY,Democrat,119,
Edward,Markey,John,,M000133,1946,,Senator,MA,Democrat,119,
Roger,Marshall,Wayne,,M001198,1960,,Senator,KS,Republican,119,
Thomas,Massie,,,M001184,1971,,Representative,KY,Republican,119,
Brian,Mast,Jeffrey,,M001199,1980,,Representative,FL,Republican,119,
Doris,Matsui,,,M001163,1944,,Representative,CA,Democrat,119,
Sarah,McBride,,,M001238,1990,,Representative,DE,Democrat,119,
Michael,McCaul,T.,,M001157,1962,,Representative,TX,Republican,119,2024-11-05
Lisa,McClain,C.,,M001136,1966,,Representative,MI,Republican,119,2024-11-05
April,McClain Delaney,,,M001232,1964,,Representative,MD,Democrat,119,
Jennifer,McClellan,,,M001227,1972,,Representative,VA,Democrat,119,
Tom,McClintock,,,M001177,1956,,Representative,CA,Republican,119,
Betty,McCollum,,,M001143,1954,,Representative,MN,Democrat,119,
Addison,McConnell,Mitchell,Mitch,M000355,1942,,Senator,KY,Republican,119,
David,McCormick,Harold,,M001243,1965,,Senator,PA,Republican,119,
Rich,McCormick,,,M001218,1968,,Representative,GA,Republican,119,
Kristen,McDonald Rivet,,,M001237,1970,,Representative,MI,Democrat,119,2024-11-05
Addison,McDowell,P.,,M001240,1994,,Representative,NC,Republican,119,
Morgan,McGarvey,,,M001220,1979,,Representative,KY,Democrat,119,
James,McGovern,P.,,M000312,1959,,Representative,MA,Democrat,119,
John,McGuire,J.,,M001239,1968,,Representative,VA,Republican,119,
LaMonica,McIver,,,M001229,1986,,Representative,NJ,Democrat,119,2024-11-05
Lucy,Mcbath,,,M001208,1960,,Representative,GA,Democrat,119,
Gregory,Meeks,W.,,M001137,1953,,Representative,NY,Democrat,119,
Robert,Menendez,,,M001226,1985,,Representative,NJ,Democrat,119,2024-11-05
Grace,Meng,,,M001188,1975,,Representative,NY,Democrat,119,
Jeff,Merkley,,,M001176,1956,,Senator,OR,Democrat,119,
Mark,Messmer,B.,,M001233,1962,,Representative,IN,Republican,119,
Dan,Meuser,,,M001204,1964,,Representative,PA,Republican,119,
Kweisi,Mfume,,,M000687,1948,,Representative,MD,Democrat,119,
Carol,Miller,,,M001205,1950,,Representative,WV,Republican,119,
Mary,Miller,E.,,M001211,1959,,Representative,IL,Republican,119,
Max,Miller,,,M001222,1988,,Representative,OH,Republican,119,
Mariannette,Miller-Meeks,,,M001215,1955,,Representative,IA,Republican,119,
Cory,Mills,,,M001216,1980,,Representative,FL,Republican,119,
Dave,Min,,,M001241,1976,,Representative,CA,Democrat,119,
Ashley,Moody,Brooke,,M001244,1975,,Senator,FL,Republican,119,
John,Moolenaar,,,M001194,1961,,Representative,MI,Republican,119,2024-11-05
Barry,Moore,,,M001212,1966,,Representative,AL,Republican,119,2024-11-05
Blake,Moore,D.,,M001213,1980,,Representative,UT,Republican,119,2024-11-05
Gwendolynne,Moore,S.,Gwen,M001160,1951,,Representative,WI,Democrat,119,
Riley,Moore,M.,,M001235,1980,,Representative,WV,Republican,119,
Tim,Moore,,,M001236,1970,,Representative,NC,Republican,119,
Jerry,Moran,,,M000934,1954,,Senator,KS,Republican,119,
Nathaniel,Moran,,,M001224,1974,,Representative,TX,Republican,119,2024-11-05
Joseph,Morelle,,,M001206,1957,,Representative,NY,Democrat,119,
Bernardo,Moreno,,Bernie,M001242,1967,,Senator,OH,Republican,119,
Kelly,Morrison,,,M001234,1969,,Representative,MN,Democrat,119,
Jared,Moskowitz,,,M001217,1980,,Representative,FL,Democrat,119,
Seth,Moulton,,,M001196,1978,,Representative,MA,Democrat,119,
James,Moylan,,,M001219,1962,,Delegate,GU,Republican,119,
Frank,Mrvan,J.,,M001214,1969,,Representative,IN,Democrat,119,
Kevin,Mullin,,,M001225,1970,,Representative,CA,Democrat,119,
Markwayne,Mullin,,,M001190,1977,,Senator,OK,Republican,119,
Lisa,Murkowski,,,M001153,1957,,Senator,AK,Republican,119,
Christopher,Murphy,,,M001169,1973,,Senator,CT,Democrat,119,
Gregory,Murphy,Francis,,M001210,1963,,Representative,NC,Republican,119,
Patty,Murray,,,M001111,1950,,Senator,WA,Democrat,119,
Jerrold,Nadler,Lewis,,N000002,1947,,Representative,NY,Democrat,119,
Richard,Neal,Edmund,,N000015,1949,,Representative,MA,Democrat,119,
Joseph,Neguse,,,N000191,1984,,Representative,CO,Democrat,119,
Troy,Nehls,E.,,N000026,1968,,Representative,TX,Republican,119,2024-11-05
Daniel,Newhouse,Milton,,N000189,1955,,Representative,WA,Republican,119,2024-11-05
Donald,Norcross,,,N000188,1958,,Representative,NJ,Democrat,119,2024-11-05
Ralph,Norman,,,N000190,1953,,Representative,SC,Republican,119,
Eleanor,Norton,Holmes,,N000147,1937,,Delegate,DC,Democrat,119,
Zach,Nunn,,,N000193,1979,,Representative,IA,Republican,119,
Jay,Obernolte,,,O000019,1970,,Representative,CA,Republican,119,
Alexandria,Ocasio-Cortez,,,O000172,1989,,Representative,NY,Democrat,119,
Andy,Ogles,,,O000175,1971,,Representative,TN,Republican,119,2024-11-05
Johnny,Olszewski,,,O000176,1982,,Representative,MD,Democrat,119,
Ilhan,Omar,,,O000173,1982,,Representative,MN,Democrat,119,
