filename,first_name,last_name,title,state,party,terms,nananame,,bioguide_id
JArrington4.jpg,Jodey C.,Arrington,Representative,Texas,Republican,House: 2017-Present,"Arrington, Jodey C. - Representative",,A000375
JAuchincloss.jpg,Jake,Auchincloss,Representative,Massachusetts,Democratic,House: 2021-Present,"Auchincloss, Jake - Representative",,A000148
JAuchincloss1.jpg,Jake,Auchincloss,Representative,Massachusetts,Democratic,House: 2021-Present,"Auchincloss, Jake - Representative",,A000148
JAuchincloss2.jpg,Jake,Auchincloss,Representative,Massachusetts,Democratic,House: 2021-Present,"Auchincloss, Jake - Representative",,A000148
JAuchincloss3.jpg,Jake,Auchincloss,Representative,Massachusetts,Democratic,House: 2021-Present,"Auchincloss, Jake - Representative",,A000148
JAuchincloss4.jpg,Jake,Auchincloss,Representative,Massachusetts,Democratic,House: 2021-Present,"Auchincloss, Jake - Representative",,A000148
BBabin.jpg,Brian,Babin,Representative,Texas,Republican,House: 2015-Present,"Babin, Brian - Representative",,B001291
BBabin1.jpg,Brian,Babin,Representative,Texas,Republican,House: 2015-Present,"Babin, Brian - Representative",,B001291
BBabin2.jpg,Brian,Babin,Representative,Texas,Republican,House: 2015-Present,"Babin, Brian - Representative",,B001291
BBabin3.jpg,Brian,Babin,Representative,Texas,Republican,House: 2015-Present,"Babin, Brian - Representative",,B001291
BBabin4.jpg,Brian,Babin,Representative,Texas,Republican,House: 2015-Present,"Babin, Brian - Representative",,B001291
DBacon.jpg,Don,Bacon,Representative,Nebraska,Republican,House: 2017-Present,"Bacon, Don - Representative",,B001298
DBacon1.jpg,Don,Bacon,Representative,Nebraska,Republican,House: 2017-Present,"Bacon, Don - Representative",,B001298
DBacon2.jpg,Don,Bacon,Representative,Nebraska,Republican,House: 2017-Present,"Bacon, Don - Representative",,B001298
DBacon3.jpg,Don,Bacon,Representative,Nebraska,Republican,House: 2017-Present,"Bacon, Don - Representative",,B001298
DBacon4.jpg,Don,Bacon,Representative,Nebraska,Republican,House: 2017-Present,"Bacon, Don - Representative",,B001298
JBaird.jpg,James R.,Baird,Representative,Indiana,Republican,House: 2019-Present,"Baird, James R. - Representative",,B001307
JBaird1.jpg,James R.,Baird,Representative,Indiana,Republican,House: 2019-Present,"Baird, James R. - Representative",,B001307
JBaird2.jpg,James R.,Baird,Representative,Indiana,Republican,House: 2019-Present,"Baird, James R. - Representative",,B001307
JBaird3.jpg,James R.,Baird,Representative,Indiana,Republican,House: 2019-Present,"Baird, James R. - Representative",,B001307
JBaird4.jpg,James R.,Baird,Representative,Indiana,Republican,House: 2019-Present,"Baird, James R. - Representative",,B001307
TBalderson.jpg,Troy,Balderson,Representative,Ohio,Republican,House: 2018-Present,"Balderson, Troy - Representative",,B001306
TBalderson1.jpg,Troy,Balderson,Representative,Ohio,Republican,House: 2018-Present,"Balderson, Troy - Representative",,B001306
TBalderson2.jpg,Troy,Balderson,Representative,Ohio,Republican,House: 2018-Present,"Balderson, Troy - Representative",,B001306
TBalderson3.jpg,Troy,Balderson,Representative,Ohio,Republican,House: 2018-Present,"Balderson, Troy - Representative",,B001306
TBalderson4.jpg,Troy,Balderson,Representative,Ohio,Republican,House: 2018-Present,"Balderson, Troy - Representative",,B001306
TBaldwin.jpg,Tammy,Baldwin,Senator,Wisconsin,Democratic,Senate: 2013-Present | House: 1999-2013,"Baldwin, Tammy - Senator",,B001230
TBaldwin1.jpg,Tammy,Baldwin,Senator,Wisconsin,Democratic,Senate: 2013-Present | House: 1999-2013,"Baldwin, Tammy - Senator",,B001230
TBaldwin2.jpg,Tammy,Baldwin,Senator,Wisconsin,Democratic,Senate: 2013-Present | House: 1999-2013,"Baldwin, Tammy - Senator",,B001230
TBaldwin3.jpg,Tammy,Baldwin,Senator,Wisconsin,Democratic,Senate: 2013-Present | House: 1999-2013,"Baldwin, Tammy - Senator",,B001230
TBaldwin4.jpg,Tammy,Baldwin,Senator,Wisconsin,Democratic,Senate: 2013-Present | House: 1999-2013,"Baldwin, Tammy - Senator",,B001230
BBalint.jpg,Becca,Balint,Representative,Vermont,Democratic,House: 2023-Present,"Balint, Becca - Representative",,B001318
BBalint1.jpg,Becca,Balint,Representative,Vermont,Democratic,House: 2023-Present,"Balint, Becca - Representative",,B001318
BBalint2.jpg,Becca,Balint,Representative,Vermont,Democratic,House: 2023-Present,"Balint, Becca - Representative",,B001318
BBalint3.jpg,Becca,Balint,Representative,Vermont,Democratic,House: 2023-Present,"Balint, Becca - Representative",,B001318
BBalint4.jpg,Becca,Balint,Representative,Vermont,Democratic,House: 2023-Present,"Balint, Becca - Representative",,B001318
JBanks.jpg,Jim,Banks,Senator,Indiana,Republican,Senate: 2025-Present | House: 2017-2025,"Banks, Jim - Senator",,B001299
JBanks1.jpg,Jim,Banks,Senator,Indiana,Republican,Senate: 2025-Present | House: 2017-2025,"Banks, Jim - Senator",,B001299
JBanks2.jpg,Jim,Banks,Senator,Indiana,Republican,Senate: 2025-Present | House: 2017-2025,"Banks, Jim - Senator",,B001299
JBanks3.jpg,Jim,Banks,Senator,Indiana,Republican,Senate: 2025-Present | House: 2017-2025,"Banks, Jim - Senator",,B001299
JBanks4.jpg,Jim,Banks,Senator,Indiana,Republican,Senate: 2025-Present | House: 2017-2025,"Banks, Jim - Senator",,B001299
ABarr.jpg,Andy,Barr,Representative,Kentucky,Republican,House: 2013-Present,"Barr, Andy - Representative",,B001282
ABarr1.jpg,Andy,Barr,Representative,Kentucky,Republican,House: 2013-Present,"Barr, Andy - Representative",,B001282
ABarr2.jpg,Andy,Barr,Representative,Kentucky,Republican,House: 2013-Present,"Barr, Andy - Representative",,B001282
ABarr3.jpg,Andy,Barr,Representative,Kentucky,Republican,House: 2013-Present,"Barr, Andy - Representative",,B001282
ABarr4.jpg,Andy,Barr,Representative,Kentucky,Republican,House: 2013-Present,"Barr, Andy - Representative",,B001282
NBarragan.jpg,Nanette Diaz,Barragán,Representative,California,Democratic,House: 2017-Present,"Barragán, Nanette Diaz - Representative",,B001300
NBarragan1.jpg,Nanette Diaz,Barragán,Representative,California,Democratic,House: 2017-Present,"Barragán, Nanette Diaz - Representative",,B001300
NBarragan2.jpg,Nanette Diaz,Barragán,Representative,California,Democratic,House: 2017-Present,"Barragán, Nanette Diaz - Representative",,B001300
NBarragan3.jpg,Nanette Diaz,Barragán,Representative,California,Democratic,House: 2017-Present,"Barragán, Nanette Diaz - Representative",,B001300
NBarragan4.jpg,Nanette Diaz,Barragán,Representative,California,Democratic,House: 2017-Present,"Barragán, Nanette Diaz - Representative",,B001300
JBarrasso.jpg,John,Barrasso,Senator,Wyoming,Republican,Senate: 2007-Present,"Barrasso, John - Senator",,B001261
JBarrasso1.jpg,John,Barrasso,Senator,Wyoming,Republican,Senate: 2007-Present,"Barrasso, John - Senator",,B001261
JBarrasso2.jpg,John,Barrasso,Senator,Wyoming,Republican,Senate: 2007-Present,"Barrasso, John - Senator",,B001261
JBarrasso3.jpg,John,Barrasso,Senator,Wyoming,Republican,Senate: 2007-Present,"Barrasso, John - Senator",,B001261
JBarrasso4.jpg,John,Barrasso,Senator,Wyoming,Republican,Senate: 2007-Present,"Barrasso, John - Senator",,B001261
TBarrett.jpg,Tom,Barrett,Representative,Michigan,Republican,House: 2025-Present,"Barrett, Tom - Representative",,B001321
TBarrett1.jpg,Tom,Barrett,Representative,Michigan,Republican,House: 2025-Present,"Barrett, Tom - Representative",,B001321
TBarrett2.jpg,Tom,Barrett,Representative,Michigan,Republican,House: 2025-Present,"Barrett, Tom - Representative",,B001321
TBarrett3.jpg,Tom,Barrett,Representative,Michigan,Republican,House: 2025-Present,"Barrett, Tom - Representative",,B001321
TBarrett4.jpg,Tom,Barrett,Representative,Michigan,Republican,House: 2025-Present,"Barrett, Tom - Representative",,B001321
MBaumgartner.jpg,Michael,Baumgartner,Representative,Washington,Republican,House: 2025-Present,"Baumgartner, Michael - Representative",,B001322
MBaumgartner1.jpg,Michael,Baumgartner,Representative,Washington,Republican,House: 2025-Present,"Baumgartner, Michael - Representative",,B001322
MBaumgartner2.jpg,Michael,Baumgartner,Representative,Washington,Republican,House: 2025-Present,"Baumgartner, Michael - Representative",,B001322
MBaumgartner3.jpg,Michael,Baumgartner,Representative,Washington,Republican,House: 2025-Present,"Baumgartner, Michael - Representative",,B001322
MBaumgartner4.jpg,Michael,Baumgartner,Representative,Washington,Republican,House: 2025-Present,"Baumgartner, Michael - Representative",,B001322
ABean.jpg,Aaron,Bean,Representative,Florida,Republican,House: 2023-Present,"Bean, Aaron - Representative",,B001314
ABean1.jpg,Aaron,Bean,Representative,Florida,Republican,House: 2023-Present,"Bean, Aaron - Representative",,B001314
ABean2.jpg,Aaron,Bean,Representative,Florida,Republican,House: 2023-Present,"Bean, Aaron - Representative",,B001314
ABean3.jpg,Aaron,Bean,Representative,Florida,Republican,House: 2023-Present,"Bean, Aaron - Representative",,B001314
ABean4.jpg,Aaron,Bean,Representative,Florida,Republican,House: 2023-Present,"Bean, Aaron - Representative",,B001314
JBeatty.jpg,Joyce,Beatty,Representative,Ohio,Democratic,House: 2013-Present,"Beatty, Joyce - Representative",,B001281
JBeatty1.jpg,Joyce,Beatty,Representative,Ohio,Democratic,House: 2013-Present,"Beatty, Joyce - Representative",,B001281
