first,last,cid,feccandid
Simon,Aslanpour,N00048474,H2CA10186
Rudy,Atencio,N00045076,H2TX08109
Aditya,Atholi,N00049168,H2TX01104
Eric,Atkinson,N00049074,H2FL10242
John,Atkinson,N00048545,H2NY01109
Frank,Atwood,N00051000,S2CO00308
Scott,Aubart,N00048652,S2WI00375
Jake,Auchincloss,N00045506,H0MA04192
David,August,N00048521,H2MD06286
Jimmy,Ausbrooks,N00044829,H2KY01085
Richard,Ausman,N00051598,H2WI07123
Gerald,Austin,N00048996,H2NC06080
Kyle,Austin,N00050880,H2MT02175
Peter Dumond,Austin,N00050313,H2CA26174
Keivaulqe,Autiameineire,N00047701,H2CA27230
Oray,Auzenne,N00050317,H2CA39169
Caroline,Avery,N00049743,H2PA01123
Hunter,Avery,N00048239,H2MS01130
Orlondo,Avion,N00050075,H2CO05224
Leo,Awgowhat,N00043537,H8TN09122
Patrick,Awtrey,N00049329,H2OH14106
Cindy,Axne,N00041104,H8IA03124
Aramis,Ayala,N00048679,H2FL10192
Arya,Azma,N00051547,S2OK00327
Andy,Baan,N00045432,H0VA02167
Joe,Babb,N00050206,H2VA11248
Darryl,Baber,N00051922,H2NV02601
Brian,Babin,N00005736,H6TX02079
Donald John,Bacon,N00037049,H6NE02125
Roger,Bacon,N00000904,H2NJ02060
Youseff,Baddar,N00048018,H2OH05047
Andrew,Badger,N00049874,H2UT01268
John,Badger,N00044531,H0LA05088
Amane,Badhasso,N00049303,H2MN04169
Thomas,Baer,N00052076,S2IN00331
Omar,Bah,N00050461,H2RI02218
Hugh,Bahar,N00048553,H2NY23111
Jacob,Bailey,N00051902,H2IN09324
Kathleen Cordelia,Bailey,N00048580,H2TX05238
Richard,Bailey,N00049062,H2CA52154
William,Bailey,N00048032,H2SC07181
Jim,Baird,N00041954,H8IN04199
Dennis,Baker,N00051162,S2OK00269
Jim,Baker,N00050365,H2IN01214
Mark,Baker,N00049538,H2GA13087
Richard,Baker,N00047403,H0TN01191
Ronald,Baker,N00050351,H2GA14127
Chris,Balasinski,N00047926,H2CA48111
Troy,Balderson,N00042194,H8OH12180
Becca,Balint,N00049900,H2VT01076
Michael,Ballantine,N00048584,H2TX06376
Jack,Ballard,N00045197,H2MT01094
Barbara,Banks,N00051120,H2VA11263
Jim,Banks,N00037185,H6IN03229
Subrina,Banks,N00050929,H2OK05177
Michael,Banner,N00045621,H2ID01168
Krishna,Bansal,N00045397,H0IL11128
Jen,Banwart,N00048642,S2NC00513
Cindy,Banyai,N00045229,H0FL19106
Nick,Barassi,N00048519,H2MA02093
Carlos,Barberena,N00045893,S2FL00433
DeVan,Barbour,N00049644,H2NC04168
Jerry,Barham,N00047143,H2MO05378
Guy Stuart,Barker,N00050924,H2OK02281
John,Barker,N00049679,H2NJ03266
Mike,Barkley,N00033200,H2CA00096
Evan,Barlow,N00047702,S2UT00286
Will,Barlow,N00048122,S2OR00127
Charles,Barman,N00051935,H2WI01134
Alycia,Barnard,N00048861,H2FL09210
John,Barnes,N00048019,H2OH11185
Mandela,Barnes,N00049033,S2WI00441
Stu,Barnes-Israel,N00050125,H2IN09258
Josh,Barnett,N00044446,H0AZ07082
Kathy,Barnette,N00046277,S2PA00489
Mari Ms,Barosay,N00048668,H2CA50182
Andy,Barr,N00031233,H0KY06104
Timothy,Barr,N00048512,H2GA10166
Nanette,Barragan,N00037019,H6CA44103
Tom,Barrett,N00049596,H2MI07123
Darien,Barrios,N00049109,H2KY03198
Charity,Barry,N00049192,H2WI02173
David,Barsky,N00050905,H2NY01232
Lisa,Bartlett,N00049473,H2CA49267
Garrett,Barton,N00049166,H2SC07298
Jeff,Bartos,N00048130,S2PA00380
Jeff,Bartos,N00041042,S8PA00262
Gary,Barve,N00048053,H2VA07147
Aaron,Bashir,N00051220,H2PA02170
Doug,Basler,N00036660,H4WA09061
Eric,Batchelor,N00048887,H2NC11239
Geni,Batchelor,N00050471,H2TN05396
Betsy,Bates,N00048777,H2TX08190
Belden,Batiste,N00043712,H8LA02161
Mitchell,Battersby,N00049459,H2CA36470
Gillian,Battino,N00048137,S2WI00334
Scott,Baugh,N00038659,H2CA47196
Kevin,Baumlin,N00048444,S2PA00455
Tim,Baxter,N00048891,H2NH01262
Emily,Beach,N00049440,H2CA14188
Jasmine,Beach-Ferrara,N00048248,H2NC11155
Phillip,Beachy,N00014637,H4IN04032
Phillip,Beachy,N00052077,S2IN00349
Brian,Beal,N00051333,H2AK00440
