first_name,last_name,committee,subcommittee
Lisa,Blunt Rochester,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment"
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation","Subcommittee on Coast Guard, Maritime, and Fisheries"
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy"
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness"
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media
Lisa,Blunt Rochester,Committee on Environment and Public Works,"Subcommittee on Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight"
Lisa,Blunt Rochester,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety"
Lisa,Blunt Rochester,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure
Lisa,Blunt Rochester,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family
Lisa,Blunt Rochester,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security
Cory,Booker,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade"
Cory,Booker,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research"
Cory,Booker,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Livestock, Dairy, Poultry, and Food Safety"
Cory,Booker,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy
Cory,Booker,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation
Cory,Booker,Committee on Foreign Relations,"Subcommittee on Near East, South Asia, Central Asia, and Counterterrorism"
Cory,Booker,Committee on Small Business and Entrepreneurship,
Cory,Booker,Committee on the Judiciary,"Subcommittee on Antitrust, Competition Policy, and Consumer Rights"
Cory,Booker,Committee on the Judiciary,Subcommittee on Border Security and Immigration
Cory,Booker,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism
Cory,Booker,Committee on the Judiciary,Subcommittee on the Constitution
John,Boozman,Commission on Security and Cooperation in Europe,
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade"
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology"
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research"
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Livestock, Dairy, Poultry, and Food Safety"
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Rural Development, Energy, and Credit"
John,Boozman,Committee on Appropriations,Subcommittee on Department of Defense
John,Boozman,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies"
John,Boozman,Committee on Appropriations,Subcommittee on Financial Services and General Government
John,Boozman,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies"
John,Boozman,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs"
John,Boozman,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies"
John,Boozman,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety"
John,Boozman,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water"
John,Boozman,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure
John,Boozman,Committee on Rules and Administration,
John,Boozman,Committee on Veterans' Affairs,
Katie,Britt,Commission on Security and Cooperation in Europe,
Katie,Britt,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies"
Katie,Britt,Committee on Appropriations,Subcommittee on Department of Homeland Security
Katie,Britt,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies"
Katie,Britt,Committee on Appropriations,Subcommittee on Energy and Water Development
Katie,Britt,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs"
Katie,Britt,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies"
