first_name,last_name,committee,subcommittee,cid,fec_id,bioguide_id,,,,,,fec_id_prev
Ben,Lujan,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy",,S0NM00058,L000570,,,,,,
Ben,Lujan,"Committee on Commerce, Science, and Transportation","Subcommittee on Surface Transportation, Freight, Pipelines, and Safety",,S0NM00058,L000570,,,,,,
Ben,Lujan,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media,,S0NM00058,L000570,,,,,,
Ben,Lujan,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure",,S0NM00058,L000570,,,,,,
Ben,Lujan,Committee on Finance,Subcommittee on Health Care,,S0NM00058,L000570,,,,,,
Ben,Lujan,Committee on Finance,Subcommittee on Taxation and IRS Oversight,,S0NM00058,L000570,,,,,,
Ben,Lujan,Committee on Indian Affairs,,,S0NM00058,L000570,,,,,,
Ben,Lujan,Committee on the Budget,,,S0NM00058,L000570,,,,,,
Ben,Lujan,United States Senate Caucus on International Narcotics Control,,,S0NM00058,L000570,,,,,,
Linda,Sanchez,Ways and Means,,N00024870,H2CA39078,S001156,,,,,,H2CA39078
Nydia,Velazquez,Financial Services,,N00001102,H2NY00010,V000081,,,,,,H2NY00010
Nydia,Velazquez,Natural Resources,,N00001102,H2NY00010,V000081,,,,,,H2NY00010
Nydia,Velazquez,Small Business,,N00001102,H2NY00010,V000081,,,,,,H2NY00010
Alma,Adams,Agriculture,,N00035451,H4NC12100,A000370,,,,,,H4NC12100
Alma,Adams,Education and Workforce,,N00035451,H4NC12100,A000370,,,,,,H4NC12100
Robert,Aderholt,Appropriations,,N00003028,H6AL04098,A000055,,,,,,H6AL04098
Pete,Aguilar,Appropriations,,N00033997,H2CA31125,A000371,,,,,,H2CA31125
Mark,Alford,Appropriations,,N00049617,H2MO04207,A000379,,,,,,H2MO04207
Mark,Alford,Small Business,,N00049617,H2MO04207,A000379,,,,,,H2MO04207
Rick,Allen,Education and Workforce,,N00033720,H2GA12121,A000372,,,,,,H2GA12121
Rick,Allen,Energy and Commerce,,N00033720,H2GA12121,A000372,,,,,,H2GA12121
Angela,Alsobrooks,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection,,S4MD00327,A000382,,,,,,
Angela,Alsobrooks,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development",,S4MD00327,A000382,,,,,,
Angela,Alsobrooks,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment",,S4MD00327,A000382,,,,,,
Angela,Alsobrooks,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water",,S4MD00327,A000382,,,,,,
Angela,Alsobrooks,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,,S4MD00327,A000382,,,,,,
Angela,Alsobrooks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family,,S4MD00327,A000382,,,,,,
Angela,Alsobrooks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety,,S4MD00327,A000382,,,,,,
