first_name,last_name,committee,subcommittee,cid,fec_id,match_method,match_score,matched_name,status
John,Curtis,Committee on Foreign Relations,"Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",N00041221,H8UT03238,alias-gated-fuzzy,1.000,John Curtis,matched
John,Curtis,Committee on Small Business and Entrepreneurship,,N00041221,H8UT03238,alias-gated-fuzzy,1.000,John Curtis,matched
Steve,Daines,Committee on Energy and Natural Resources,Subcommittee on National Parks,,,no-bucket,0.000,,unmatched
Steve,Daines,Committee on Energy and Natural Resources,"Subcommittee on Public Lands, Forests, and Mining",,,no-bucket,0.000,,unmatched
Steve,Daines,Committee on Energy and Natural Resources,Subcommittee on Water and Power,,,no-bucket,0.000,,unmatched
Steve,Daines,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure",,,no-bucket,0.000,,unmatched
Steve,Daines,Committee on Finance,Subcommittee on Health Care,,,no-bucket,0.000,,unmatched
Steve,Daines,Committee on Finance,"Subcommittee on International Trade, Customs, and Global Competitiveness",,,no-bucket,0.000,,unmatched
Steve,Daines,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy,,,no-bucket,0.000,,unmatched
Steve,Daines,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation,,,no-bucket,0.000,,unmatched
Steve,Daines,Committee on Foreign Relations,"Subcommittee on Near East, South Asia, Central Asia, and Counterterrorism",,,no-bucket,0.000,,unmatched
Steve,Daines,Committee on Indian Affairs,,,,no-bucket,0.000,,unmatched
Sharice,Davids,Agriculture,,N00042626,H8KS03155,alias-gated-fuzzy,1.000,Sharice Davids,matched
Sharice,Davids,Transportation and Infrastructure,,N00042626,H8KS03155,alias-gated-fuzzy,1.000,Sharice Davids,matched
Warren,Davidson,Financial Services,,N00038767,H6OH08315,alias-gated-fuzzy,1.000,Warren Davidson,matched
Warren,Davidson,Foreign Affairs,,N00038767,H6OH08315,alias-gated-fuzzy,1.000,Warren Davidson,matched
Danny,Davis,Ways and Means,,N00004884,H4IL07037,alias-gated-fuzzy,0.952,Danny K Davis,matched
Donald,Davis,Agriculture,,,,first-fuzzy-low,0.667,,unmatched
Donald,Davis,Armed Services,,,,first-fuzzy-low,0.667,,unmatched
Monica,De La Cruz,Agriculture,,N00045793,H0TX15124,alias-gated,1.000,Monica De La Cruz,matched
Monica,De La Cruz,Financial Services,,N00045793,H0TX15124,alias-gated,1.000,Monica De La Cruz,matched
Madeleine,Dean,Appropriations,,N00042894,H8PA04116,alias-gated-fuzzy,1.000,Madeleine Dean,matched
Madeleine,Dean,Foreign Affairs,,N00042894,H8PA04116,alias-gated-fuzzy,1.000,Madeleine Dean,matched
Diana,DeGette,Energy and Commerce,,N00006134,H6CO01141,alias-gated-fuzzy,1.000,Diana DeGette,matched
Rosa,DeLauro,Appropriations,,N00000615,H0CT03072,alias-gated-fuzzy,1.000,Rosa DeLauro,matched
Suzan,DelBene,Ways and Means,,N00030693,H0WA08046,alias-gated-fuzzy,1.000,Suzan DelBene,matched
Christopher,Deluzio,Armed Services,,N00049160,H2PA17103,alias-gated-fuzzy,1.000,Christopher Deluzio,matched
Christopher,Deluzio,Transportation and Infrastructure,,N00049160,H2PA17103,alias-gated-fuzzy,1.000,Christopher Deluzio,matched
Mark,DeSaulnier,Education and Workforce,,N00030709,H0CA10073,alias-gated-fuzzy,1.000,Mark Desaulnier,matched
Mark,DeSaulnier,Ethics,,N00030709,H0CA10073,alias-gated-fuzzy,1.000,Mark Desaulnier,matched
Mark,DeSaulnier,Transportation and Infrastructure,,N00030709,H0CA10073,alias-gated-fuzzy,1.000,Mark Desaulnier,matched
Scott,DesJarlais,Agriculture,,N00030957,H0TN04195,alias-gated-fuzzy,1.000,Scott Desjarlais,matched
Scott,DesJarlais,Armed Services,,N00030957,H0TN04195,alias-gated-fuzzy,1.000,Scott Desjarlais,matched
Maxine,Dexter,Natural Resources,,,,no-bucket,0.000,,unmatched
Maxine,Dexter,Veterans' Affairs,,,,no-bucket,0.000,,unmatched
Mario,Diaz-Balart,Appropriations,,N00025337,H2FL25018,alias-gated,1.000,Mario Diaz-Balart,matched
Debbie,Dingell,Energy and Commerce,,N00036149,H4MI12079,alias-gated-fuzzy,1.000,Debbie Dingell,matched
Debbie,Dingell,Natural Resources,,N00036149,H4MI12079,alias-gated-fuzzy,1.000,Debbie Dingell,matched
Lloyd,Doggett,Budget,,N00006023,H4TX10028,alias-gated-fuzzy,1.000,Lloyd Doggett,matched
Lloyd,Doggett,Joint Committee on Taxation,,N00006023,H4TX10028,alias-gated-fuzzy,1.000,Lloyd Doggett,matched
Lloyd,Doggett,Ways and Means,,N00006023,H4TX10028,alias-gated-fuzzy,1.000,Lloyd Doggett,matched
Byron,Donalds,Financial Services,,N00034016,H2FL14186,alias-gated-fuzzy,1.000,Byron Donalds,matched
Byron,Donalds,Oversight and Government Reform,,N00034016,H2FL14186,alias-gated-fuzzy,1.000,Byron Donalds,matched
Troy,Downing,Financial Services,,,,no-bucket,0.000,,unmatched
Troy,Downing,Small Business,,,,no-bucket,0.000,,unmatched
Tammy,Duckworth,Committee on Armed Services,Subcommittee on Airland,N00027860,S6IL00292,alias-gated-fuzzy,1.000,Tammy Duckworth,matched
Tammy,Duckworth,Committee on Armed Services,Subcommittee on Personnel,N00027860,S6IL00292,alias-gated-fuzzy,1.000,Tammy Duckworth,matched
Tammy,Duckworth,Committee on Armed Services,Subcommittee on Readiness and Management Support,N00027860,S6IL00292,alias-gated-fuzzy,1.000,Tammy Duckworth,matched
Tammy,Duckworth,"Committee on Commerce, Science, and Transportation","Subcommittee on Aviation, Space, and Innovation",N00027860,S6IL00292,alias-gated-fuzzy,1.000,Tammy Duckworth,matched
Tammy,Duckworth,"Committee on Commerce, Science, and Transportation","Subcommittee on Surface Transportation, Freight, Pipelines, and Safety",N00027860,S6IL00292,alias-gated-fuzzy,1.000,Tammy Duckworth,matched
Tammy,Duckworth,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media,N00027860,S6IL00292,alias-gated-fuzzy,1.000,Tammy Duckworth,matched
Tammy,Duckworth,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation,N00027860,S6IL00292,alias-gated-fuzzy,1.000,Tammy Duckworth,matched
Tammy,Duckworth,Committee on Foreign Relations,"Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",N00027860,S6IL00292,alias-gated-fuzzy,1.000,Tammy Duckworth,matched
Tammy,Duckworth,Committee on Foreign Relations,"Subcommittee on State Department and USAID Management, International Operations, and Bilateral International Development",N00027860,S6IL00292,alias-gated-fuzzy,1.000,Tammy Duckworth,matched
Tammy,Duckworth,Committee on Veterans' Affairs,,N00027860,S6IL00292,alias-gated-fuzzy,1.000,Tammy Duckworth,matched
Neal,Dunn,Energy and Commerce,,N00037442,H6FL02208,alias-gated-fuzzy,1.000,Neal Dunn,matched
Neal,Dunn,Select Comm on the Strategic Competition US and China,,N00037442,H6FL02208,alias-gated-fuzzy,1.000,Neal Dunn,matched
Richard,Durbin,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",,,no-bucket,0.000,,unmatched
Richard,Durbin,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Livestock, Dairy, Poultry, and Food Safety",,,no-bucket,0.000,,unmatched
Richard,Durbin,Committee on Appropriations,Subcommittee on Department of Defense,,,no-bucket,0.000,,unmatched
Richard,Durbin,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",,,no-bucket,0.000,,unmatched
Richard,Durbin,Committee on Appropriations,Subcommittee on Energy and Water Development,,,no-bucket,0.000,,unmatched
Richard,Durbin,Committee on Appropriations,Subcommittee on Financial Services and General Government,,,no-bucket,0.000,,unmatched
Richard,Durbin,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs",,,no-bucket,0.000,,unmatched
Richard,Durbin,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",,,no-bucket,0.000,,unmatched
Richard,Durbin,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism,,,no-bucket,0.000,,unmatched
Chuck,Edwards,Appropriations,,N00049670,H2NC14050,alias-gated-fuzzy,1.000,Chuck Edwards,matched
Chuck,Edwards,Budget,,N00049670,H2NC14050,alias-gated-fuzzy,1.000,Chuck Edwards,matched
Sarah,Elfreth,Armed Services,,,,no-bucket,0.000,,unmatched
Sarah,Elfreth,Natural Resources,,,,no-bucket,0.000,,unmatched
Jake,Ellzey,Appropriations,,N00042243,H8TX06266,alias-gated-fuzzy,1.000,Jake Ellzey,matched
Jake,Ellzey,Small Business,,N00042243,H8TX06266,alias-gated-fuzzy,1.000,Jake Ellzey,matched
Tom,Emmer,Financial Services,,N00035440,H4MN06087,alias-gated-fuzzy,1.000,Tom Emmer,matched
Joni,Ernst,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",,,first-fuzzy-low,0.400,,unmatched
Joni,Ernst,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Livestock, Dairy, Poultry, and Food Safety",,,first-fuzzy-low,0.400,,unmatched
Joni,Ernst,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Rural Development, Energy, and Credit",,,first-fuzzy-low,0.400,,unmatched
Joni,Ernst,Committee on Armed Services,Subcommittee on Cybersecurity,,,first-fuzzy-low,0.400,,unmatched
Joni,Ernst,Committee on Armed Services,Subcommittee on Emerging Threats and Capabilities,,,first-fuzzy-low,0.400,,unmatched
Joni,Ernst,Committee on Armed Services,Subcommittee on Personnel,,,first-fuzzy-low,0.400,,unmatched
Joni,Ernst,Committee on Homeland Security and Governmental Affairs,"Subcommittee on Border Management, Federal Workforce, and Regulatory Affairs",,,first-fuzzy-low,0.400,,unmatched
Joni,Ernst,Committee on Homeland Security and Governmental Affairs,"Subcommittee on Disaster Management, District of Columbia, and Census",,,first-fuzzy-low,0.400,,unmatched
Joni,Ernst,Committee on Small Business and Entrepreneurship,,,,first-fuzzy-low,0.400,,unmatched
Veronica,Escobar,Appropriations,,N00041702,H8TX16109,alias-gated-fuzzy,1.000,Veronica Escobar,matched
Veronica,Escobar,Budget,,N00041702,H8TX16109,alias-gated-fuzzy,1.000,Veronica Escobar,matched
Adriano,Espaillat,Appropriations,,N00034549,H2NY13096,alias-gated-fuzzy,1.000,Adriano Espaillat,matched
Ron,Estes,Budget,,N00040712,H8KS04112,alias-gated-fuzzy,1.000,Ron Estes,matched
Ron,Estes,Ways and Means,,N00040712,H8KS04112,alias-gated-fuzzy,1.000,Ron Estes,matched
Dwight,Evans,Ways and Means,,N00038450,H6PA02171,alias-gated-fuzzy,1.000,Dwight Evans,matched
Gabe,Evans,Energy and Commerce,,,,first-fuzzy-low,0.500,,unmatched
Gabe,Evans,Homeland Security,,,,first-fuzzy-low,0.500,,unmatched
Mike,Ezell,Natural Resources,,N00048240,H2MS04258,alias-gated-fuzzy,1.000,Mike Ezell,matched
Mike,Ezell,Transportation and Infrastructure,,N00048240,H2MS04258,alias-gated-fuzzy,1.000,Mike Ezell,matched
Pat,Fallon,Armed Services,,,,first-fuzzy-low,0.600,,unmatched
Pat,Fallon,Intelligence,,,,first-fuzzy-low,0.600,,unmatched
Pat,Fallon,Oversight and Government Reform,,,,first-fuzzy-low,0.600,,unmatched
Julie,Fedorchak,Energy and Commerce,,,,no-bucket,0.000,,unmatched
Randy,Feenstra,Agriculture,,N00044011,H0IA04145,alias-gated-fuzzy,1.000,Randy Feenstra,matched
Randy,Feenstra,Ways and Means,,N00044011,H0IA04145,alias-gated-fuzzy,1.000,Randy Feenstra,matched
John,Fetterman,Commission on Security and Cooperation in Europe,,N00038201,S6PA00274,alias-gated-fuzzy,1.000,John Fetterman,matched
John,Fetterman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",N00038201,S6PA00274,alias-gated-fuzzy,1.000,John Fetterman,matched
John,Fetterman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",N00038201,S6PA00274,alias-gated-fuzzy,1.000,John Fetterman,matched
John,Fetterman,"Committee on Commerce, Science, and Transportation","Subcommittee on Aviation, Space, and Innovation",N00038201,S6PA00274,alias-gated-fuzzy,1.000,John Fetterman,matched
John,Fetterman,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media,N00038201,S6PA00274,alias-gated-fuzzy,1.000,John Fetterman,matched
John,Fetterman,Committee on Homeland Security and Governmental Affairs,Permanent Subcommittee on Investigations,N00038201,S6PA00274,alias-gated-fuzzy,1.000,John Fetterman,matched
John,Fetterman,Committee on Homeland Security and Governmental Affairs,"Subcommittee on Border Management, Federal Workforce, and Regulatory Affairs",N00038201,S6PA00274,alias-gated-fuzzy,1.000,John Fetterman,matched
Cleo,Fields,Financial Services,,,,no-bucket,0.000,,unmatched
Shomari,Figures,Agriculture,,,,no-bucket,0.000,,unmatched
Shomari,Figures,Transportation and Infrastructure,,,,no-bucket,0.000,,unmatched
Randy,Fine,Education and Workforce,,,,no-bucket,0.000,,unmatched
Randy,Fine,Foreign Affairs,,,,no-bucket,0.000,,unmatched
Brad,Finstad,Agriculture,,N00050649,H2MN01223,alias-gated-fuzzy,1.000,Brad Finstad,matched
Brad,Finstad,Armed Services,,N00050649,H2MN01223,alias-gated-fuzzy,1.000,Brad Finstad,matched
Brad,Finstad,Small Business,,N00050649,H2MN01223,alias-gated-fuzzy,1.000,Brad Finstad,matched
Michelle,Fischbach,Rules,,N00045251,H0MN07091,alias-gated-fuzzy,1.000,Michelle Fischbach,matched
Michelle,Fischbach,Ways and Means,,N00045251,H0MN07091,alias-gated-fuzzy,1.000,Michelle Fischbach,matched
Deb,Fischer,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Livestock, Dairy, Poultry, and Food Safety",,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Rural Development, Energy, and Credit",,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,Committee on Appropriations,"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies",,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,Committee on Appropriations,"Subcommittee on Department of Interior, Environment, and Related Agencies",,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,Committee on Appropriations,Subcommittee on Financial Services and General Government,,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,Committee on Appropriations,Subcommittee on Legislative Branch,,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,Committee on Armed Services,Subcommittee on Airland,,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,Committee on Armed Services,Subcommittee on Readiness and Management Support,,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,Committee on Armed Services,Subcommittee on Strategic Forces,,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy",,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,"Committee on Commerce, Science, and Transportation","Subcommittee on Surface Transportation, Freight, Pipelines, and Safety",,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media,,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,Committee on Rules and Administration,,,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,Joint Committee of Congress on the Library,,,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,Joint Committee on Printing,,,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,Joint Congressional Committee on Inaugural Ceremonies - 2024,,,,first-fuzzy-low,0.000,,unmatched
Deb,Fischer,Select Committee on Ethics,,,,first-fuzzy-low,0.000,,unmatched
Scott,Fitzgerald,Financial Services,,N00045434,H0WI05113,alias-gated-fuzzy,1.000,Scott Fitzgerald,matched
Scott,Fitzgerald,Judiciary,,N00045434,H0WI05113,alias-gated-fuzzy,1.000,Scott Fitzgerald,matched
Brian,Fitzpatrick,Intelligence,,N00038779,H6PA08277,alias-gated-fuzzy,1.000,Brian Fitzpatrick,matched
Brian,Fitzpatrick,Ways and Means,,N00038779,H6PA08277,alias-gated-fuzzy,1.000,Brian Fitzpatrick,matched
Charles,Fleischmann,Appropriations,,N00030815,H0TN03254,alias-gated-fuzzy,0.765,Chuck Fleischmann,unsure
Charles,Fleischmann,"Science, Space, and Technology",,N00030815,H0TN03254,alias-gated-fuzzy,0.765,Chuck Fleischmann,unsure
Lizzie,Fletcher,Energy and Commerce,,N00041194,H8TX07140,alias-gated-fuzzy,1.000,Lizzie Fletcher,matched
Mike,Flood,Financial Services,,N00050145,H2NE01118,alias-gated-fuzzy,1.000,Mike Flood,matched
Vince,Fong,"Science, Space, and Technology",,,,no-bucket,0.000,,unmatched
Vince,Fong,Transportation and Infrastructure,,,,no-bucket,0.000,,unmatched
Bill,Foster,Financial Services,,N00029139,H8IL14067,alias-gated-fuzzy,1.000,Bill Foster,matched
Bill,Foster,"Science, Space, and Technology",,N00029139,H8IL14067,alias-gated-fuzzy,1.000,Bill Foster,matched
Valerie,Foushee,"Science, Space, and Technology",,N00049652,H2NC06114,alias-gated-fuzzy,1.000,Valerie Foushee,matched
Valerie,Foushee,Transportation and Infrastructure,,N00049652,H2NC06114,alias-gated-fuzzy,1.000,Valerie Foushee,matched
Virginia,Foxx,Education and Workforce,,N00026166,H4NC05146,alias-gated-fuzzy,1.000,Virginia Foxx,matched
Virginia,Foxx,Oversight and Government Reform,,N00026166,H4NC05146,alias-gated-fuzzy,1.000,Virginia Foxx,matched
Virginia,Foxx,Rules,,N00026166,H4NC05146,alias-gated-fuzzy,1.000,Virginia Foxx,matched
Lois,Frankel,Appropriations,,N00002893,H2FL14053,alias-gated-fuzzy,1.000,Lois Frankel,matched
Scott,Franklin,Appropriations,,N00046760,H0FL15104,alias-gated-fuzzy,1.000,Scott Franklin,matched
Scott,Franklin,"Science, Space, and Technology",,N00046760,H0FL15104,alias-gated-fuzzy,1.000,Scott Franklin,matched
Laura,Friedman,"Science, Space, and Technology",,,,no-bucket,0.000,,unmatched
Laura,Friedman,Transportation and Infrastructure,,,,no-bucket,0.000,,unmatched
Maxwell,Frost,Oversight and Government Reform,,N00049075,H2FL10259,alias-gated-fuzzy,1.000,Maxwell Frost,matched
Maxwell,Frost,"Science, Space, and Technology",,N00049075,H2FL10259,alias-gated-fuzzy,1.000,Maxwell Frost,matched
Maxwell,Frost,Transportation and Infrastructure,,N00049075,H2FL10259,alias-gated-fuzzy,1.000,Maxwell Frost,matched
Russell,Fry,Energy and Commerce,,N00049165,H2SC07280,alias-gated-fuzzy,1.000,Russell Fry,matched
Russell,Fry,Judiciary,,N00049165,H2SC07280,alias-gated-fuzzy,1.000,Russell Fry,matched
Russ,Fulcher,Energy and Commerce,,N00041335,H8ID01124,alias-gated-fuzzy,1.000,Russ Fulcher,matched
Russ,Fulcher,Natural Resources,,N00041335,H8ID01124,alias-gated-fuzzy,1.000,Russ Fulcher,matched
Ruben,Gallego,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Digital Assets,N00036097,H4AZ07043,alias-gated-fuzzy,1.000,Ruben Gallego,matched
Ruben,Gallego,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection,N00036097,H4AZ07043,alias-gated-fuzzy,1.000,Ruben Gallego,matched
Ruben,Gallego,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development",N00036097,H4AZ07043,alias-gated-fuzzy,1.000,Ruben Gallego,matched
Ruben,Gallego,Committee on Energy and Natural Resources,Subcommittee on Energy,N00036097,H4AZ07043,alias-gated-fuzzy,1.000,Ruben Gallego,matched
Ruben,Gallego,Committee on Energy and Natural Resources,Subcommittee on National Parks,N00036097,H4AZ07043,alias-gated-fuzzy,1.000,Ruben Gallego,matched
Ruben,Gallego,Committee on Energy and Natural Resources,Subcommittee on Water and Power,N00036097,H4AZ07043,alias-gated-fuzzy,1.000,Ruben Gallego,matched
Ruben,Gallego,Committee on Homeland Security and Governmental Affairs,"Subcommittee on Border Management, Federal Workforce, and Regulatory Affairs",N00036097,H4AZ07043,alias-gated-fuzzy,1.000,Ruben Gallego,matched
Ruben,Gallego,Committee on Veterans' Affairs,,N00036097,H4AZ07043,alias-gated-fuzzy,1.000,Ruben Gallego,matched
John,Garamendi,Armed Services,,N00030856,H0CA10149,alias-gated-fuzzy,1.000,John Garamendi,matched
John,Garamendi,Transportation and Infrastructure,,N00030856,H0CA10149,alias-gated-fuzzy,1.000,John Garamendi,matched
Andrew,Garbarino,Ethics,,N00046030,H0NY02234,alias-gated-fuzzy,1.000,Andrew Garbarino,matched
Andrew,Garbarino,Financial Services,,N00046030,H0NY02234,alias-gated-fuzzy,1.000,Andrew Garbarino,matched
Andrew,Garbarino,Homeland Security,,N00046030,H0NY02234,alias-gated-fuzzy,1.000,Andrew Garbarino,matched
Jesus,Garcia,Judiciary,,N00042114,H8IL04134,alias-gated-fuzzy,1.000,Jesus Garcia,matched
Jesus,Garcia,Transportation and Infrastructure,,N00042114,H8IL04134,alias-gated-fuzzy,1.000,Jesus Garcia,matched
Robert,Garcia,Oversight and Government Reform,,N00049470,H2CA47188,alias-gated-fuzzy,1.000,Robert Garcia,matched
Robert,Garcia,Transportation and Infrastructure,,N00049470,H2CA47188,alias-gated-fuzzy,1.000,Robert Garcia,matched
Sylvia,Garcia,Ethics,,N00042282,H8TX29052,alias-gated-fuzzy,1.000,Sylvia Garcia,matched
Sylvia,Garcia,Financial Services,,N00042282,H8TX29052,alias-gated-fuzzy,1.000,Sylvia Garcia,matched
Brandon,Gill,Budget,,,,first-fuzzy-low,0.167,,unmatched
Brandon,Gill,Judiciary,,,,first-fuzzy-low,0.167,,unmatched
Brandon,Gill,Oversight and Government Reform,,,,first-fuzzy-low,0.167,,unmatched
Laura,Gillen,"Science, Space, and Technology",,N00050425,H2NY04244,alias-gated-fuzzy,1.000,Laura Gillen,matched
Laura,Gillen,Transportation and Infrastructure,,N00050425,H2NY04244,alias-gated-fuzzy,1.000,Laura Gillen,matched
Kirsten,Gillibrand,Committee on Appropriations,"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",,,no-bucket,0.000,,unmatched
Kirsten,Gillibrand,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies",,,no-bucket,0.000,,unmatched
Kirsten,Gillibrand,Committee on Appropriations,"Subcommittee on Department of Interior, Environment, and Related Agencies",,,no-bucket,0.000,,unmatched
Kirsten,Gillibrand,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",,,no-bucket,0.000,,unmatched
Kirsten,Gillibrand,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",,,no-bucket,0.000,,unmatched
Kirsten,Gillibrand,Committee on Armed Services,Subcommittee on Cybersecurity,,,no-bucket,0.000,,unmatched
Kirsten,Gillibrand,Committee on Armed Services,Subcommittee on Emerging Threats and Capabilities,,,no-bucket,0.000,,unmatched
Kirsten,Gillibrand,Committee on Armed Services,Subcommittee on Strategic Forces,,,no-bucket,0.000,,unmatched
Kirsten,Gillibrand,Select Committee on Intelligence,,,,no-bucket,0.000,,unmatched
Kirsten,Gillibrand,Special Committee on Aging,,,,no-bucket,0.000,,unmatched
Carlos,Gimenez,Armed Services,,N00046394,H0FL26036,alias-gated-fuzzy,1.000,Carlos Gimenez,matched
Carlos,Gimenez,Homeland Security,,N00046394,H0FL26036,alias-gated-fuzzy,1.000,Carlos Gimenez,matched
Carlos,Gimenez,Select Comm on the Strategic Competition US and China,,N00046394,H0FL26036,alias-gated-fuzzy,1.000,Carlos Gimenez,matched
Jared,Golden,Armed Services,,N00041668,H8ME02185,alias-gated-fuzzy,1.000,Jared Golden,matched
Jared,Golden,Natural Resources,,N00041668,H8ME02185,alias-gated-fuzzy,1.000,Jared Golden,matched
Craig,Goldman,Energy and Commerce,,,,first-fuzzy-low,0.250,,unmatched
Daniel,Goldman,Homeland Security,,,,first-fuzzy-low,0.667,,unmatched
Daniel,Goldman,Judiciary,,,,first-fuzzy-low,0.667,,unmatched
Jimmy,Gomez,Intelligence,,N00040597,H8CA34266,alias-gated-fuzzy,1.000,Jimmy Gomez,matched
Jimmy,Gomez,Ways and Means,,N00040597,H8CA34266,alias-gated-fuzzy,1.000,Jimmy Gomez,matched
Tony,Gonzales,Appropriations,,N00044592,H0TX35015,alias-gated-fuzzy,1.000,Tony Gonzales,matched
Tony,Gonzales,Homeland Security,,N00044592,H0TX35015,alias-gated-fuzzy,1.000,Tony Gonzales,matched
Vicente,Gonzalez,Financial Services,,N00038809,H6TX15162,alias-gated-fuzzy,1.000,Vicente Gonzalez,matched
Lance,Gooden,Armed Services,,N00042237,H8TX05144,alias-gated-fuzzy,1.000,Lance Gooden,matched
Lance,Gooden,Judiciary,,N00042237,H8TX05144,alias-gated-fuzzy,1.000,Lance Gooden,matched
Maggie,Goodlander,Armed Services,,,,no-bucket,0.000,,unmatched
Maggie,Goodlander,Small Business,,,,no-bucket,0.000,,unmatched
Paul,Gosar,Natural Resources,,N00030771,H0AZ01259,alias-gated-fuzzy,1.000,Paul Gosar,matched
Paul,Gosar,Oversight and Government Reform,,N00030771,H0AZ01259,alias-gated-fuzzy,1.000,Paul Gosar,matched
Josh,Gottheimer,Financial Services,,N00036944,H6NJ05171,alias-gated-fuzzy,1.000,Josh Gottheimer,matched
Josh,Gottheimer,Intelligence,,N00036944,H6NJ05171,alias-gated-fuzzy,1.000,Josh Gottheimer,matched
Lindsey,Graham,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies",,,first-fuzzy-low,0.353,,unmatched
Lindsey,Graham,Committee on Appropriations,Subcommittee on Department of Defense,,,first-fuzzy-low,0.353,,unmatched
Lindsey,Graham,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",,,first-fuzzy-low,0.353,,unmatched
Lindsey,Graham,Committee on Appropriations,Subcommittee on Energy and Water Development,,,first-fuzzy-low,0.353,,unmatched
Lindsey,Graham,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs",,,first-fuzzy-low,0.353,,unmatched
Lindsey,Graham,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",,,first-fuzzy-low,0.353,,unmatched
Lindsey,Graham,Committee on Environment and Public Works,"Subcommittee on Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",,,first-fuzzy-low,0.353,,unmatched
Lindsey,Graham,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety",,,first-fuzzy-low,0.353,,unmatched
Lindsey,Graham,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,,,first-fuzzy-low,0.353,,unmatched
Lindsey,Graham,Committee on the Budget,,,,first-fuzzy-low,0.353,,unmatched
Lindsey,Graham,Committee on the Judiciary,Subcommittee on Border Security and Immigration,,,first-fuzzy-low,0.353,,unmatched
Lindsey,Graham,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism,,,first-fuzzy-low,0.353,,unmatched
