first_name,last_name,committee,subcommittee,cid,fec_id,match_method,match_score,matched_name,status
Jim,Banks,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on National Security and International Trade and Finance,N00037185,H6IN03229,alias-gated-fuzzy,1.000,Jim Banks,matched
Jim,Banks,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment",N00037185,H6IN03229,alias-gated-fuzzy,1.000,Jim Banks,matched
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family,N00037185,H6IN03229,alias-gated-fuzzy,1.000,Jim Banks,matched
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety,N00037185,H6IN03229,alias-gated-fuzzy,1.000,Jim Banks,matched
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security,N00037185,H6IN03229,alias-gated-fuzzy,1.000,Jim Banks,matched
Jim,Banks,Committee on Veterans' Affairs,,N00037185,H6IN03229,alias-gated-fuzzy,1.000,Jim Banks,matched
Andy,Barr,Financial Services,,N00031233,H0KY06104,alias-gated-fuzzy,1.000,Andy Barr,matched
Andy,Barr,Foreign Affairs,,N00031233,H0KY06104,alias-gated-fuzzy,1.000,Andy Barr,matched
Andy,Barr,Select Comm on the Strategic Competition US and China,,N00031233,H0KY06104,alias-gated-fuzzy,1.000,Andy Barr,matched
Nanette,Barragan,Energy and Commerce,,N00037019,H6CA44103,alias-gated-fuzzy,1.000,Nanette Barragan,matched
John,Barrasso,Committee on Energy and Natural Resources,Subcommittee on Energy,,,no-bucket,0.000,,unmatched
John,Barrasso,Committee on Energy and Natural Resources,Subcommittee on National Parks,,,no-bucket,0.000,,unmatched
John,Barrasso,Committee on Energy and Natural Resources,"Subcommittee on Public Lands, Forests, and Mining",,,no-bucket,0.000,,unmatched
John,Barrasso,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure",,,no-bucket,0.000,,unmatched
John,Barrasso,Committee on Finance,Subcommittee on Health Care,,,no-bucket,0.000,,unmatched
John,Barrasso,Committee on Finance,Subcommittee on Taxation and IRS Oversight,,,no-bucket,0.000,,unmatched
John,Barrasso,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy,,,no-bucket,0.000,,unmatched
John,Barrasso,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation,,,no-bucket,0.000,,unmatched
John,Barrasso,Committee on Foreign Relations,"Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",,,no-bucket,0.000,,unmatched
John,Barrasso,Committee on Foreign Relations,"Subcommittee on State Department and USAID Management, International Operations, and Bilateral International Development",,,no-bucket,0.000,,unmatched
Tom,Barrett,Transportation and Infrastructure,,N00049596,H2MI07123,alias-gated-fuzzy,1.000,Tom Barrett,matched
Tom,Barrett,Veterans' Affairs,,N00049596,H2MI07123,alias-gated-fuzzy,1.000,Tom Barrett,matched
Michael,Baumgartner,Education and Workforce,,,,no-bucket,0.000,,unmatched
Michael,Baumgartner,Foreign Affairs,,,,no-bucket,0.000,,unmatched
Michael,Baumgartner,Judiciary,,,,no-bucket,0.000,,unmatched
Aaron,Bean,Ways and Means,,N00051369,H2FL04211,alias-gated-fuzzy,1.000,Aaron Bean,matched
Joyce,Beatty,Financial Services,,N00033904,H2OH03125,alias-gated-fuzzy,1.000,Joyce Beatty,matched
Nicholas,Begich,Natural Resources,,N00049408,H2AK01083,alias-gated-fuzzy,0.667,Nick III Begich,unsure
Nicholas,Begich,"Science, Space, and Technology",,N00049408,H2AK01083,alias-gated-fuzzy,0.667,Nick III Begich,unsure
Nicholas,Begich,Transportation and Infrastructure,,N00049408,H2AK01083,alias-gated-fuzzy,0.667,Nick III Begich,unsure
Wesley,Bell,Armed Services,,,,first-fuzzy-low,0.167,,unmatched
Wesley,Bell,Oversight and Government Reform,,,,first-fuzzy-low,0.167,,unmatched
