first_name,last_name,state,district,party,committee
Vern,Buchanan,,16th,R,Joint Committee on Taxation
Vern,Buchanan,,16th,R,Ways and Means
Veronica,Escobar,,16th,D,Appropriations
Veronica,Escobar,,16th,D,Budget
Mike,Kelly,,16th,R,Ways and Means
Darin,LaHood,,16th,R,Intelligence
Darin,LaHood,,16th,R,Select Comm on the Strategic Competition US and China
Darin,LaHood,,16th,R,Ways and Means
George,Latimer,,16th,D,Foreign Affairs
George,Latimer,,16th,D,Small Business
Sam,Liccardo,,16th,D,Financial Services
Christopher,Deluzio,,17th,D,Armed Services
Christopher,Deluzio,,17th,D,Transportation and Infrastructure
Ro,Khanna,,17th,D,Armed Services
Ro,Khanna,,17th,D,Oversight and Government Reform
Ro,Khanna,,17th,D,Select Comm on the Strategic Competition US and China
Michael,Lawler,,17th,R,Financial Services
Michael,Lawler,,17th,R,Foreign Affairs
Pete,Sessions,,17th,R,Financial Services
Pete,Sessions,,17th,R,Oversight and Government Reform
Eric,Sorensen,,17th,D,Agriculture
Eric,Sorensen,,17th,D,Armed Services
W.,Steube,,17th,R,Intelligence
W.,Steube,,17th,R,Ways and Means
Scott,Franklin,,18th,R,Appropriations
Scott,Franklin,,18th,R,"Science, Space, and Technology"
Zoe,Lofgren,,18th,D,Judiciary
Zoe,Lofgren,,18th,D,"Science, Space, and Technology"
Patrick,Ryan,,18th,D,Armed Services
Patrick,Ryan,,18th,D,Transportation and Infrastructure
Sylvester,Turner,,18th,D,
Jodey,Arrington,,19th,R,Budget
Jodey,Arrington,,19th,R,Ways and Means
Byron,Donalds,,19th,R,Financial Services
Byron,Donalds,,19th,R,Oversight and Government Reform
Jimmy,Panetta,,19th,D,Budget
Jimmy,Panetta,,19th,D,Ways and Means
Josh,Riley,,19th,D,Agriculture
Josh,Riley,,19th,D,"Science, Space, and Technology"
Gabe,Amo,,1st,D,Budget
Gabe,Amo,,1st,D,Foreign Affairs
Gabe,Amo,,1st,D,"Science, Space, and Technology"
Wesley,Bell,,1st,D,Armed Services
Wesley,Bell,,1st,D,Oversight and Government Reform
Jack,Bergman,,1st,R,Armed Services
Jack,Bergman,,1st,R,Budget
Jack,Bergman,,1st,R,Veterans' Affairs
Suzanne,Bonamici,,1st,D,Education and Workforce
Suzanne,Bonamici,,1st,D,"Science, Space, and Technology"
Earl,Carter,,1st,R,Budget
Earl,Carter,,1st,R,Energy and Commerce
Ed,Case,,1st,D,Appropriations
James,Comer,,1st,R,Education and Workforce
James,Comer,,1st,R,Oversight and Government Reform
Eric,Crawford,,1st,R,Agriculture
Eric,Crawford,,1st,R,Intelligence
Eric,Crawford,,1st,R,Transportation and Infrastructure
Donald,Davis,,1st,D,Agriculture
Donald,Davis,,1st,D,Armed Services
Diana,DeGette,,1st,D,Energy and Commerce
Suzan,DelBene,,1st,D,Ways and Means
Brad,Finstad,,1st,R,Agriculture
Brad,Finstad,,1st,R,Armed Services
Brad,Finstad,,1st,R,Small Business
Brian,Fitzpatrick,,1st,R,Intelligence
Brian,Fitzpatrick,,1st,R,Ways and Means
Mike,Flood,,1st,R,Financial Services
Russ,Fulcher,,1st,R,Energy and Commerce
Russ,Fulcher,,1st,R,Natural Resources
Andy,Harris,,1st,R,Appropriations
Diana,Harshbarger,,1st,R,Energy and Commerce
Kevin,Hern,,1st,R,Ways and Means
Jonathan,Jackson,,1st,D,Agriculture
Jonathan,Jackson,,1st,D,Foreign Affairs
Trent,Kelly,,1st,R,Agriculture
Trent,Kelly,,1st,R,Armed Services
Trent,Kelly,,1st,R,Intelligence
Nick,LaLota,,1st,R,Appropriations
Nick,LaLota,,1st,R,Small Business
Doug,LaMalfa,,1st,R,Agriculture
Doug,LaMalfa,,1st,R,Natural Resources
Doug,LaMalfa,,1st,R,Transportation and Infrastructure
Greg,Landsman,,1st,D,Energy and Commerce
John,Larson,,1st,D,Ways and Means
Nancy,Mace,,1st,R,Armed Services
Nancy,Mace,,1st,R,Oversight and Government Reform
Nancy,Mace,,1st,R,Veterans' Affairs
Tracey,Mann,,1st,R,Agriculture
Tracey,Mann,,1st,R,Transportation and Infrastructure
Carol,Miller,,1st,R,Ways and Means
