first_name,first_name1,last_name,last_name1,bioguide_id1,position1,state1
Nanette Diaz,Nanette,Barragán,Barragan,B001300,Representative,CA
Nanette Diaz,Nanette,Barragán,Barragan,B001300,Representative,CA
Nanette Diaz,Nanette,Barragán,Barragan,B001300,Representative,CA
Nanette Diaz,Nanette,Barragán,Barragan,B001300,Representative,CA
Nanette Diaz,Nanette,Barragán,Barragan,B001300,Representative,CA
John,John,Barrasso,Barrasso,B001261,Senator,WY
John,John,Barrasso,Barrasso,B001261,Senator,WY
John,John,Barrasso,Barrasso,B001261,Senator,WY
John,John,Barrasso,Barrasso,B001261,Senator,WY
John,John,Barrasso,Barrasso,B001261,Senator,WY
Tom,Tom,Barrett,Barrett,B001321,Representative,MI
Tom,Tom,Barrett,Barrett,B001321,Representative,MI
Tom,Tom,Barrett,Barrett,B001321,Representative,MI
Tom,Tom,Barrett,Barrett,B001321,Representative,MI
Tom,Tom,Barrett,Barrett,B001321,Representative,MI
Michael,Michael,Baumgartner,Baumgartner,B001322,Representative,WA
Michael,Michael,Baumgartner,Baumgartner,B001322,Representative,WA
Michael,Michael,Baumgartner,Baumgartner,B001322,Representative,WA
Michael,Michael,Baumgartner,Baumgartner,B001322,Representative,WA
Michael,Michael,Baumgartner,Baumgartner,B001322,Representative,WA
Aaron,Aaron,Bean,Bean,B001314,Representative,FL
Aaron,Aaron,Bean,Bean,B001314,Representative,FL
Aaron,Aaron,Bean,Bean,B001314,Representative,FL
Aaron,Aaron,Bean,Bean,B001314,Representative,FL
Aaron,Aaron,Bean,Bean,B001314,Representative,FL
Joyce,Joyce,Beatty,Beatty,B001281,Representative,OH
Joyce,Joyce,Beatty,Beatty,B001281,Representative,OH
Joyce,Joyce,Beatty,Beatty,B001281,Representative,OH
Joyce,Joyce,Beatty,Beatty,B001281,Representative,OH
Joyce,Joyce,Beatty,Beatty,B001281,Representative,OH
Nicholas J.,Nicholas,Begich,Begich,B001323,Representative,AK
Nicholas J.,Nicholas,Begich,Begich,B001323,Representative,AK
Nicholas J.,Nicholas,Begich,Begich,B001323,Representative,AK
Nicholas J.,Nicholas,Begich,Begich,B001323,Representative,AK
Nicholas J.,Nicholas,Begich,Begich,B001323,Representative,AK
Wesley,Wesley,Bell,Bell,B001324,Representative,MO
Wesley,Wesley,Bell,Bell,B001324,Representative,MO
Wesley,Wesley,Bell,Bell,B001324,Representative,MO
Wesley,Wesley,Bell,Bell,B001324,Representative,MO
Wesley,Wesley,Bell,Bell,B001324,Representative,MO
Michael F.,Michael,Bennet,Bennet,B001267,Senator,CO
Michael F.,Michael,Bennet,Bennet,B001267,Senator,CO
Michael F.,Michael,Bennet,Bennet,B001267,Senator,CO
Michael F.,Michael,Bennet,Bennet,B001267,Senator,CO
Michael F.,Michael,Bennet,Bennet,B001267,Senator,CO
Cliff,Cliff,Bentz,Bentz,B000668,Representative,OR
Cliff,Cliff,Bentz,Bentz,B000668,Representative,OR
Cliff,Cliff,Bentz,Bentz,B000668,Representative,OR
Cliff,Cliff,Bentz,Bentz,B000668,Representative,OR
Cliff,Cliff,Bentz,Bentz,B000668,Representative,OR
Ami,Ami,Bera,Bera,B001287,Representative,CA
Ami,Ami,Bera,Bera,B001287,Representative,CA
Ami,Ami,Bera,Bera,B001287,Representative,CA
Ami,Ami,Bera,Bera,B001287,Representative,CA
Ami,Ami,Bera,Bera,B001287,Representative,CA
Jack,,Bergman,,,,
Jack,,Bergman,,,,
Jack,,Bergman,,,,
Jack,,Bergman,,,,
Jack,,Bergman,,,,
Donald S.,Donald,Beyer,Beyer,B001292,Representative,VA
Donald S.,Donald,Beyer,Beyer,B001292,Representative,VA
Donald S.,Donald,Beyer,Beyer,B001292,Representative,VA
Donald S.,Donald,Beyer,Beyer,B001292,Representative,VA
Donald S.,Donald,Beyer,Beyer,B001292,Representative,VA
Stephanie I.,Stephanie,Bice,Bice,B000740,Representative,OK
Stephanie I.,Stephanie,Bice,Bice,B000740,Representative,OK
Stephanie I.,Stephanie,Bice,Bice,B000740,Representative,OK
Stephanie I.,Stephanie,Bice,Bice,B000740,Representative,OK
Stephanie I.,Stephanie,Bice,Bice,B000740,Representative,OK
Andy,Andrew,Biggs,Biggs,B001302,Representative,AZ
Sheri,Sheri,Biggs,Biggs,B001325,Representative,SC
Andy,Andrew,Biggs,Biggs,B001302,Representative,AZ
Sheri,Sheri,Biggs,Biggs,B001325,Representative,SC
Andy,Andrew,Biggs,Biggs,B001302,Representative,AZ
Sheri,Sheri,Biggs,Biggs,B001325,Representative,SC
Andy,Andrew,Biggs,Biggs,B001302,Representative,AZ
Sheri,Sheri,Biggs,Biggs,B001325,Representative,SC
Andy,Andrew,Biggs,Biggs,B001302,Representative,AZ
Sheri,Sheri,Biggs,Biggs,B001325,Representative,SC
Gus M.,Gus,Bilirakis,Bilirakis,B001257,Representative,FL
Gus M.,Gus,Bilirakis,Bilirakis,B001257,Representative,FL
Gus M.,Gus,Bilirakis,Bilirakis,B001257,Representative,FL
Gus M.,Gus,Bilirakis,Bilirakis,B001257,Representative,FL
Gus M.,Gus,Bilirakis,Bilirakis,B001257,Representative,FL
Sanford D.,Sanford,Bishop,Bishop,B000490,Representative,GA
Sanford D.,Sanford,Bishop,Bishop,B000490,Representative,GA
Sanford D.,Sanford,Bishop,Bishop,B000490,Representative,GA
Sanford D.,Sanford,Bishop,Bishop,B000490,Representative,GA
Sanford D.,Sanford,Bishop,Bishop,B000490,Representative,GA
Marsha,Marsha,Blackburn,Blackburn,B001243,Senator,TN
