first_name,last_name,slug_name,slug_url,Top Contributor 1,amount 1,Top Contributor 2,amount 2,Top Contributor 3,amount 3,Top Industry 1,industry amount 1,Top Industry 2,industry amount 2,Top Industry 3,industry amount 3,Top Contributor 1,amount 1,Top Contributor 2,amount 2,Top Contributor 3,amount 3,Top Industry 1,industry amount 1,Top Industry 2,industry amount 2,Top Industry 3,industry amount 3
Alma S.,Adams,alma-s-adams,https://www.opensecrets.org/members-of-congress/adams-alma/summary?cid=N00035451&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,
Robert B.,Aderholt,robert-b-aderholt,https://www.opensecrets.org/members-of-congress/aderholt-robert-b/summary?cid=N00003028&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,
Pete,Aguilar,pete-aguilar,https://www.opensecrets.org/members-of-congress/pete-aguilar/summary?cid=N00033997,,,,,,,,,,,,,,,,,,,,,,,,
Mark,Alford,mark-alford,https://www.opensecrets.org/members-of-congress/mark-alford/summary?cid=N00049617,,,,,,,,,,,,,,,,,,,,,,,,
Rick W.,Allen,rick-w-allen,https://www.opensecrets.org/members-of-congress/allen-richard-w/summary?cid=N00033720&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,
Angela D.,Alsobrooks,angela-d-alsobrooks,https://www.opensecrets.org/members-of-congress/angela-alsobrooks/summary?cid=N00053033&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,
Gabe,Amo,gabe-amo,https://www.opensecrets.org/members-of-congress/amo-gabe/summary?cid=N00052615&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,
Mark E.,Amodei,mark-e-amodei,https://www.opensecrets.org/members-of-congress/amodei-mark/summary?cid=N00031177&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,
Yassamin,Ansari,yassamin-ansari,https://www.opensecrets.org/campaign-expenditures/vendor?cycle=2024&vendor=Yassamin+Ansari+for+Congress,,,,,,,,,,,,,,,,,,,,,,,,
Jodey C.,Arrington,jodey-c-arrington,https://www.opensecrets.org/members-of-congress/arrington-jodey/summary?cid=N00038285&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,
