givenName,familyName,middleName,unaccentedGivenName,unaccentedFamilyName,unaccentedMiddleName,nickName,bioguideid,honorificPrefix,honorificSuffix,honorificTitle,birthYear,deathYear,congresses
Henry,Cuellar,,Henry,Cuellar,,,C001063,,,,1955,,"[{""position"":""Representative"",""congressNumber"":109,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""TX"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""TX"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""TX"",""parties"":[""Democrat""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
John,Curtis,R.,John,Curtis,R.,,C001114,,,,1960,,"[{""position"":""Representative"",""congressNumber"":115,""stateName"":""UT"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":116,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""UT"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""UT"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":119,""stateName"":""UT"",""parties"":[""Republican""],""electionCirca"":false}]"
Steve,Daines,,Steve,Daines,,,D000618,,,,1962,,"[{""position"":""Representative"",""congressNumber"":113,""stateName"":""MT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""MT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""MT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""MT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""MT"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""MT"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":119,""stateName"":""MT"",""parties"":[""Republican""],""electionCirca"":false}]"
Sharice,Davids,,Sharice,Davids,,,D000629,,,,1980,,"[{""position"":""Representative"",""congressNumber"":117,""stateName"":""KS"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":116,""stateName"":""KS"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":118,""stateName"":""KS"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""KS"",""parties"":[""Democrat""],""electionCirca"":false}]"
Warren,Davidson,,Warren,Davidson,,,D000626,,,,1970,,"[{""position"":""Representative"",""congressNumber"":114,""stateName"":""OH"",""parties"":[""Republican""],""electionDate"":""2016-06-07"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":115,""stateName"":""OH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""OH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""OH"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""OH"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""OH"",""parties"":[""Republican""],""electionCirca"":false}]"
Danny,Davis,K.,Danny,Davis,K.,,D000096,,,,1941,,"[{""position"":""Representative"",""congressNumber"":105,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""IL"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""IL"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""IL"",""parties"":[""Democrat""],""electionCirca"":false}]"
Don,Davis,,Don,Davis,,,D000230,,,,1971,,"[{""position"":""Representative"",""congressNumber"":118,""stateName"":""NC"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""NC"",""parties"":[""Democrat""],""electionCirca"":false}]"
Monica,De La Cruz,,Monica,De La Cruz,,,D000594,,,,1974,,"[{""position"":""Representative"",""congressNumber"":118,""stateName"":""TX"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""TX"",""parties"":[""Republican""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
Diana,DeGette,,Diana,DeGette,,,D000197,,,,1957,,"[{""position"":""Representative"",""congressNumber"":105,""stateName"":""CO"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""CO"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""CO"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""CO"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""CO"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""CO"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""CO"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""CO"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""CO"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""CO"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""CO"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""CO"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""CO"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""CO"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""CO"",""parties"":[""Democrat""],""electionCirca"":false}]"
Madeleine,Dean,,Madeleine,Dean,,,D000631,,,,1959,,"[{""position"":""Representative"",""congressNumber"":117,""stateName"":""PA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":116,""stateName"":""PA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":118,""stateName"":""PA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""PA"",""parties"":[""Democrat""],""electionCirca"":false}]"
Rosa,Delauro,L.,Rosa,Delauro,L.,,D000216,,,,1943,,"[{""position"":""Representative"",""congressNumber"":102,""stateName"":""CT"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""CT"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""CT"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""CT"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""CT"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""CT"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""CT"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""CT"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""CT"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""CT"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""CT"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""CT"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""CT"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""CT"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""CT"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""CT"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""CT"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""CT"",""parties"":[""Democrat""],""electionCirca"":false}]"
Suzan,Delbene,K.,Suzan,Delbene,K.,,D000617,,,,1962,,"[{""position"":""Representative"",""congressNumber"":112,""stateName"":""WA"",""parties"":[""Democrat""],""electionDate"":""2012-11-06"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":113,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""WA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""WA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""WA"",""parties"":[""Democrat""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
Chris,Deluzio,,Chris,Deluzio,,,D000530,,,,1984,,"[{""position"":""Representative"",""congressNumber"":118,""stateName"":""PA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""PA"",""parties"":[""Democrat""],""electionCirca"":false}]"
Mark,Desaulnier,James,Mark,Desaulnier,James,,D000623,,,,1952,,"[{""position"":""Representative"",""congressNumber"":114,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""CA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""CA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""CA"",""parties"":[""Democrat""],""electionCirca"":false}]"
Scott,Desjarlais,,Scott,Desjarlais,,,D000616,,,,1964,,"[{""position"":""Representative"",""congressNumber"":112,""stateName"":""TN"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""TN"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""TN"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""TN"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""TN"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""TN"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""TN"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""TN"",""parties"":[""Republican""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
Maxine,Dexter,,Maxine,Dexter,,,D000635,,,,1972,,"[{""position"":""Representative"",""congressNumber"":119,""stateName"":""OR"",""parties"":[""Democrat""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
Mario,Diaz-Balart,,Mario,Diaz-Balart,,,D000600,,,,1961,,"[{""position"":""Representative"",""congressNumber"":108,""stateName"":""FL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""FL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""FL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""FL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""FL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""FL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""FL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""FL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""FL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""FL"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""FL"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""FL"",""parties"":[""Republican""],""electionCirca"":false}]"
Debbie,Dingell,,Debbie,Dingell,,,D000624,,,,1953,,"[{""position"":""Representative"",""congressNumber"":114,""stateName"":""MI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""MI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""MI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""MI"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""MI"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""MI"",""parties"":[""Democrat""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
Lloyd,Doggett,Alton,Lloyd,Doggett,Alton,,D000399,,II,,1946,,"[{""position"":""Representative"",""congressNumber"":104,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""TX"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""TX"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""TX"",""parties"":[""Democrat""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
Byron,Donalds,,Byron,Donalds,,,D000032,Mr.,,,1978,,"[{""position"":""Representative"",""congressNumber"":117,""stateName"":""FL"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""FL"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""FL"",""parties"":[""Republican""],""electionCirca"":false}]"
Troy,Downing,,Troy,Downing,,,D000634,,,,1967,,"[{""position"":""Representative"",""congressNumber"":119,""stateName"":""MT"",""parties"":[""Republican""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
Tammy,Duckworth,,Tammy,Duckworth,,,D000622,,,,1968,,"[{""position"":""Representative"",""congressNumber"":113,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""IL"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""IL"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":119,""stateName"":""IL"",""parties"":[""Democrat""],""electionCirca"":false}]"
Neal,Dunn,Patrick,Neal,Dunn,Patrick,,D000628,,,,1953,,"[{""position"":""Representative"",""congressNumber"":115,""stateName"":""FL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""FL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""FL"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""FL"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""FL"",""parties"":[""Republican""],""electionCirca"":false}]"
Richard,Durbin,Joseph,Richard,Durbin,Joseph,,D000563,,,,1944,,"[{""position"":""Representative"",""congressNumber"":98,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":105,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":106,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":107,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""IL"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""IL"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":119,""stateName"":""IL"",""parties"":[""Democrat""],""electionCirca"":false}]"
Chuck,Edwards,,Chuck,Edwards,,,E000246,,,,1960,,"[{""position"":""Representative"",""congressNumber"":118,""stateName"":""NC"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""NC"",""parties"":[""Republican""],""electionCirca"":false}]"
Sarah,Elfreth,,Sarah,Elfreth,,,E000301,,,,1988,,"[{""position"":""Representative"",""congressNumber"":119,""stateName"":""MD"",""parties"":[""Democrat""],""electionCirca"":false}]"
Jake,Ellzey,,Jake,Ellzey,,,E000071,,,,1970,,"[{""position"":""Representative"",""congressNumber"":117,""stateName"":""TX"",""parties"":[""Republican""],""electionDate"":""2021-07-27"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""TX"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""TX"",""parties"":[""Republican""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
Thomas,Emmer,Earl,Thomas,Emmer,Earl,,E000294,,II,,1961,,"[{""position"":""Representative"",""congressNumber"":114,""stateName"":""MN"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""MN"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""MN"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""MN"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""MN"",""parties"":[""Republican""],""electionCirca"":false,""leadershipPositions"":[{""position"":""Republican Whip"",""startCirca"":false,""endCirca"":false}]},{""position"":""Representative"",""congressNumber"":119,""stateName"":""MN"",""parties"":[""Republican""],""electionCirca"":false,""leadershipPositions"":[{""position"":""Republican Whip"",""startCirca"":false,""endCirca"":false}]}]"
Joni,Ernst,,Joni,Ernst,,,E000295,,,,1970,,"[{""position"":""Senator"",""congressNumber"":114,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""IA"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""IA"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":119,""stateName"":""IA"",""parties"":[""Republican""],""electionCirca"":false}]"
Veronica,Escobar,,Veronica,Escobar,,,E000299,,,,1969,,"[{""position"":""Representative"",""congressNumber"":117,""stateName"":""TX"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":116,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":118,""stateName"":""TX"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""TX"",""parties"":[""Democrat""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
Adriano,Espaillat,J.,Adriano,Espaillat,J.,,E000297,,,,1954,,"[{""position"":""Representative"",""congressNumber"":115,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""NY"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""NY"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""NY"",""parties"":[""Democrat""],""electionCirca"":false}]"
Ron,Estes,,Ron,Estes,,,E000298,,,,1956,,"[{""position"":""Representative"",""congressNumber"":115,""stateName"":""KS"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":116,""stateName"":""KS"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""KS"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""KS"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""KS"",""parties"":[""Republican""],""electionCirca"":false}]"
Dwight,Evans,,Dwight,Evans,,,E000296,,,,1954,,"[{""position"":""Representative"",""congressNumber"":114,""stateName"":""PA"",""parties"":[""Democrat""],""electionDate"":""2016-11-08"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":115,""stateName"":""PA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""PA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""PA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""PA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""PA"",""parties"":[""Democrat""],""electionCirca"":false}]"
Gabe,Evans,,Gabe,Evans,,,E000300,,,,1986,,"[{""position"":""Representative"",""congressNumber"":119,""stateName"":""CO"",""parties"":[""Republican""],""electionCirca"":false}]"
Mike,Ezell,,Mike,Ezell,,,E000235,,,,1959,,"[{""position"":""Representative"",""congressNumber"":118,""stateName"":""MS"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""MS"",""parties"":[""Republican""],""electionCirca"":false}]"
Pat,Fallon,,Pat,Fallon,,,F000246,Mr.,,,1967,,"[{""position"":""Representative"",""congressNumber"":117,""stateName"":""TX"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""TX"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""TX"",""parties"":[""Republican""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
Julie,Fedorchak,,Julie,Fedorchak,,,F000482,,,,1968,,"[{""position"":""Representative"",""congressNumber"":119,""stateName"":""ND"",""parties"":[""Republican""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
Randy,Feenstra,,Randy,Feenstra,,,F000446,Mr.,,,1969,,"[{""position"":""Representative"",""congressNumber"":117,""stateName"":""IA"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""IA"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""IA"",""parties"":[""Republican""],""electionCirca"":false}]"
John,Fetterman,Karl,John,Fetterman,Karl,,F000479,,,,1969,,"[{""position"":""Senator"",""congressNumber"":118,""stateName"":""PA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":119,""stateName"":""PA"",""parties"":[""Democrat""],""electionCirca"":false}]"
Cleo,Fields,,Cleo,Fields,,,F000110,,,,1962,,"[{""position"":""Representative"",""congressNumber"":103,""stateName"":""LA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""LA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":119,""stateName"":""LA"",""parties"":[""Democrat""],""electionCirca"":false}]"
