first_name,last_name,committee,subcommittee
Michael,Bennet,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure"
Michael,Bennet,Committee on Finance,"Subcommittee on International Trade, Customs, and Global Competitiveness"
Michael,Bennet,Committee on Finance,Subcommittee on Taxation and IRS Oversight
Michael,Bennet,Committee on Rules and Administration,
Michael,Bennet,Select Committee on Intelligence,
Cliff,Bentz,Energy and Commerce,
Cliff,Bentz,Natural Resources,
Ami,Bera,Foreign Affairs,
Ami,Bera,Intelligence,
Jack,Bergman,Armed Services,
Jack,Bergman,Budget,
Jack,Bergman,Veterans' Affairs,
Donald,Beyer,Ways and Means,
Stephanie,Bice,Appropriations,
Stephanie,Bice,House Administration,
Andy,Biggs,Judiciary,
Andy,Biggs,Oversight and Government Reform,
Sheri,Biggs,Foreign Affairs,
Sheri,Biggs,Homeland Security,
Sheri,Biggs,"Science, Space, and Technology",
Gus,Bilirakis,Energy and Commerce,
Gus,Bilirakis,Select Comm on the Strategic Competition US and China,
Sanford,Bishop,Appropriations,
Marsha,Blackburn,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy"
Marsha,Blackburn,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness"
Marsha,Blackburn,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media
Marsha,Blackburn,Committee on Finance,Subcommittee on Health Care
Marsha,Blackburn,Committee on Finance,"Subcommittee on Social Security, Pensions, and Family Policy"
Marsha,Blackburn,Committee on Finance,Subcommittee on Taxation and IRS Oversight
Marsha,Blackburn,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism
Marsha,Blackburn,Committee on the Judiciary,Subcommittee on Intellectual Property
Marsha,Blackburn,Committee on the Judiciary,"Subcommittee on Privacy, Technology, and the Law"
Marsha,Blackburn,Committee on the Judiciary,Subcommittee on the Constitution
Marsha,Blackburn,Committee on Veterans' Affairs,
Marsha,Blackburn,Joint Economic Committee,
Richard,Blumenthal,Committee on Armed Services,Subcommittee on Airland
Richard,Blumenthal,Committee on Armed Services,Subcommittee on Personnel
Richard,Blumenthal,Committee on Armed Services,Subcommittee on Seapower
Richard,Blumenthal,Committee on Homeland Security and Governmental Affairs,Permanent Subcommittee on Investigations
Richard,Blumenthal,Committee on Homeland Security and Governmental Affairs,"Subcommittee on Disaster Management, District of Columbia, and Census"
Richard,Blumenthal,Committee on the Judiciary,"Subcommittee on Antitrust, Competition Policy, and Consumer Rights"
Richard,Blumenthal,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism
Richard,Blumenthal,Committee on the Judiciary,"Subcommittee on Federal Courts, Oversight, Agency Action, and Federal Rights"
Richard,Blumenthal,Committee on the Judiciary,"Subcommittee on Privacy, Technology, and the Law"
Richard,Blumenthal,Committee on Veterans' Affairs,
Richard,Blumenthal,United States Senate Caucus on International Narcotics Control,
Lisa,Blunt Rochester,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Economic Policy
Lisa,Blunt Rochester,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development"
Lisa,Blunt Rochester,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment"
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation","Subcommittee on Coast Guard, Maritime, and Fisheries"
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy"
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness"
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media
Lisa,Blunt Rochester,Committee on Environment and Public Works,"Subcommittee on Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight"
Lisa,Blunt Rochester,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety"
Lisa,Blunt Rochester,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure
Lisa,Blunt Rochester,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family
Lisa,Blunt Rochester,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security
Lauren,Boebert,Natural Resources,
Lauren,Boebert,Oversight and Government Reform,
Suzanne,Bonamici,Education and Workforce,
Suzanne,Bonamici,"Science, Space, and Technology",
Cory,Booker,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade"
Cory,Booker,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research"
Cory,Booker,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Livestock, Dairy, Poultry, and Food Safety"
Cory,Booker,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy
Cory,Booker,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation
Cory,Booker,Committee on Foreign Relations,"Subcommittee on Near East, South Asia, Central Asia, and Counterterrorism"
Cory,Booker,Committee on Small Business and Entrepreneurship,
Cory,Booker,Committee on the Judiciary,"Subcommittee on Antitrust, Competition Policy, and Consumer Rights"
Cory,Booker,Committee on the Judiciary,Subcommittee on Border Security and Immigration
Cory,Booker,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism
Cory,Booker,Committee on the Judiciary,Subcommittee on the Constitution
John,Boozman,Commission on Security and Cooperation in Europe,
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade"
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology"
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research"
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Livestock, Dairy, Poultry, and Food Safety"
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Rural Development, Energy, and Credit"
John,Boozman,Committee on Appropriations,Subcommittee on Department of Defense
John,Boozman,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies"
John,Boozman,Committee on Appropriations,Subcommittee on Financial Services and General Government
John,Boozman,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies"
John,Boozman,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs"
