first_name,last_name,slug_name,slug_url,Top Contributor 1,amount 1,Top Contributor 2,amount 2,Top Contributor 3,amount 3,Top Industry 1,industry amount 1,Top Industry 2,industry amount 2,Top Industry 3,industry amount 3,Top Contributor 1,amount 1,Top Contributor 2,amount 2,Top Contributor 3,amount 3,Top Industry 1,industry amount 1,Top Industry 2,industry amount 2,Top Industry 3,industry amount 3,top_contributors,top_industries
James R.,Baird,james-r-baird,https://www.opensecrets.org/members-of-congress/baird-jim/summary?cid=N00041954&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"American Crystal Sugar ($10,000); Farm Credit Council ($10,000); National Auto Dealers Assn ($10,000); American Council of Engineering Cos ($9,000); National Assn of Realtors ($9,000)","Agricultural Services/Products ($61,250); Crop Production & Basic Processing ($51,482); Leadership PACs ($27,300); Retired ($18,538); Real Estate ($15,050)"
Troy,Balderson,troy-balderson,https://www.opensecrets.org/members-of-congress/troy-balderson/summary?cid=N00042194,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($26,550); Nationwide ($20,200); Primary Aim LLC ($19,800); Ariel Corp ($19,500); Kessler Sign Co ($19,350)","Oil & Gas ($132,550); Health Professionals ($110,850); Pharmaceuticals/Health Products ($107,550); Lobbyists ($102,200); Insurance ($82,000)"
Tammy,Baldwin,tammy-baldwin,https://www.opensecrets.org/members-of-congress/baldwin-tammy/summary?cid=N00004367&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"University of Wisconsin/Madison ($349,155); JStreetPAC ($221,291); Emily's List ($199,224); University of Wisconsin ($173,612); Google Inc ($94,508)","Retired ($11,928,585); Democratic/Liberal ($2,565,779); Education ($2,287,639); Lawyers/Law Firms ($2,052,000); Securities & Investment ($1,518,646)"
Becca,Balint,becca-balint,https://www.opensecrets.org/members-of-congress/becca-balint/summary?cid=N00049900,,,,,,,,,,,,,,,,,,,,,,,,,"State of Vermont ($19,075); JStreetPAC ($14,150); Northlane Capital Partners ($13,200); Invariant LLC ($10,900); American Federation of State/Cnty/Munic Employees ($10,010)","Retired ($139,199); Democratic/Liberal ($131,984); Human Rights ($104,784); Leadership PACs ($58,500); Health Professionals ($50,916)"
Jim,Banks,jim-banks,https://www.opensecrets.org/members-of-congress/jim-banks/summary?cid=N00037185,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($205,242); Blackstone Group ($52,400); Club for Growth ($51,685); AM General Corp ($30,801); Poet LLC ($29,200)","Retired ($1,020,827); Securities & Investment ($597,190); Republican/Conservative ($473,117); Leadership PACs ($471,000); Pro-Israel ($323,685)"
Andy,Barr,andy-barr,https://www.opensecrets.org/members-of-congress/andy-barr/summary?cid=N00031233,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($140,097); Banc of California ($60,082); Apollo Global Management ($55,800); Wells Fargo ($39,932); Blackstone Group ($39,204)","Securities & Investment ($750,447); Retired ($429,125); Commercial Banks ($399,714); Insurance ($289,804); Real Estate ($285,161)"
Nanette Diaz,Barragán,nanette-diaz-barragn,https://www.opensecrets.org/members-of-congress/barragan-nanette/summary?cid=N00037019&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($49,522); Thegroup Dc ($14,000); Sean N Parker Foundation ($13,200); Amgen Inc ($12,500); Eli Lilly & Co ($10,800)","Pharmaceuticals/Health Products ($172,115); Health Professionals ($109,375); Lobbyists ($66,975); Lawyers/Law Firms ($63,605); Pro-Israel ($49,522)"
John,Barrasso,john-barrasso,https://www.opensecrets.org/members-of-congress/barrasso-john/summary?cid=N00006236&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"Welsh, Carson et al ($72,952); Delta Air Lines ($59,673); DISH Network ($51,700); Constellation Energy ($47,412); Neurological Surgery PC ($46,000)","Securities & Investment ($1,119,774); Retired ($1,025,596); Oil & Gas ($789,401); Health Professionals ($513,172); Real Estate ($437,644)"
Tom,Barrett,tom-barrett,https://www.opensecrets.org/members-of-congress/tom-barrett/summary?cid=N00049596,,,,,,,,,,,,,,,,,,,,,,,,,"Huron Capital Partners ($26,400); Haworth Inc ($19,800); Mid-American Gunite ($13,602); Rdv Corp ($13,275); Alro Steel ($13,200)","Republican/Conservative ($655,930); Retired ($545,674); Leadership PACs ($384,100); Securities & Investment ($270,262); Real Estate ($178,773)"
Michael,Baumgartner,michael-baumgartner,https://www.opensecrets.org/members-of-congress/bennet-michael/summary?cid=N00030608&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($116,850); Blackstone Group ($77,000); Paul, Weiss et al ($58,300); State of Colorado ($53,331); University of Colorado ($52,396)","Retired ($2,964,415); Securities & Investment ($1,984,576); Lawyers/Law Firms ($1,486,560); Real Estate ($867,473); Education ($607,520)"
