rank,original,first_name,last_name,info,minimum_net_worth,net_worth,maximum_net_worth,chamber
233,Bill Johnson (R-Ohio),Bill,Johnson,R-Ohio,417037,948518,1480000,House
234,Mike Crapo (R-Idaho),Mike,Crapo,R-Idaho,204044,944521,1684999,Senate
235,Evan Jenkins (R-WVa),Evan,Jenkins,R-WVa,399046,920023,1441000,House
236,Grace Napolitano (D-Calif),Grace,Napolitano,D-Calif,36012,913004,1789996,House
237,Steven Palazzo (R-Miss),Steven,Palazzo,R-Miss,172006,908501,1644997,House
238,Ted Deutch (D-Fla),Ted,Deutch,D-Fla,357050,907525,1458000,House
239,Bennie G Thompson (D-Miss),Bennie,Thompson,D-Miss,469023,889511,1310000,House
240,Scott Perry (R-Pa),Scott,Perry,R-Pa,355019,877508,1399998,House
241,Mike Gallagher (R-Wis),Mike,Gallagher,R-Wis,466016,853007,1239999,House
242,Don Bacon (R-Neb),Don,Bacon,R-Neb,494013,852006,1210000,House
243,Cory Gardner (R-Colo),Cory,Gardner,R-Colo,326038,850518,1374999,Senate
244,Hakeem Jeffries (D-NY),Hakeem,Jeffries,D-NY,452024,841012,1230000,House
245,Val Demings (D-Fla),Val,Demings,D-Fla,468008,824003,1179999,House
246,Daniel Webster (R-Fla),Daniel,Webster,R-Fla,483008,814004,1145000,House
247,Tim Kaine (D-Va),Tim,Kaine,D-Va,409018,811008,1212999,Senate
248,Cory Booker (D-NJ),Cory,Booker,D-NJ,515006,807503,1100000,Senate
249,Bill Posey (R-Fla),Bill,Posey,R-Fla,432010,807004,1181999,House
250,John Shimkus (R-Ill),John,Shimkus,R-Ill,251007,803003,1354999,House
251,Maxine Waters (D-Calif),Maxine,Waters,D-Calif,-3579987,793006,5165999,House
252,Rand Paul (R-Ky),Rand,Paul,R-Ky,170041,773520,1376999,Senate
253,Marcia L Fudge (D-Ohio),Marcia,Fudge,D-Ohio,256011,773004,1289998,House
254,Kevin Brady (R-Texas),Kevin,Brady,R-Texas,405026,766513,1128000,House
255,Patrick McHenry (R-NC),Patrick,McHenry,R-NC,393015,765007,1137000,House
256,Jan Schakowsky (D-Ill),Jan,Schakowsky,D-Ill,258036,749017,1239998,House
257,Nydia M Velazquez (D-NY),Nydia,Velazquez,D-NY,485001,737500,990000,House
258,Seth Moulton (D-Mass),Seth,Moulton,D-Mass,180069,728534,1277000,House
259,G K Butterfield (D-NC),G K,Butterfield,D-NC,-255981,727007,1709995,House
260,Grace Meng (D-NY),Grace,Meng,D-NY,139047,708522,1277998,House
261,David Rouzer (R-NC),David,Rouzer,R-NC,369023,703011,1037000,House
262,Tammy Duckworth (D-Ill),Tammy,Duckworth,D-Ill,139063,697531,1255999,Senate
263,Rick Larsen (D-Wash),Rick,Larsen,D-Wash,372019,676509,981000,House
264,Randy Weber (R-Texas),Randy,Weber,R-Texas,250008,676003,1101999,House
265,Mark Meadows (R-NC),Mark,Meadows,R-NC,66022,666010,1265999,House
266,Bonnie Coleman (D-NJ),Bonnie,Coleman,D-NJ,350002,642500,934998,House
267,Darren Soto (D-Fla),Darren,Soto,D-Fla,-17990,641002,1299995,House
268,David Schweikert (R-Ariz),David,Schweikert,R-Ariz,286011,618004,949998,House
269,Eddie Bernice Johnson (D-Texas),Eddie,Bernice Johnson,D-Texas,266003,615501,964999,House
270,Bob Casey (D-Pa),Bob,Casey,D-Pa,142020,609007,1075995,Senate
271,Henry Cuellar (D-Texas),Henry,Cuellar,D-Texas,19018,602008,1184999,House
272,Derek Kilmer (D-Wash),Derek,Kilmer,D-Wash,180043,596521,1012999,House
273,Mac Thornberry (R-Texas),Mac,Thornberry,R-Texas,104006,582002,1059999,House
274,Robert Menendez (D-NJ),Robert,Menendez,D-NJ,303005,541502,779999,Senate
275,Adrian Smith (R-Neb),Adrian,Smith,R-Neb,256016,535508,815000,House
276,Pete King (R-NY),Pete,King,R-NY,350003,525001,700000,House
277,Dan Kildee (D-Mich),Dan,Kildee,D-Mich,295006,522503,750000,House
278,John Sarbanes (D-Md),John,Sarbanes,D-Md,298010,521505,745000,House
279,Bernie Sanders (I-Vt),Bernie,Sanders,I-Vt,-27973,513513,1054999,Senate
280,Bruce Westerman (R-Ark),Bruce,Westerman,R-Ark,214025,512012,810000,House
281,Linda Sanchez (D-Calif),Linda,Sanchez,D-Calif,-73979,508508,1090996,House
282,Charlie Dent (R-Pa),Charlie,Dent,R-Pa,210032,507016,804000,House
283,David Loebsack (D-Iowa),David,Loebsack,D-Iowa,258013,502006,746000,House
284,Tom Cotton (R-Ark),Tom,Cotton,R-Ark,229017,498008,767000,Senate
285,Tom Graves (R-Ga),Tom,Graves,R-Ga,38027,491512,944998,House
286,Raul Ruiz (D-Calif),Raul,Ruiz,D-Calif,217005,491001,764998,House
287,Michael R Turner (R-Ohio),Michael,R Turner,R-Ohio,183029,489514,796000,House
288,Ruben Gallego (D-Ariz),Ruben,Gallego,D-Ariz,189013,479505,769998,House
289,Sam Graves (R-Mo),Sam,Graves,R-Mo,-4339490,473002,5285494,House
290,John B Larson (D-Conn),John,Larson,D-Conn,91050,466025,841000,House
291,Warren Davidson (R-Ohio),Warren,Davidson,R-Ohio,-4003989,457004,4917998,House
292,Hal Rogers (R-Ky),Hal,Rogers,R-Ky,322330,446327,570324,House
293,Ed Perlmutter (D-Colo),Ed,Perlmutter,D-Colo,117043,437521,758000,House
294,Andy Barr (R-Ky),Andy,Barr,R-Ky,224013,429506,635000,House
295,Danny K Davis (D-Ill),Danny,Davis,D-Ill,266009,418504,571000,House
296,Karen Bass (D-Calif),Karen,Bass,D-Calif,266003,415501,565000,House
297,Mike Lee (R-Utah),Mike,Lee,R-Utah,208010,414005,620000,Senate
298,Adam Kinzinger (R-Ill),Adam,Kinzinger,R-Ill,161007,413003,664999,House
299,John Moolenaar (R-Mich),John,Moolenaar,R-Mich,103042,412521,722000,House
300,Alma Adams (D-NC),Alma,Adams,D-NC,265002,407501,550000,House
301,Garret Graves (R-La),Garret,Graves,R-La,156027,400013,644000,House
302,Tom Reed (R-NY),Tom,Reed,R-NY,182006,398502,614999,House
303,Douglas L Lamborn (R-Colo),Douglas,Lamborn,R-Colo,114016,397007,679998,House
304,Jim Banks (R-Ind),Jim,Banks,R-Ind,168022,395011,622000,House
305,Adam Smith (D-Wash),Adam,Smith,D-Wash,220012,393006,566000,House
306,Mark Pocan (D-Wis),Mark,Pocan,D-Wis,200002,385000,569998,House
307,Chris Stewart (R-Utah),Chris,Stewart,R-Utah,251002,383001,515000,House
308,Jackie Walorski (R-Ind),Jackie,Walorski,R-Ind,143025,382012,621000,House
309,Brian Mast (R-Fla),Brian,Mast,R-Fla,169713,370702,571692,House
310,Mark Amodei (R-Nev),Mark,Amodei,R-Nev,102005,366002,629999,House
311,Steve Womack (R-Ark),Steve,Womack,R-Ark,205008,365004,525000,House
312,Rodney Davis (R-Ill),Rodney,Davis,R-Ill,140021,357510,575000,House
313,Lucille Roybal-Allard (D-Calif),Lucille,Roybal-Allard,D-Calif,-825992,357002,1539996,House
314,Darin LaHood (R-Ill),Darin,LaHood,R-Ill,108029,341514,575000,House
315,Glenn Thompson (R-Pa),Glenn,Thompson,R-Pa,172010,338505,505000,House
316,Joe Wilson (R-SC),Joe,Wilson,R-SC,-564992,337501,1239994,House
317,William L Clay Jr. (D-Mo),William,Clay Jr.,D-Mo,-7984,336007,679999,House
318,Morgan Griffith (R-Va),Morgan,Griffith,R-Va,1006,333001,664997,House
