first_name,last_name,slug_name,slug_url
Jim,Banks,jim-banks,https://www.opensecrets.org/members-of-congress/jim-banks/summary?cid=N00037185
Andy,Barr,andy-barr,https://www.opensecrets.org/members-of-congress/andy-barr/summary?cid=N00031233
Nanette Diaz,Barragán,nanette-diaz-barragn,https://www.opensecrets.org/members-of-congress/barragan-nanette/summary?cid=N00037019&cycle=2024
John,Barrasso,john-barrasso,https://www.opensecrets.org/members-of-congress/barrasso-john/summary?cid=N00006236&cycle=2024
Tom,Barrett,tom-barrett,https://www.opensecrets.org/members-of-congress/tom-barrett/summary?cid=N00049596
Michael,Baumgartner,michael-baumgartner,https://www.opensecrets.org/members-of-congress/bennet-michael/summary?cid=N00030608&cycle=2024
Aaron,Bean,aaron-bean,https://www.opensecrets.org/members-of-congress/aaron-bean/summary?cid=N00051369
Joyce,Beatty,joyce-beatty,https://www.opensecrets.org/members-of-congress/joyce-beatty/summary?cid=N00033904
Nicholas J.,Begich,nicholas-j-begich,
Wesley,Bell,wesley-bell,
Michael F.,Bennet,michael-f-bennet,https://www.opensecrets.org/members-of-congress/bennet-michael/summary?cid=N00030608&cycle=2024
Cliff,Bentz,cliff-bentz,https://www.opensecrets.org/members-of-congress/cliff-bentz/summary?cid=N00045773
Ami,Bera,ami-bera,https://www.opensecrets.org/members-of-congress/ami-bera/summary?cid=N00030717
Jack,Bergman,jack-bergman,https://www.opensecrets.org/members-of-congress/bergman-john/summary?cid=N00039533&cycle=2024
Donald S.,Beyer,donald-s-beyer,https://www.opensecrets.org/members-of-congress/beyer-don/summary?cid=N00036018&cycle=2024
Stephanie I.,Bice,stephanie-i-bice,https://www.opensecrets.org/members-of-congress/bice-stephanie/summary?cid=N00044579&cycle=2024
Andy,Biggs,andy-biggs,https://www.opensecrets.org/members-of-congress/andy-biggs/summary?cid=N00039293
Sheri,Biggs,sheri-biggs,https://www.opensecrets.org/members-of-congress/sheri-biggs/summary?cid=N00054222&cycle=2024
Gus M.,Bilirakis,gus-m-bilirakis,https://www.opensecrets.org/members-of-congress/bilirakis-gus/summary?cid=N00027462&cycle=2024
Sanford D.,Bishop,sanford-d-bishop,https://www.opensecrets.org/members-of-congress/bishop-sanford/summary?cid=N00002674&cycle=2024
Marsha,Blackburn,marsha-blackburn,https://www.opensecrets.org/members-of-congress/blackburn-marsha/summary?cid=N00003105&cycle=2024
Richard,Blumenthal,richard-blumenthal,https://www.opensecrets.org/members-of-congress/richard-blumenthal/summary?cid=N00031685
Lisa,Blunt Rochester,lisa-blunt-rochester,https://www.opensecrets.org/members-of-congress/lisa-blunt-rochester/summary?cid=N00038414&cycle=CAREER
Lauren,Boebert,lauren-boebert,https://www.opensecrets.org/members-of-congress/lauren-boebert/summary?cid=N00045974
Suzanne,Bonamici,suzanne-bonamici,https://www.opensecrets.org/members-of-congress/suzanne-bonamici/summary?cid=N00033474
Cory A.,Booker,cory-a-booker,https://www.opensecrets.org/members-of-congress/booker-cory/summary?cid=N00035267&cycle=2024
John,Boozman,john-boozman,https://www.opensecrets.org/members-of-congress/john-boozman/summary?cid=N00013873
Mike,Bost,mike-bost,https://www.opensecrets.org/members-of-congress/mike-bost/summary?cid=N00035420
Brendan F.,Boyle,brendan-f-boyle,https://www.opensecrets.org/members-of-congress/boyle-brendan/summary?cid=N00035307&cycle=2024
Josh,Brecheen,josh-brecheen,https://www.opensecrets.org/members-of-congress/josh-brecheen/summary?cid=N00051106
Robert P.,Bresnahan,robert-p-bresnahan,https://www.opensecrets.org/members-of-congress/summary?cid=N00053588&cycle=2024
Katie Boyd,Britt,katie-boyd-britt,https://www.opensecrets.org/members-of-congress/katie-britt/contributors?cid=N00048812&cycle=2024
Shontel M.,Brown,shontel-m-brown,https://www.opensecrets.org/members-of-congress/brown-shontel/summary?cid=N00047875&cycle=2024
Julia,Brownley,julia-brownley,https://www.opensecrets.org/members-of-congress/julia-brownley/summary?cid=N00034254
Vern,Buchanan,vern-buchanan,https://www.opensecrets.org/members-of-congress/buchanan-vernon/summary?cid=N00027626&cycle=2024
Ted,Budd,ted-budd,https://www.opensecrets.org/members-of-congress/ted-budd/summary?cid=N00039551
Nikki,Budzinski,nikki-budzinski,https://www.opensecrets.org/members-of-congress/nikki-budzinski/summary?cid=N00049102
Tim,Burchett,tim-burchett,https://www.opensecrets.org/members-of-congress/tim-burchett/summary?cid=N00041594
Eric,Burlison,eric-burlison,https://www.opensecrets.org/members-of-congress/eric-burlison/summary?cid=N00049123
