first_name,last_name,current_net_worth,normalized_net_worth
Julie,Fedorchak,$7.41M,"$7,410,000"
Chellie,Pingree,$7.38M,"$7,380,000"
Gary,Peters,$7.35M,"$7,350,000"
Elizabeth,Warren,$7.09M,"$7,090,000"
Scott,Fitzgerald,$6.99M,"$6,990,000"
Dusty,Johnson,$6.98M,"$6,980,000"
James,Comer,$6.95M,"$6,950,000"
Tim,Moore,$6.94M,"$6,940,000"
Cliff,Bentz,$6.93M,"$6,930,000"
Katie,Britt,$6.75M,"$6,750,000"
Susan,Collins,$6.61M,"$6,610,000"
Jamie,Raskin,$6.54M,"$6,540,000"
Warren,Davidson,$6.51M,"$6,510,000"
John,James,$6.50M,"$6,500,000"
J.,Correa,$6.44M,"$6,440,000"
Chuck,Grassley,$6.21M,"$6,210,000"
Ted,Budd,$6.19M,"$6,190,000"
Donald,Norcross,$6.16M,"$6,160,000"
Neal,Dunn,$6.10M,"$6,100,000"
Andy,Biggs,$6.07M,"$6,070,000"
Roger,Marshall,$6.04M,"$6,040,000"
Tracey,Mann,$5.99M,"$5,990,000"
Tina,Smith,$5.97M,"$5,970,000"
Margaret,Hassan,$5.92M,"$5,920,000"
Al,Green,$5.90M,"$5,900,000"
Tim,Scott,$5.78M,"$5,780,000"
Tommy,Tuberville,$5.75M,"$5,750,000"
Zoe,Lofgren,$5.69M,"$5,690,000"
Ed,Case,$5.68M,"$5,680,000"
Andy,Harris,$5.62M,"$5,620,000"
Josh,Harder,$5.62M,"$5,620,000"
Robert,Wittman,$5.56M,"$5,560,000"
Deborah,Ross,$5.56M,"$5,560,000"
Virginia,Foxx,$5.36M,"$5,360,000"
Ayanna,Pressley,$5.25M,"$5,250,000"
Maxine,Dexter,$5.20M,"$5,200,000"
Ashley,Hinson,$5.03M,"$5,030,000"
John,Garamendi,$4.97M,"$4,970,000"
Deb,Fischer,$4.86M,"$4,860,000"
Brian,Schatz,$4.81M,"$4,810,000"
David,Joyce,$4.72M,"$4,720,000"
Shelley,Capito,$4.68M,"$4,680,000"
Brad,Knott,$4.67M,"$4,670,000"
Derek,Tran,$4.61M,"$4,610,000"
Frank,Jr.,$4.48M,"$4,480,000"
Jim,Costa,$4.45M,"$4,450,000"
Christopher,Deluzio,$4.40M,"$4,400,000"
Yassamin,Ansari,$4.39M,"$4,390,000"
Chris,Pappas,$4.39M,"$4,390,000"
Byron,Donalds,$4.37M,"$4,370,000"
Catherine,Masto,$4.36M,"$4,360,000"
Jennifer,Kiggans,$4.25M,"$4,250,000"
Joyce,Beatty,$4.13M,"$4,130,000"
Brad,Finstad,$4.03M,"$4,030,000"
Gerald,Connolly,$4.02M,"$4,020,000"
Harriet,Hageman,$4.00M,"$4,000,000"
Sean,Casten,$3.99M,"$3,990,000"
Steny,Hoyer,$3.93M,"$3,930,000"
Jake,Auchincloss,$3.91M,"$3,910,000"
Raja,Krishnamoorthi,$3.88M,"$3,880,000"
Mike,Crapo,$3.87M,"$3,870,000"
Ted,Lieu,$3.86M,"$3,860,000"
Maggie,Goodlander,$3.83M,"$3,830,000"
Wesley,Hunt,$3.78M,"$3,780,000"
Sydney,Kamlager-Dove,$3.78M,"$3,780,000"
Maxine,Waters,$3.74M,"$3,740,000"
Young,Kim,$3.62M,"$3,620,000"
Brian,Babin,$3.61M,"$3,610,000"
James,McGovern,$3.56M,"$3,560,000"
Nanette,Barragán,$3.51M,"$3,510,000"
Doug,LaMalfa,$3.50M,"$3,500,000"
John,Carter,$3.45M,"$3,450,000"
John,Boozman,$3.44M,"$3,440,000"
Derek,Schmidt,$3.43M,"$3,430,000"
Nancy,Mace,$3.43M,"$3,430,000"
Jim,Banks,$3.40M,"$3,400,000"
Patty,Murray,$3.38M,"$3,380,000"
Maria,Cantwell,$3.34M,"$3,340,000"
David,Scott,$3.26M,"$3,260,000"
Bennie,Thompson,$3.25M,"$3,250,000"
Jon,Ossoff,$3.25M,"$3,250,000"
Rosa,DeLauro,$3.22M,"$3,220,000"
Jonathan,Jackson,$3.15M,"$3,150,000"
William,Keating,$3.15M,"$3,150,000"
Thomas,Massie,$3.11M,"$3,110,000"
Lloyd,Smucker,$3.11M,"$3,110,000"
Luz,Rivas,$3.08M,"$3,080,000"
Patrick,Ryan,$3.04M,"$3,040,000"
Jerry,Moran,$3.02M,"$3,020,000"
Frank,Lucas,$3.01M,"$3,010,000"
Brian,Fitzpatrick,$3.01M,"$3,010,000"
Julia,Brownley,$2.98M,"$2,980,000"
Adrian,Smith,$2.86M,"$2,860,000"
Diana,DeGette,$2.84M,"$2,840,000"
Josh,Hawley,$2.79M,"$2,790,000"
Suhas,Subramanyam,$2.72M,"$2,720,000"
Lois,Frankel,$2.67M,"$2,670,000"
Grace,Meng,$2.64M,"$2,640,000"
Carlos,Gimenez,$2.63M,"$2,630,000"
Eleanor,Norton,$2.54M,"$2,540,000"
Jennifer,McClellan,$2.54M,"$2,540,000"
Chrissy,Houlahan,$2.53M,"$2,530,000"
Frederica,Wilson,$2.52M,"$2,520,000"
Marilyn,Strickland,$2.46M,"$2,460,000"
Greg,Landsman,$2.37M,"$2,370,000"
Jeff,Crank,$2.35M,"$2,350,000"
Lisa,Murkowski,$2.32M,"$2,320,000"
Jason,Smith,$2.30M,"$2,300,000"
John,Larson,$2.28M,"$2,280,000"
Amy,Klobuchar,$2.27M,"$2,270,000"
Dave,Min,$2.27M,"$2,270,000"
Vince,Fong,$2.25M,"$2,250,000"
Tim,Kaine,$2.25M,"$2,250,000"
Glenn,Grothman,$2.24M,"$2,240,000"
Bill,Huizenga,$2.20M,"$2,200,000"
Maria,Salazar,$2.16M,"$2,160,000"
Barry,Moore,$2.16M,"$2,160,000"
Teresa,Fernandez,$2.15M,"$2,150,000"
Rand,Paul,$2.09M,"$2,090,000"
Adam,Schiff,$2.08M,"$2,080,000"
Aaron,Bean,$2.05M,"$2,050,000"
Greg,Stanton,$2.02M,"$2,020,000"
Bryan,Steil,$2.01M,"$2,010,000"
Joe,Courtney,$2.01M,"$2,010,000"
Charles,Schumer,$2.00M,"$2,000,000"
Mark,Messmer,$1.97M,"$1,970,000"
Pete,Stauber,$1.94M,"$1,940,000"
Mike,Levin,$1.91M,"$1,910,000"
Julia,Letlow,$1.90M,"$1,900,000"
Andy,Barr,$1.90M,"$1,900,000"
Madeleine,Dean,$1.89M,"$1,890,000"
Shomari,Figures,$1.88M,"$1,880,000"
Mark,Harris,$1.78M,"$1,780,000"
Mariannette,Miller-Meeks,$1.78M,"$1,780,000"
Brandon,Gill,$1.74M,"$1,740,000"
Robert,Scott,$1.72M,"$1,720,000"
Don,Bacon,$1.71M,"$1,710,000"
Val,Hoyle,$1.70M,"$1,700,000"
Ronny,Jackson,$1.69M,"$1,690,000"
Nicole,Malliotakis,$1.67M,"$1,670,000"
Stephanie,Bice,$1.65M,"$1,650,000"
Andy,Kim,$1.64M,"$1,640,000"
Becca,Balint,$1.64M,"$1,640,000"
John,Fetterman,$1.63M,"$1,630,000"
Austin,Scott,$1.63M,"$1,630,000"
August,Pfluger,$1.63M,"$1,630,000"
Joe,Wilson,$1.60M,"$1,600,000"
