first_name,last_name,current_net_worth,normalized_net_worth,slug_url,top_contributors,top_industries,contributors_period_start,contributors_period_end,contributors_period,industries_period_start,industries_period_end,industries_period
Marlin,Stutzman,$54.38M,"$54,380,000",https://www.opensecrets.org/members-of-congress/marlin-stutzman/summary?cid=N00030891,"House Freedom Fund ($89,445); American Israel Public Affairs Cmte ($18,300); Maple Leaf Farms ($14,861); Waterfield Enterprises ($13,199); ANCHOR CONSTRUCTION LLC ($13,000)","Republican/Conservative ($104,367); Leadership PACs ($101,800); Retired ($40,867); Automotive ($30,441); Candidate Committees ($28,000)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Lloyd,Doggett,$52.91M,"$52,910,000",https://www.opensecrets.org/members-of-congress/lloyd-doggett/summary?cid=N00006023,"Service Employees International Union ($20,000); University of Texas/Austin ($14,696); Perry & Haas ($11,200); American Assn for Justice ($10,000); American Dental Assn ($10,000)","Health Professionals ($128,381); Lawyers/Law Firms ($114,630); Retired ($97,213); Democratic/Liberal ($80,025); Building Trade Unions ($59,500)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Bill,Hagerty,$52.82M,"$52,820,000",https://www.opensecrets.org/members-of-congress/hagerty-bill/summary?cid=N00045369&cycle=2024,"Blackstone Group ($85,600); HCA Inc ($75,920); State of Tennessee ($73,025); Apollo Global Management ($71,650); Rogers Group Investments ($71,400)","Retired ($2,226,540); Securities & Investment ($2,113,264); Real Estate ($1,057,508); Lawyers/Law Firms ($702,248); Lobbyists ($446,869)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
John,Hoeven,$48.48M,"$48,480,000",https://www.opensecrets.org/members-of-congress/john-hoeven/summary?cid=N00031688,"American Israel Public Affairs Cmte ($131,900); Pro-Israel America PAC ($39,800); Hess Corp ($27,900); Blackstone Group ($27,631); NorPAC ($22,000)","Leadership PACs ($428,362); Oil & Gas ($343,170); Securities & Investment ($303,526); Crop Production & Basic Processing ($259,155); Pro-Israel ($211,236)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Julie,Johnson,$47.22M,"$47,220,000",https://www.opensecrets.org/members-of-congress/julie-johnson/summary?cid=N00052806&cycle=2024,"American Israel Public Affairs Cmte ($36,510); Billingsley Co ($18,200); Blackridge (Texas) ($15,300); Waters, Kraus et al ($14,700); Equality PAC ($14,500)","Lawyers/Law Firms ($245,871); Retired ($200,622); Health Professionals ($147,797); Human Rights ($83,635); Real Estate ($80,690)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Mark,Green,$45.82M,"$45,820,000",https://www.opensecrets.org/members-of-congress/green-mark/summary?cid=N00041873&cycle=2024,"American Israel Public Affairs Cmte ($133,602); NorPAC ($30,817); Kemmerer Resources ($26,400); House Freedom Fund ($22,050); CoreCivic Inc ($21,800)","Retired ($212,923); Pro-Israel ($191,019); Securities & Investment ($176,186); Real Estate ($121,595); Republican/Conservative ($109,915)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Josh,Gottheimer,$42.07M,"$42,070,000",https://www.opensecrets.org/members-of-congress/josh-gottheimer/summary?cid=N00036944,"American Israel Public Affairs Cmte ($797,189); Blackstone Group ($167,200); Apollo Global Management ($87,600); NorPAC ($62,940); KKR & Co ($53,100)","Securities & Investment ($2,023,597); Pro-Israel ($1,130,747); Lawyers/Law Firms ($442,266); Real Estate ($426,618); Insurance ($393,142)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Kelly,Morrison,$41.05M,"$41,050,000",,,,,,,,,
Shri,Thanedar,$40.94M,"$40,940,000",https://www.opensecrets.org/members-of-congress/shri-thanedar/summary?cid=N00049602,"American Israel Public Affairs Cmte ($151,647); Indian American Impact Fund ($20,000); Servenco Management ($16,500); Affordable Housing Management Group ($13,200); Star Pipe Products ($13,200)","Pro-Israel ($157,647); Retired ($109,462); Health Professionals ($108,654); Human Rights ($90,353); Securities & Investment ($79,250)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Cleo,Fields,$39.69M,"$39,690,000",https://www.opensecrets.org/members-of-congress/cleo-fields/summary?cid=N00005398&cycle=2024,"Talbot, Carmouche & Marcello ($26,400); LHC Group ($25,600); Robin & Assoc ($18,200); Csrs Inc ($14,700); Industrial Fabrics Inc ($13,400)","Lawyers/Law Firms ($242,567); Lobbyists ($63,400); Real Estate ($44,650); Health Professionals ($42,350); General Contractors ($27,600)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Robert,Bresnahan,$36.68M,"$36,680,000",https://www.opensecrets.org/members-of-congress/summary?cid=N00053588&cycle=2024,"TFP Ltd (Pennsylvania) ($18,000); Starkey Hearing Technologies ($16,500); Geisinger Health Systems ($13,201); 4ram Polymers ($13,200); Elliott Management ($13,200)","Retired ($423,335); Leadership PACs ($346,700); Securities & Investment ($282,971); Republican/Conservative ($223,858); Real Estate ($139,797)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
George,Whitesides,$35.04M,"$35,040,000",https://www.opensecrets.org/campaign-expenditures/vendor?cycle=2024&vendor=George+Whitesides+for+Congress,,,,,,,,
Lori,Trahan,$34.11M,"$34,110,000",https://www.opensecrets.org/members-of-congress/lori-trahan/summary?cid=N00041808,"Helfrich Brothers Boiler Works ($18,500); Medical Device Manufacturers Assn ($16,600); Ischemix ($16,500); Bricklayers Union ($15,000); Commodore Builders ($14,300)","Lobbyists ($138,130); Pharmaceuticals/Health Products ($125,150); Real Estate ($108,341); Health Professionals ($97,420); Building Trade Unions ($84,500)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
James,Baird,$30.93M,"$30,930,000",https://www.opensecrets.org/members-of-congress/baird-jim/summary?cid=N00041954&cycle=2024,"American Crystal Sugar ($10,000); Farm Credit Council ($10,000); National Auto Dealers Assn ($10,000); American Council of Engineering Cos ($9,000); National Assn of Realtors ($9,000)","Agricultural Services/Products ($61,000); Crop Production & Basic Processing ($51,052); Leadership PACs ($27,300); Retired ($16,397); Real Estate ($15,050)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
John,Hickenlooper,$30.64M,"$30,640,000",https://www.opensecrets.org/members-of-congress/hickenlooper-john/summary?cid=N00044206&cycle=2024,"Google Inc ($242,759); JStreetPAC ($159,907); University of Colorado ($132,824); Microsoft Corp ($106,796); Apple Inc ($70,860)","Retired ($4,921,584); Democratic/Liberal ($3,822,645); Education ($2,571,645); Lawyers/Law Firms ($2,523,794); Securities & Investment ($2,462,012)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Kim,Schrier,$29.79M,"$29,790,000",https://www.opensecrets.org/members-of-congress/kim-schrier/summary?cid=N00041606,"University of Washington ($144,106); Microsoft Corp ($92,248); American Israel Public Affairs Cmte ($67,950); Amazon.Com ($42,331); Bendich, Stobaugh & Strong ($29,632)","Retired ($1,139,826); Health Professionals ($578,679); Democratic/Liberal ($542,872); Leadership PACs ($279,402); Lawyers/Law Firms ($252,831)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Earl,Carter,$28.12M,"$28,120,000",,,,,,,,,
Scott,Franklin,$27.95M,"$27,950,000",https://www.opensecrets.org/members-of-congress/scott-franklin/summary?cid=N00046760,"American Israel Public Affairs Cmte ($39,500); Cassidy Organization ($19,800); Publix Super Markets ($17,600); US Sugar ($12,500); Van Scoyoc Assoc ($10,600)","Misc Defense ($49,805); Lobbyists ($49,750); Retired ($45,887); Crop Production & Basic Processing ($42,758); Pro-Israel ($39,750)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Carol,Miller,$27.67M,"$27,670,000",https://www.opensecrets.org/members-of-congress/miller-carol/summary?cid=N00041542&cycle=2024,"Select Medical Corp ($23,300); American Israel Public Affairs Cmte ($22,000); Cole Automotive Group ($19,800); Wvu Medicine ($16,500); Duke Energy ($13,500)","Leadership PACs ($117,600); Insurance ($111,600); Health Professionals ($109,600); Automotive ($87,400); Lobbyists ($84,333)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Michael,Rulli,$26.91M,"$26,910,000",https://www.opensecrets.org/members-of-congress/rulli-michael/summary?cid=N00054190&cycle=2024,"Pi&I Motor Express ($22,500); Brilex Industries ($20,050); Air Line Pilots Assn ($20,000); Compco Industries ($17,600); 10SIX LLC ($16,000)","Retired ($83,245); Leadership PACs ($69,100); Misc Manufacturing & Distributing ($57,433); Oil & Gas ($41,620); Real Estate ($40,110)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Ann,Wagner,$26.22M,"$26,220,000",https://www.opensecrets.org/members-of-congress/ann-wagner/summary?cid=N00033106,"Edward Jones ($58,666); Enterprise Mobility ($46,805); Stifel Financial ($36,100); Robinhood Markets ($30,205); Drury Development ($26,400)","Retired ($720,917); Securities & Investment ($609,266); Insurance ($280,191); Real Estate ($225,508); Commercial Banks ($193,127)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Victoria,Spartz,$25.51M,"$25,510,000",https://www.opensecrets.org/members-of-congress/victoria-spartz/summary?cid=N00046537,"American Israel Public Affairs Cmte ($33,700); Indiana Spine Group ($32,700); Prime Stone Group ($11,200); American Institute of CPAs ($10,000); Eye of the Tiger PAC ($10,000)","Republican/Conservative ($122,419); Leadership PACs ($111,400); Retired ($102,318); Real Estate ($63,650); Health Professionals ($55,875)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Marjorie,Greene,$24.94M,"$24,940,000",https://www.opensecrets.org/members-of-congress/marjorie-taylor-greene/summary?cid=N00044701,"House Freedom Fund ($14,100); Jzk Inc ($13,200); Manis Farms ($13,200); Bill Luke Chrysler/Jeep/Dodge ($11,600); Majority Cmte PAC ($10,000)","Retired ($2,792,525); Republican/Conservative ($867,370); Real Estate ($113,595); Health Professionals ($83,710); Crop Production & Basic Processing ($52,027)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Sheldon,Whitehouse,$24.26M,"$24,260,000",https://www.opensecrets.org/members-of-congress/whitehouse-sheldon/summary?cid=N00027533&cycle=2024,"American Israel Public Affairs Cmte ($147,208); Cotchett, Pitre & McCarthy ($59,200); JStreetPAC ($52,910); Chisholm, Chisholm & Kilpatrick ($39,100); Clifford Law Offices ($29,750)","Lawyers/Law Firms ($927,627); Retired ($831,362); Securities & Investment ($462,893); Leadership PACs ($394,890); Democratic/Liberal ($330,018)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Gregory,Murphy,$23.90M,"$23,900,000",https://www.opensecrets.org/members-of-congress/murphy-greg/summary?cid=N00044027&cycle=2024,"American Israel Public Affairs Cmte ($34,008); Ward & Smith ($21,150); Select Medical Corp ($16,600); East Carolina Anesthesia Assoc ($15,650); Bell Legal Group ($13,200)","Health Professionals ($346,784); Retired ($164,263); Pharmaceuticals/Health Products ($128,970); Real Estate ($101,005); Lawyers/Law Firms ($79,476)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Craig,Goldman,$23.88M,"$23,880,000",https://www.opensecrets.org/officeholders/craig-goldman/summary?cycle=2023&id=11022498,"Vistra Corp ($4,000); Associated Republicans Of Texas ($3,000); Texas Trial Lawyers Association ($2,500); Anthem Ventures ($2,500); Select Energy Services ($1,820)","Electric Utilities ($4,000); Republican/Conservative ($3,000); Lawyers/Law Firms ($2,750); Oil & Gas ($1,820); Railroads ($1,500)",2023,2023,2023,2023,2023,2023
Rick,Allen,$22.94M,"$22,940,000",https://www.opensecrets.org/members-of-congress/allen-richard-w/summary?cid=N00033720&cycle=2024,"American Israel Public Affairs Cmte ($25,550); Pollard Lumber ($15,200); Yancey Brothers ($13,200); Coca-Cola Co ($12,000); Comcast Corp ($11,000)","Retired ($101,536); Health Professionals ($63,968); Crop Production & Basic Processing ($63,200); Insurance ($55,250); Telecom Services ($49,500)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Ken,Calvert,$22.85M,"$22,850,000",https://www.opensecrets.org/members-of-congress/ken-calvert/summary?cid=N00007099,"American Israel Public Affairs Cmte ($620,597); Lockheed Martin ($60,000); L3Harris Technologies ($50,000); AM General Corp ($44,773); Astranis ($39,700)","Pro-Israel ($734,463); Leadership PACs ($644,300); Real Estate ($572,833); Securities & Investment ($502,288); Retired ($487,804)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Ron,Wyden,$22.63M,"$22,630,000",https://www.opensecrets.org/members-of-congress/ron-wyden/summary?cid=N00007724,"Nike Inc ($79,992); Intel Corp ($73,155); Centene Corp ($44,409); American Israel Public Affairs Cmte ($43,750); Synergi Partners ($42,700)","Securities & Investment ($1,472,762); Retired ($1,163,030); Lawyers/Law Firms ($693,002); Real Estate ($627,199); Health Professionals ($580,901)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Angus,Jr.,$21.73M,"$21,730,000",,,,,,,,,
Steve,Daines,$21.37M,"$21,370,000",https://www.opensecrets.org/members-of-congress/daines-steven/summary?cid=N00033054&cycle=2024,"Senate Conservatives Fund ($293,841); Club for Growth ($109,971); Charter Communications ($84,247); Blackstone Group ($77,368); Susan B Anthony Pro-Life America ($72,625)","Retired ($7,565,112); Republican/Conservative ($3,566,501); Securities & Investment ($1,752,608); Real Estate ($1,514,452); Health Professionals ($822,007)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
William,IV,$21.35M,"$21,350,000",,,,,,,,,
Nicholas,Begich,$21.33M,"$21,330,000",https://www.opensecrets.org/members-of-congress/nick-begich-iii/summary?cid=N00049408&cycle=2024,"Capstone Clinic ($19,800); Begich for AK-AL Republican Nominee Fund 2024 ($17,660); Petro 49 ($17,079); House Freedom Fund ($16,831); Blackstone Group ($13,200)","Retired ($645,730); Republican/Conservative ($425,030); Leadership PACs ($176,500); Securities & Investment ($156,595); Real Estate ($116,646)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Cory,Mills,$21.25M,"$21,250,000",https://www.opensecrets.org/members-of-congress/cory-mills/summary?cid=N00048179,"American Israel Public Affairs Cmte ($23,350); Engineering & Computer Simulations ($18,404); Full Sail ($12,000); Robinhood Markets ($11,750); Certified Financial Group ($10,000)","Retired ($163,263); Republican/Conservative ($148,124); Real Estate ($65,940); Leadership PACs ($62,500); Lobbyists ($50,570)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Mark,Kelly,$20.45M,"$20,450,000",https://www.opensecrets.org/members-of-congress/mark-kelly/summary?cid=N00044223,"University of Arizona ($19,875); Amazon.com ($17,761); Arizona State University ($14,758); Haberfeld Assoc ($13,200); Albright Stonebridge Group ($10,400)","Retired ($2,552,147); Education ($378,337); Health Professionals ($231,327); Democratic/Liberal ($175,393); Lawyers/Law Firms ($163,437)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
John,Kennedy,$20.14M,"$20,140,000",https://www.opensecrets.org/members-of-congress/john-kennedy/summary?cid=N00026823,"LHC Group ($50,006); Ochsner Health System ($41,145); Stephens Inc ($40,800); Praeses LLC ($38,491); Archer Auto Group ($32,598)","Retired ($13,970,923); Securities & Investment ($1,361,327); Real Estate ($1,192,435); Lawyers/Law Firms ($708,937); Oil & Gas ($673,729)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Dale,Strong,$20.13M,"$20,130,000",https://www.opensecrets.org/members-of-congress/strong-dale/summary?cid=N00048145&cycle=2024,"Leidos Inc ($26,800); American Israel Public Affairs Cmte ($18,499); Breland Homes ($16,600); Torch Technologies ($16,350); Ignite Fueling Innovation ($15,150)","Misc Defense ($259,150); Lobbyists ($73,800); Retired ($61,640); Lawyers/Law Firms ($55,750); Defense Aerospace ($50,350)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Bill,Foster,$19.67M,"$19,670,000",https://www.opensecrets.org/members-of-congress/bill-foster/summary?cid=N00029139,"Argonne National Laboratory ($44,945); Fermilab ($34,098); Clifford Law Offices ($33,000); JStreetPAC ($32,280); University of Chicago ($30,445)","Education ($409,862); Securities & Investment ($336,600); Retired ($300,475); Lawyers/Law Firms ($250,254); Commercial Banks ($155,350)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
J French,Hill,$19.42M,"$19,420,000",,,,,,,,,
